Date,Volume,Thickness
2016-01-01,12899,106.54
2016-01-02,13240,108.95
2016-01-03,13521,110.77
2016-01-04,13732,112.18
2016-01-05,13872,113
2016-01-06,13963,113.57
2016-01-07,14038,113.82
2016-01-08,14095,114.14
2016-01-09,14130,113.99
2016-01-10,14190,113.73
2016-01-11,14217,113.8
2016-01-12,14245,113.6
2016-01-13,14272,113.47
2016-01-14,14312,113.15
2016-01-15,14340,112.76
2016-01-16,14382,112.48
2016-01-17,14413,112.75
2016-01-18,14442,112.68
2016-01-19,14461,112.29
2016-01-20,14458,112.1
2016-01-21,14475,112.02
2016-01-22,14528,112.13
2016-01-23,14599,112.21
2016-01-24,14652,112.3
2016-01-25,14694,112.39
2016-01-26,14728,112.63
2016-01-27,14784,113.02
2016-01-28,14842,113.23
2016-01-29,14900,113.6
2016-01-30,14986,113.89
2016-01-31,15078,114.33
2016-02-01,15147,114.59
2016-02-02,15182,114.74
2016-02-03,15213,114.91
2016-02-04,15244,114.79
2016-02-05,15259,114.88
2016-02-06,15315,115.34
2016-02-07,15369,115.45
2016-02-08,15428,115.73
2016-02-09,15476,116.19
2016-02-10,15497,116.3
2016-02-11,15522,116.46
2016-02-12,15606,116.93
2016-02-13,15713,117.13
2016-02-14,15838,117.66
2016-02-15,15956,118.36
2016-02-16,16047,119.28
2016-02-17,16145,120.26
2016-02-18,16250,121
2016-02-19,16329,121.18
2016-02-20,16413,121.34
2016-02-21,16488,121.75
2016-02-22,16589,122.51
2016-02-23,16697,123.37
2016-02-24,16783,123.94
2016-02-25,16835,124.03
2016-02-26,16906,124.16
2016-02-27,16989,124.81
2016-02-28,17065,125.39
2016-02-29,17112,125.58
2016-03-01,17172,126
2016-03-02,17275,126.61
2016-03-03,17420,127.86
2016-03-04,17570,128.96
2016-03-05,17716,130.16
2016-03-06,17868,131.18
2016-03-07,17985,132.11
2016-03-08,18080,132.78
2016-03-09,18181,133.51
2016-03-10,18285,134.06
2016-03-11,18396,134.34
2016-03-12,18492,134.79
2016-03-13,18609,135.83
2016-03-14,18743,136.76
2016-03-15,18862,137.59
2016-03-16,18950,138.41
2016-03-17,19030,139.09
2016-03-18,19099,139.52
2016-03-19,19179,140.55
2016-03-20,19270,141.1
2016-03-21,19341,141.73
2016-03-22,19427,142.37
2016-03-23,19515,143.64
2016-03-24,19610,144.77
2016-03-25,19745,145.9
2016-03-26,19915,147.03
2016-03-27,20073,148.29
2016-03-28,20168,149.52
2016-03-29,20255,150.46
2016-03-30,20340,151.33
2016-03-31,20413,151.89
2016-04-01,20449,152.25
2016-04-02,20490,152.76
2016-04-03,20550,153.72
2016-04-04,20618,154.78
2016-04-05,20701,155.6
2016-04-06,20789,156.76
2016-04-07,20892,157.83
2016-04-08,20989,158.82
2016-04-09,21070,159.73
2016-04-10,21131,160.47
2016-04-11,21176,161.3
2016-04-12,21217,161.86
2016-04-13,21266,162.13
2016-04-14,21311,162.82
2016-04-15,21331,163.24
2016-04-16,21324,163.86
2016-04-17,21295,164.29
2016-04-18,21262,164.69
2016-04-19,21250,164.94
2016-04-20,21281,165.63
2016-04-21,21316,166.17
2016-04-22,21326,166.72
2016-04-23,21312,167.07
2016-04-24,21294,167.43
2016-04-25,21298,168.02
2016-04-26,21302,168.36
2016-04-27,21309,168.96
2016-04-28,21334,169.68
