date,nic_1,nic_2,nic_3,sass_1,sass_2,sass_3,size_1,size_2
1978204,0,0,0,-60.2193,-48.4826,1,0,0
1978205,0,0,0,-60.2179,-48.4879,1,0,0
1978206,0,0,0,-60.2165,-48.4931,1,0,0
1978207,0,0,0,-60.215,-48.4983,1,0,0
1978208,0,0,0,-60.2136,-48.5035,1,0,0
1978209,0,0,0,-60.2122,-48.5088,1,0,0
1978210,0,0,0,-60.2115,-48.5114,1,0,0
1978211,0,0,0,-60.2115,-48.5114,1,0,0
1978212,0,0,0,-60.2115,-48.5114,1,0,0
1978213,0,0,0,-60.2115,-48.5114,1,0,0
1978214,0,0,0,-60.2115,-48.5114,1,0,0
1978215,0,0,0,-60.2115,-48.5114,1,0,0
1978216,0,0,0,-60.1908,-48.5157,1,0,0
1978217,0,0,0,-60.1495,-48.5243,1,0,0
1978218,0,0,0,-60.1082,-48.5329,1,0,0
1978219,0,0,0,-60.0669,-48.5414,1,0,0
1978220,0,0,0,-60.0256,-48.55,1,0,0
1978221,0,0,0,-59.9843,-48.5586,1,0,0
1978222,0,0,0,-59.9447,-48.5109,1,0,0
1978223,0,0,0,-59.9069,-48.407,1,0,0
1978224,0,0,0,-59.869,-48.3031,1,0,0
1978225,0,0,0,-59.8312,-48.1992,1,0,0
1978226,0,0,0,-59.7934,-48.0953,1,0,0
1978227,0,0,0,-59.7555,-47.9914,1,0,0
1978228,0,0,0,-59.7366,-47.9394,1,0,0
1978229,0,0,0,-59.7366,-47.9394,1,0,0
1978230,0,0,0,-59.7366,-47.9394,1,0,0
1978231,0,0,0,-59.7366,-47.9394,1,0,0
1978232,0,0,0,-59.7366,-47.9394,1,0,0
1978233,0,0,0,-59.7366,-47.9394,1,0,0
1978234,0,0,0,-59.7366,-47.9394,1,0,0
1978235,0,0,0,-59.7366,-47.9394,1,0,0
1978236,0,0,0,-59.7366,-47.9394,1,0,0
1978237,0,0,0,-59.7366,-47.9394,1,0,0
1978238,0,0,0,-59.7366,-47.9394,1,0,0
1978239,0,0,0,-59.5525,-47.6906,1,0,0
1978240,0,0,0,-59.4726,-47.3825,1,0,0
1978241,0,0,0,-59.4969,-47.015,1,0,0
1978242,0,0,0,-59.5212,-46.6475,1,0,0
1978243,0,0,0,-59.5455,-46.28,1,0,0
1978244,0,0,0,-59.5698,-45.9125,1,0,0
1978245,0,0,0,-59.5941,-45.545,1,0,0
1978246,0,0,0,-59.6034,-45.3118,1,0,0
1978247,0,0,0,-59.5977,-45.2129,1,0,0
1978248,0,0,0,-59.592,-45.114,1,0,0
1978249,0,0,0,-59.5863,-45.015,1,0,0
1978250,0,0,0,-59.5806,-44.9161,1,0,0
1978251,0,0,0,-59.5749,-44.8172,1,0,0
1978252,0,0,0,-59.5348,-44.5658,0,0,0
1978253,0,0,0,-59.4397,-44.1363,0,0,0
1978254,0,0,0,-59.3011,-43.5969,0,0,0
1978255,0,0,0,-59.13,-43.0157,0,0,0
1978256,0,0,0,-58.9377,-42.461,0,0,0
1978257,0,0,0,-58.7356,-42.0009,0,0,0
1978258,0,0,0,-58.5349,-41.7037,1,0,0
1978259,0,0,0,-58.2811,-41.5138,0,0,0
1978260,0,0,0,-57.9468,-41.3367,0,0,0
1978261,0,0,0,-57.5838,-41.1821,0,0,0
1978262,0,0,0,-57.2438,-41.0597,0,0,0
1978263,0,0,0,-56.9786,-40.9792,0,0,0
1978264,0,0,0,-56.8399,-40.9502,1,0,0
1978265,0,0,0,-56.8008,-40.9558,1,0,0
1978266,0,0,0,-56.7617,-40.9615,1,0,0
1978267,0,0,0,-56.7227,-40.9671,1,0,0
1978268,0,0,0,-56.6836,-40.9728,1,0,0
1978269,0,0,0,-56.6445,-40.9784,1,0,0
1978270,0,0,0,-56.625,-40.9812,1,0,0
1978271,0,0,0,-56.625,-40.9812,1,0,0
1978272,0,0,0,-56.625,-40.9812,1,0,0
1978273,0,0,0,-56.625,-40.9812,1,0,0
1978274,0,0,0,-56.625,-40.9812,1,0,0
1978275,0,0,0,-56.625,-40.9812,1,0,0
1978295,-56,-34.2,1,0,0,0,45,25
1978296,-55.8415,-33.7816,0,0,0,0,0,0
1978297,-55.686,-33.3884,0,0,0,0,0,0
1978298,-55.5348,-33.0347,0,0,0,0,0,0
1978299,-55.3893,-32.7347,0,0,0,0,0,0
1978300,-55.2508,-32.5027,0,0,0,0,0,0
1978301,-55.1205,-32.3531,0,0,0,0,0,0
1978302,-55,-32.3,1,0,0,0,45,25
1978316,-53.7,-35,1,0,0,0,45,20
1978317,-53.7,-35,0,0,0,0,0,0
1978318,-53.7,-35,0,0,0,0,0,0
1978319,-53.7,-35,0,0,0,0,0,0
1978320,-53.7,-35,0,0,0,0,0,0
1978321,-53.7,-35,0,0,0,0,0,0
1978322,-53.7,-35,0,0,0,0,0,0
1978323,-53.7,-35,1,0,0,0,45,20
1978337,-53.4,-34.4,1,0,0,0,45,20
1978351,-53.9,-33.8,1,0,0,0,35,20
1979007,-53.3,-33,1,0,0,0,35,20
1979008,-53.3,-32.9697,0,0,0,0,0,0
1979009,-53.3,-32.9415,0,0,0,0,0,0
1979010,-53.3,-32.9145,0,0,0,0,0,0
1979011,-53.3,-32.8878,0,0,0,0,0,0
1979012,-53.3,-32.8604,0,0,0,0,0,0
1979013,-53.3,-32.8314,0,0,0,0,0,0
1979014,-53.3,-32.8,1,0,0,0,35,20
1979042,-51.7,-31.6,1,0,0,0,20,12
1979126,-50.2,-26.3,1,0,0,0,20,12
