date,nic_1,nic_2,nic_3,size_1,size_2
1987172,-64.6,-55.8,1,20,8
1987173,-64.59,-55.6134,0,0,0
1987174,-64.5752,-55.4183,0,0,0
1987175,-64.5563,-55.2272,0,0,0
1987176,-64.5338,-55.0524,0,0,0
1987177,-64.5082,-54.9063,0,0,0
1987178,-64.4801,-54.8014,0,0,0
1987179,-64.45,-54.75,1,20,8
1987207,-61.9,-54.5,1,20,8
1987235,-60.9,-53.4,1,20,8
1987277,-59.8,-49,1,20,8
1987278,-59.733,-49,0,0,0
1987279,-59.6342,-49,0,0,0
1987280,-59.5188,-49,0,0,0
1987281,-59.4024,-49,0,0,0
1987282,-59.3002,-49,0,0,0
1987283,-59.2276,-49,0,0,0
1987284,-59.2,-49,1,20,8
1987285,-59.2,-49.003,0,0,0
1987286,-59.2,-49.0113,0,0,0
1987287,-59.2,-49.024,0,0,0
1987288,-59.2,-49.0401,0,0,0
1987289,-59.2,-49.0588,0,0,0
1987290,-59.2,-49.0791,0,0,0
1987291,-59.2,-49.1,1,20,8
1987305,-58.9,-49.8,1,20,8
1987306,-58.8398,-49.7804,0,0,0
1987307,-58.7436,-49.7253,0,0,0
1987308,-58.6279,-49.6398,0,0,0
1987309,-58.5092,-49.5292,0,0,0
1987310,-58.404,-49.3989,0,0,0
1987311,-58.3287,-49.2541,0,0,0
1987312,-58.3,-49.1,1,20,8
1987313,-58.3305,-48.8586,0,0,0
1987314,-58.409,-48.4848,0,0,0
1987315,-58.5165,-48.0335,0,0,0
1987316,-58.6335,-47.5595,0,0,0
1987317,-58.741,-47.1177,0,0,0
1987318,-58.8195,-46.7629,0,0,0
1987319,-58.85,-46.55,1,20,8
1987340,-58.8,-45.2,1,20,8
1987361,-58.2,-44.8,1,20,8
1987362,-58.2,-44.8052,0,0,0
1987363,-58.2,-44.8199,0,0,0
1987364,-58.2,-44.8425,0,0,0
1987365,-58.2,-44.8715,0,0,0
1988001,-58.2,-44.9233,0,0,0
1988002,-58.2,-44.9612,0,0,0
1988003,-58.2,-45,1,20,8
