date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1994037,0,0,0,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994046,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994047,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994048,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994049,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994050,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994051,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994052,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994053,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994054,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994055,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994056,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994057,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994058,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994059,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994060,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994061,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994062,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994063,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994064,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994065,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994066,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994067,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994068,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994069,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994070,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994071,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994072,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994073,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994074,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994075,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994076,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994077,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994078,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994079,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994080,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994081,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994082,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994083,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994084,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994085,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994086,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994087,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994088,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994089,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994090,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994091,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994092,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994093,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994094,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994095,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994096,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994097,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994098,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994099,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994100,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994101,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994102,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994103,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994104,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994105,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994106,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994107,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994108,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994109,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994110,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994111,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994112,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994113,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994114,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994115,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994116,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994117,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994118,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994119,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994120,-76.2,-43.2,1,-76.2,-43.2,0,0,0,0,0,0,0,0,0
1994121,-76.2,-43.2,1,-76.2,-43.2,1,0,0,0,0,0,0,38,19
1994122,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994123,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994124,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994125,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994126,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994127,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994128,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
1994129,-76.2,-43.2,1,0,0,0,0,0,0,0,0,0,0,0
