ascat_1,ascat_2,ascat_3,date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,1991314,0,0,0,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,56,39
0,0,0,1991315,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991316,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991317,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991318,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991319,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991320,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991321,0,0,0,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1991322,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991323,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991324,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991325,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991326,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991327,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1991328,0,0,0,-76.2,-41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,50,38
0,0,0,1991329,0,0,0,-76.2,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
