date,nic_1,nic_2,nic_3,size_1,size_2
1986292,-79.1,-39,1,28,8
1986296,-78.4265,-39.7499,0,0,0
1986297,-78.3075,-39.8814,0,0,0
1986298,-78.2286,-39.9685,0,0,0
1986299,-78.2,-40,1,28,8
1986313,-78.3,-39.8,1,28,8
1986348,-78,-38.8,1,28,8
1987032,-78.2,-40,1,28,8
1987046,-78.1,-39.7,1,28,8
1987088,-78.3,-40.2,1,28,8
1987130,-78.3,-40.3,1,28,8
1987131,-78.3,-40.3321,0,0,0
1987132,-78.3,-40.4052,0,0,0
1987133,-78.3,-40.5026,0,0,0
1987134,-78.3,-40.6076,0,0,0
1987135,-78.3,-40.7033,0,0,0
1987136,-78.3,-40.773,0,0,0
1987137,-78.3,-40.8,1,28,8
1987165,-77.7,-39.9,1,28,8
1987186,-77.8,-39.4,1,28,8
1987270,-78.1,-41.7,1,28,8
1987271,-78.063,-41.7905,0,0,0
1987272,-77.9672,-41.9348,0,0,0
1987273,-77.8353,-42.1084,0,0,0
1987274,-77.69,-42.2864,0,0,0
1987275,-77.5538,-42.4441,0,0,0
1987276,-77.4496,-42.5569,0,0,0
1987277,-77.4,-42.6,1,28,8
1987291,-77.3,-42.4,1,28,8
1987305,-77.4,-42.8,1,28,8
1987319,-77.5,-43,1,28,8
1987320,-77.4954,-43,0,0,0
1987321,-77.4834,-43,0,0,0
1987322,-77.4664,-43,0,0,0
1987323,-77.447,-43,0,0,0
1987324,-77.4278,-43,0,0,0
1987325,-77.4113,-43,0,0,0
1987326,-77.4,-43,1,28,8
1987347,-77.3,-41.8,1,28,8
1987348,-77.3,-41.8166,0,0,0
1987349,-77.3,-41.8595,0,0,0
1987350,-77.3,-41.9181,0,0,0
1987351,-77.3,-41.9819,0,0,0
1987352,-77.3,-42.0405,0,0,0
1987353,-77.3,-42.0834,0,0,0
1987354,-77.3,-42.1,1,28,8
1988003,-77.2,-42.1,1,28,8
1988004,-77.1739,-42.0945,0,0,0
1988005,-77.1273,-42.0802,0,0,0
1988006,-77.0692,-42.0606,0,0,0
1988007,-77.0085,-42.0394,0,0,0
1988008,-76.9542,-42.0198,0,0,0
1988009,-76.915,-42.0055,0,0,0
1988010,-76.9,-42,1,28,8
1988024,-77.1,-42,1,28,8
1988038,-77.1,-42,1,28,8
1988059,-77.3,-41.3,1,28,8
1988080,-77.2,-42,1,28,8
1988081,-77.1887,-42,0,0,0
1988082,-77.1722,-42,0,0,0
1988083,-77.153,-42,0,0,0
1988084,-77.1336,-42,0,0,0
1988085,-77.1166,-42,0,0,0
1988086,-77.1046,-42,0,0,0
1988087,-77.1,-42,1,28,8
1988101,-77.8,-43,1,28,8
1988102,-77.7848,-43.1281,0,0,0
1988103,-77.744,-43.2992,0,0,0
1988104,-77.6845,-43.4905,0,0,0
1988105,-77.6134,-43.6791,0,0,0
1988106,-77.5376,-43.8421,0,0,0
1988107,-77.4641,-43.9567,0,0,0
1988108,-77.4,-44,1,28,8
1988109,-77.3424,-43.9612,0,0,0
1988110,-77.2843,-43.8612,0,0,0
1988111,-77.2261,-43.7245,0,0,0
1988112,-77.1681,-43.5755,0,0,0
1988113,-77.1108,-43.4388,0,0,0
1988114,-77.0546,-43.3388,0,0,0
1988115,-77,-43.3,1,28,8
1988129,-76.3,-43.7,1,25,7
1988130,-76.3,-43.7341,0,0,0
1988131,-76.3,-43.7676,0,0,0
1988132,-76.3,-43.8026,0,0,0
1988133,-76.3,-43.8412,0,0,0
1988134,-76.3,-43.8856,0,0,0
1988135,-76.3,-43.9378,0,0,0
1988136,-76.3,-44,1,25,7
1988150,-76.2,-47.5,1,25,7
1988151,-76.2,-47.5927,0,0,0
1988152,-76.2,-47.6662,0,0,0
1988153,-76.2,-47.7277,0,0,0
1988154,-76.2,-47.7847,0,0,0
1988155,-76.2,-47.8442,0,0,0
1988156,-76.2,-47.9136,0,0,0
1988157,-76.2,-48,1,25,7
1988171,-75.9,-50.5,1,25,7
1988185,-75.8,-50,1,25,7
1988186,-75.7647,-50.0166,0,0,0
1988187,-75.696,-50.0595,0,0,0
1988188,-75.6067,-50.1181,0,0,0
1988189,-75.5096,-50.1819,0,0,0
1988190,-75.4176,-50.2405,0,0,0
1988191,-75.3434,-50.2834,0,0,0
1988192,-75.3,-50.3,1,25,7
1988193,-75.2793,-50.265,0,0,0
1988194,-75.2637,-50.1725,0,0,0
1988195,-75.2513,-50.0411,0,0,0
1988196,-75.2405,-49.8895,0,0,0
1988197,-75.2295,-49.7363,0,0,0
1988198,-75.2166,-49.6003,0,0,0
1988199,-75.2,-49.5,1,25,7
1988200,-75.1749,-49.4219,0,0,0
1988201,-75.1409,-49.343,0,0,0
1988202,-75.1026,-49.2679,0,0,0
1988203,-75.0647,-49.2015,0,0,0
1988204,-75.0319,-49.1482,0,0,0
1988205,-75.0087,-49.1128,0,0,0
1988206,-75,-49.1,1,25,7
1988207,-75.0166,-49.1665,0,0,0
1988208,-75.0595,-49.3379,0,0,0
1988209,-75.1181,-49.5723,0,0,0
1988210,-75.1819,-49.8277,0,0,0
1988211,-75.2405,-50.0621,0,0,0
1988212,-75.2834,-50.2335,0,0,0
1988213,-75.3,-50.3,1,25,7
1988214,-75.2923,-50.2778,0,0,0
1988215,-75.2716,-50.2207,0,0,0
1988216,-75.2416,-50.1426,0,0,0
1988217,-75.2058,-50.0574,0,0,0
1988218,-75.1678,-49.9793,0,0,0
1988219,-75.1314,-49.9222,0,0,0
1988220,-75.1,-49.9,1,25,7
1988262,-74,-51,1,25,7
1988290,-74.8,-52.2,1,25,7
1988304,-73.7,-51.8,1,25,7
1988318,-73.5,-52.3,1,25,7
1988319,-73.4534,-52.3796,0,0,0
1988320,-73.3746,-52.4955,0,0,0
1988321,-73.278,-52.6299,0,0,0
1988322,-73.1779,-52.7653,0,0,0
1988323,-73.0886,-52.8839,0,0,0
1988324,-73.0245,-52.968,0,0,0
1988325,-73,-53,1,25,7
1988346,-73.6,-53,1,25,7
1989029,-73.3,-50,1,25,7
1989057,-72.4,-52,1,25,7
1989078,-72,-53.3,1,25,7
1989092,-71.3,-53.2,1,25,7
1989113,-69.5,-54.2,1,25,7
1989148,-68.3,-55,1,25,7
1989190,-67.7,-54.3,1,25,7
1989191,-67.6664,-54.2637,0,0,0
1989192,-67.6208,-54.2132,0,0,0
1989193,-67.5656,-54.1557,0,0,0
1989194,-67.5034,-54.0984,0,0,0
1989195,-67.4367,-54.0485,0,0,0
1989196,-67.368,-54.0133,0,0,0
1989197,-67.3,-54,1,25,7
1989232,-64.1,-54.2,1,25,7
1989267,-59.8,-51.3,1,25,7
1989288,-61.2,-51.8,1,25,7
1989289,-61.2,-51.9484,0,0,0
1989290,-61.2,-52.2487,0,0,0
1989291,-61.2,-52.6373,0,0,0
1989292,-61.2,-53.0504,0,0,0
1989293,-61.2,-53.4244,0,0,0
1989294,-61.2,-53.6955,0,0,0
1989295,-61.2,-53.8,1,25,7
1989309,-60.1,-52.6,1,25,7
1989351,-59.95,-52.4,1,25,7
1990007,-58.8,-50,1,25,7
1990008,-58.8222,-49.8694,0,0,0
1990009,-58.8793,-49.7338,0,0,0
1990010,-58.9574,-49.5938,0,0,0
1990011,-59.0426,-49.4499,0,0,0
1990012,-59.1207,-49.3027,0,0,0
1990013,-59.1778,-49.1525,0,0,0
1990014,-59.2,-49,1,25,7
1990035,-58.5,-45.4,1,25,7
1990049,-58.8,-41.8,1,25,7
1990063,-58.8,-43,1,25,7
1990084,-58,-40.5,1,25,7
