date,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1994275,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994303,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994304,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994305,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994306,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994307,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994308,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994309,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994310,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994311,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994312,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994313,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994314,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994315,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994316,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994317,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994331,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994332,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994333,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994334,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994335,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994336,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994337,-76.5,-42.2,0,0,0,0,0,0,0,0,0,0,0,0
1994338,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994359,-76.5,-42.2,1,0,0,0,0,0,0,0,0,0,14,6
1994360,-76.5194,-42.2243,0,0,0,0,0,0,0,0,0,0,0,0
1994361,-76.5702,-42.2877,0,0,0,0,0,0,0,0,0,0,0,0
1994362,-76.6408,-42.376,0,0,0,0,0,0,0,0,0,0,0,0
1994363,-76.72,-42.475,0,0,0,0,0,0,0,0,0,0,0,0
1994364,-76.7963,-42.5704,0,0,0,0,0,0,0,0,0,0,0,0
1994365,-76.8584,-42.648,0,0,0,0,0,0,0,0,0,0,0,0
1995001,-76.9,-42.7,1,0,0,0,0,0,0,0,0,0,14,6
1995015,-76.9,-42.4,1,0,0,0,0,0,0,0,0,0,14,6
