date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1995043,-69.31,-59.2,1,0,0,0,0,0
1995044,-69.31,-59.2,1,0,0,0,0,0
1995045,-69.31,-59.2,1,0,0,0,0,0
1995046,-69.2855,-59.2113,1,0,0,0,0,0
1995047,-69.2365,-59.2339,1,0,0,0,0,0
1995048,-69.1875,-59.2564,1,0,0,0,0,0
1995049,-69.163,-59.2677,1,0,0,0,0,0
1995050,-69.163,-59.2677,1,0,0,0,0,0
1995051,-69.163,-59.2677,1,0,0,0,0,0
1995052,-69.163,-59.2677,1,0,0,0,0,0
1995053,-69.163,-59.2677,1,0,0,0,0,0
1995054,-69.163,-59.2677,1,0,0,0,0,0
1995055,-69.163,-59.2677,1,0,0,0,0,0
1995056,-69.163,-59.2677,1,0,0,0,0,0
1995057,-69.163,-59.2677,1,-65.8,-59.5,1,41,21
1995058,-69.1422,-59.2697,1,-65.8,-59.5,0,0,0
1995059,-69.1005,-59.2737,1,-65.8,-59.5,0,0,0
1995060,-69.0588,-59.2778,1,-65.8,-59.5,0,0,0
1995061,-69.038,-59.2798,1,-65.8,-59.5,0,0,0
1995062,-69.038,-59.2798,1,-65.8,-59.5,0,0,0
1995063,-69.038,-59.2798,1,-65.8,-59.5,0,0,0
1995064,-69.038,-59.2798,1,-65.8,-59.5,1,41,21
1995065,-69.038,-59.2798,1,0,0,0,0,0
1995066,-69.038,-59.2798,1,0,0,0,0,0
1995067,-68.9821,-59.2808,1,0,0,0,0,0
1995068,-68.8701,-59.2828,1,0,0,0,0,0
1995069,-68.7583,-59.2849,1,0,0,0,0,0
1995070,-68.7023,-59.2859,1,0,0,0,0,0
1995071,-68.7023,-59.2859,1,0,0,0,0,0
1995072,-68.7023,-59.2859,1,0,0,0,0,0
1995073,-68.7023,-59.2859,1,0,0,0,0,0
1995074,-68.7023,-59.2859,1,0,0,0,0,0
1995075,-68.7023,-59.2859,1,0,0,0,0,0
1995076,-68.7023,-59.2859,1,0,0,0,0,0
1995077,-68.7023,-59.2859,1,0,0,0,0,0
1995078,-68.7023,-59.2859,1,0,0,0,0,0
1995079,-68.6136,-59.2731,1,0,0,0,0,0
1995080,-68.4363,-59.2475,1,0,0,0,0,0
1995081,-68.2589,-59.2218,1,0,0,0,0,0
1995082,-68.1702,-59.209,1,0,0,0,0,0
1995083,-68.1702,-59.209,1,0,0,0,0,0
1995084,-68.1702,-59.209,1,0,0,0,0,0
1995085,-68.1423,-59.2068,1,-65.8,-59.5,1,41,21
1995086,-68.0866,-59.2023,1,0,0,0,0,0
1995087,-68.031,-59.1978,1,0,0,0,0,0
1995088,-68.0031,-59.1956,1,0,0,0,0,0
1995089,-68.0031,-59.1956,1,0,0,0,0,0
1995090,-68.0031,-59.1956,1,0,0,0,0,0
1995091,-68.0031,-59.1956,1,0,0,0,0,0
1995092,-68.0031,-59.1956,1,0,0,0,0,0
1995093,-68.0031,-59.1956,1,0,0,0,0,0
1995094,-67.9824,-59.1976,1,0,0,0,0,0
1995095,-67.9409,-59.2015,1,0,0,0,0,0
1995096,-67.8993,-59.2055,1,0,0,0,0,0
1995097,-67.8786,-59.2075,1,0,0,0,0,0
1995098,-67.8786,-59.2075,1,0,0,0,0,0
1995099,-67.8786,-59.2075,1,0,0,0,0,0
