date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1994142,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994143,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994144,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994145,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994146,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994147,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994148,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994149,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994150,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994151,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994152,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994153,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994154,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994155,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994156,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994157,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994158,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994159,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994160,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994161,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994162,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994163,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994164,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994165,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994166,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994167,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994168,-65.73,87.06,1,0,0,0,0,0,0,0,0
1994169,-65.722,86.9364,1,0,0,0,0,0,0,0,0
1994170,-65.706,86.6891,1,0,0,0,0,0,0,0,0
1994171,-65.6899,86.4418,1,0,0,0,0,0,0,0,0
1994172,-65.6879,86.1845,1,0,0,0,0,0,0,0,0
1994173,-65.6999,85.9172,1,0,0,0,0,0,0,0,0
1994174,-65.7119,85.65,1,0,0,0,0,0,0,0,0
1994175,-65.7157,85.4522,1,0,0,0,0,0,0,0,0
1994176,-65.7114,85.3238,1,0,0,0,0,0,0,0,0
1994177,-65.7071,85.1955,1,0,0,0,0,0,0,0,0
1994178,-65.704,85.0591,1,0,0,0,0,0,0,0,0
1994179,-65.7022,84.9146,1,0,0,0,0,0,0,0,0
1994180,-65.7005,84.7702,1,0,0,0,0,0,0,0,0
1994181,-65.6984,84.5896,1,0,0,0,0,0,0,0,0
1994182,-65.696,84.3727,1,0,0,0,0,0,0,0,0
1994183,-65.6937,84.1558,1,0,0,0,0,0,0,0,0
1994184,-65.6925,84.0474,1,0,0,0,0,0,0,0,0
1994185,-65.6925,84.0474,1,0,0,0,0,0,0,0,0
1994186,-65.6925,84.0474,1,0,0,0,0,0,0,0,0
1994187,-65.665,83.8862,1,0,0,0,0,0,0,0,0
1994188,-65.6102,83.5637,1,0,0,0,0,0,0,0,0
1994189,-65.5553,83.2412,1,0,0,0,0,0,0,0,0
1994190,-65.5169,82.9674,1,0,0,0,0,0,0,0,0
1994191,-65.495,82.7424,1,0,0,0,0,0,0,0,0
1994192,-65.4731,82.5173,1,0,0,0,0,0,0,0,0
1994193,-65.4829,82.1968,1,0,0,0,0,0,0,0,0
1994194,-65.5245,81.7809,1,0,0,0,0,0,0,0,0
1994195,-65.566,81.3649,1,0,0,0,0,0,0,0,0
1994196,-65.6425,81.0366,1,0,0,0,0,0,0,0,0
1994197,-65.7541,80.796,1,0,0,0,0,0,0,0,0
1994198,-65.8655,80.5553,1,0,0,0,0,0,0,0,0
1994199,-65.9539,80.3512,1,0,0,0,0,0,0,0,0
1994200,-66.019,80.1838,1,0,0,0,0,0,0,0,0
1994201,-66.0842,80.0164,1,0,0,0,0,0,0,0,0
1994202,-66.1341,79.8775,1,0,0,0,0,0,0,0,0
1994203,-66.1686,79.7672,1,0,0,0,0,0,0,0,0
1994204,-66.2032,79.6569,1,0,0,0,0,0,0,0,0
1994205,-66.2205,79.6018,1,0,0,0,0,0,0,0,0
1994206,-66.2205,79.6018,1,0,0,0,0,0,0,0,0
1994207,-66.2205,79.6018,1,0,0,0,0,0,0,0,0
1994208,-66.2527,79.4527,1,0,0,0,0,0,0,0,0
1994209,-66.3171,79.1543,1,0,0,0,0,0,0,0,0
1994210,-66.3815,78.856,1,0,0,0,0,0,0,0,0
1994211,-66.4289,78.6478,1,0,0,0,0,0,0,0,0
1994212,-66.4592,78.5294,1,0,0,0,0,0,0,0,0
1994213,-66.4895,78.4112,1,0,0,0,0,0,0,0,0
1994214,-66.5218,78.2537,1,0,0,0,0,0,0,0,0
1994215,-66.556,78.057,1,0,0,0,0,0,0,0,0
1994216,-66.5903,77.8603,1,0,0,0,0,0,0,0,0
1994217,-66.6147,77.6516,1,0,0,0,0,0,0,0,0
1994218,-66.6292,77.4307,1,0,0,0,0,0,0,0,0
1994219,-66.6438,77.2098,1,0,0,0,0,0,0,0,0
1994220,-66.6511,77.0994,1,0,0,0,0,0,0,0,0
1994221,-66.6511,77.0994,1,0,0,0,0,0,0,0,0
1994222,-66.6511,77.0994,1,0,0,0,0,0,0,0,0
1994223,-66.6463,76.9994,1,0,0,0,0,0,0,0,0
1994224,-66.6367,76.7994,1,0,0,0,0,0,0,0,0
1994225,-66.627,76.5993,1,0,0,0,0,0,0,0,0
1994226,-66.6222,76.4993,1,0,0,0,0,0,0,0,0
1994227,-66.6222,76.4993,1,0,0,0,0,0,0,0,0
1994228,-66.6222,76.4993,1,0,0,0,0,0,0,0,0
1994229,-66.6147,76.4222,1,0,0,0,0,0,0,0,0
1994230,-66.5998,76.2679,1,0,0,0,0,0,0,0,0
1994231,-66.5848,76.1136,1,0,0,0,0,0,0,0,0
1994232,-66.5773,76.0365,1,0,0,0,0,0,0,0,0
1994233,-66.5773,76.0365,1,0,0,0,0,0,0,0,0
1994234,-66.5773,76.0365,1,0,0,0,0,0,0,0,0
1994235,-66.5907,75.9163,1,0,0,0,0,0,0,0,0
1994236,-66.6176,75.6757,1,0,0,0,0,0,0,0,0
1994237,-66.6445,75.4352,1,0,0,0,0,0,0,0,0
1994238,-66.6579,75.315,1,0,0,0,0,0,0,0,0
1994239,-66.6579,75.315,1,0,0,0,0,0,0,0,0
1994240,-66.6579,75.315,1,0,0,0,0,0,0,0,0
1994241,-66.7068,75.146,1,0,0,0,0,0,0,0,0
1994242,-66.8046,74.8081,1,0,0,0,0,0,0,0,0
1994243,-66.9024,74.4702,1,0,0,0,0,0,0,0,0
1994244,-66.9513,74.3012,1,0,0,0,0,0,0,0,0
1994245,-66.9513,74.3012,1,0,0,0,0,0,0,0,0
1994246,-66.9513,74.3012,1,0,0,0,0,0,0,0,0
1994247,-66.9491,74.2112,1,0,0,0,0,0,0,0,0
1994248,-66.9447,74.0312,1,0,0,0,0,0,0,0,0
1994249,-66.9403,73.8512,1,0,0,0,0,0,0,0,0
1994250,-66.9381,73.7612,1,0,0,0,0,0,0,0,0
1994251,-66.9381,73.7612,1,0,0,0,0,0,0,0,0
1994252,-66.9381,73.7612,1,0,0,0,0,0,0,0,0
1994253,-66.9241,73.701,1,0,0,0,0,0,0,0,0
1994254,-66.8962,73.5806,1,0,0,0,0,0,0,0,0
1994255,-66.8682,73.4603,1,0,0,0,0,0,0,0,0
1994256,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994257,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994258,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994259,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994260,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994261,-66.8542,73.4001,1,0,0,0,0,0,0,0,0
1994262,-66.8357,73.2741,1,0,0,0,0,0,0,0,0
1994263,-66.7986,73.0221,1,0,0,0,0,0,0,0,0
1994264,-66.7615,72.7701,1,0,0,0,0,0,0,0,0
1994265,-66.7403,72.5804,1,0,0,0,0,0,0,0,0
1994266,-66.7347,72.4529,1,0,0,0,0,0,0,0,0
1994267,-66.7293,72.3255,1,0,0,0,0,0,0,0,0
1994268,-66.7236,72.1982,1,0,0,0,0,0,0,0,0
1994269,-66.7177,72.0709,1,0,0,0,0,0,0,0,0
1994270,-66.7119,71.9436,1,0,0,0,0,0,0,0,0
1994271,-66.7055,71.7108,1,0,0,0,0,0,0,0,0
1994272,-66.6986,71.3723,1,0,0,0,0,0,0,0,0
1994273,-66.6917,71.0337,1,0,0,0,0,0,0,0,0
1994274,-66.6918,70.7901,1,0,0,0,0,0,0,0,0
1994275,-66.6989,70.6413,1,0,0,0,0,0,0,0,0
1994276,-66.7061,70.4925,1,0,0,0,0,0,0,0,0
1994277,-66.7256,70.3549,1,0,0,0,0,0,0,0,0
1994278,-66.7574,70.2284,1,0,0,0,0,0,0,0,0
1994279,-66.7891,70.1019,1,0,0,0,0,0,0,0,0
1994280,-66.8088,69.968,1,0,0,0,0,0,0,0,0
1994281,-66.8163,69.8265,1,0,0,0,0,0,0,0,0
1994282,-66.8239,69.685,1,0,0,0,0,0,0,0,0
1994283,-66.8277,69.6143,1,0,0,0,0,0,0,0,0
1994284,-66.8277,69.6143,1,0,0,0,0,0,0,0,0
1994285,-66.8277,69.6143,1,0,0,0,0,0,0,0,0
1994286,-66.8533,69.5716,1,0,0,0,0,0,0,0,0
1994287,-66.9045,69.4862,1,0,0,0,0,0,0,0,0
1994288,-66.9557,69.4009,1,0,0,0,0,0,0,0,0
1994289,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994290,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994291,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994292,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994293,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994294,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994295,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994296,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994297,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994298,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994299,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994300,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994301,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994302,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994303,-66.9813,69.3582,1,0,0,0,0,0,0,0,0
1994304,-66.9731,69.303,1,0,0,0,0,0,0,0,0
1994305,-66.9566,69.1927,1,0,0,0,0,0,0,0,0
1994306,-66.9402,69.0824,1,0,0,0,0,0,0,0,0
1994307,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994308,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994309,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994310,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994311,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994312,-66.932,69.0273,1,0,0,0,0,0,0,0,0
1994313,-66.9292,68.9164,1,0,0,0,0,0,0,0,0
1994314,-66.9235,68.6947,1,0,0,0,0,0,0,0,0
1994315,-66.9178,68.4731,1,0,0,0,0,0,0,0,0
1994316,-66.9348,68.3057,1,0,0,0,0,0,0,0,0
1994317,-66.9745,68.1927,1,0,0,0,0,0,0,0,0
1994318,-67.0142,68.0797,1,0,0,0,0,0,0,0,0
1994319,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994320,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994321,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994322,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994323,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994324,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994325,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994326,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994327,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994328,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994329,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994330,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994331,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994332,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994333,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994334,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994335,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994336,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994337,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994338,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994339,-67.034,68.0232,1,0,0,0,0,0,0,0,0
1994340,-67.0273,67.9477,1,0,0,0,0,0,0,0,0
1994341,-67.014,67.7966,1,0,0,0,0,0,0,0,0
1994342,-67.0007,67.6456,1,0,0,0,0,0,0,0,0
1994343,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994344,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994345,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994346,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994347,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994348,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994349,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994350,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994351,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994352,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994353,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994354,-66.994,67.5701,1,0,0,0,0,0,0,0,0
1994355,-66.9764,67.5709,1,0,0,0,0,0,0,0,0
1994356,-66.9412,67.5724,1,0,0,0,0,0,0,0,0
1994357,-66.906,67.5739,1,0,0,0,0,0,0,0,0
1994358,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994359,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994360,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994361,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994362,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994363,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994364,-66.8884,67.5747,1,0,0,0,0,0,0,0,0
1994365,-66.9134,67.4991,0,0,0,0,0,0,0,0,0
1995001,-66.9595,67.3595,1,0,0,0,0,0,0,0,0
1995002,-66.9596,67.3591,1,0,0,0,0,0,0,0,0
1995003,-66.9597,67.3588,1,0,0,0,0,0,0,0,0
1995004,-66.9246,67.3132,1,0,0,0,0,0,0,0,0
1995005,-66.8543,67.2221,1,0,0,0,0,0,0,0,0
1995006,-66.784,67.131,1,0,0,0,0,0,0,0,0
1995007,-66.7407,67.0259,1,0,0,0,0,0,0,0,0
1995008,-66.7244,66.9068,1,0,0,0,0,0,0,0,0
1995009,-66.7081,66.7877,1,0,0,0,0,0,0,0,0
1995010,-66.7,66.7282,1,0,0,0,0,0,0,0,0
1995011,-66.7,66.7282,1,0,0,0,0,0,0,0,0
1995012,-66.7,66.7282,1,0,0,0,0,0,0,0,0
