date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1998270,0,0,0,-76.2,-38.4,1,0,0,0,13,6
1998284,0,0,0,-76.2,-38.4,1,0,0,0,13,6
1998285,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998286,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998287,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998288,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998289,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998290,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998291,0,0,0,-76.2,-38.4,1,0,0,0,13,6
1998292,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998293,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998294,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998295,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998296,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998297,0,0,0,-76.2,-38.4,0,0,0,0,0,0
1998298,0,0,0,-76.2,-38.4,1,0,0,0,13,6
1998299,0,0,0,-76.1945,-38.4222,0,0,0,0,0,0
1998300,0,0,0,-76.1802,-38.4793,0,0,0,0,0,0
1998301,0,0,0,-76.1606,-38.5574,0,0,0,0,0,0
1998302,0,0,0,-76.1394,-38.6426,0,0,0,0,0,0
1998303,0,0,0,-76.1198,-38.7207,0,0,0,0,0,0
1998304,0,0,0,-76.1055,-38.7778,0,0,0,0,0,0
1998305,0,0,0,-76.1,-38.8,1,0,0,0,13,6
1998333,0,0,0,-76.1,-38.8,1,0,0,0,13,6
1998334,0,0,0,-76.0723,-38.8205,0,0,0,0,0,0
1998335,0,0,0,-76.0009,-38.8736,0,0,0,0,0,0
1998336,0,0,0,-75.9032,-38.9472,0,0,0,0,0,0
1998337,0,0,0,-75.7968,-39.0289,0,0,0,0,0,0
1998338,0,0,0,-75.6991,-39.1065,0,0,0,0,0,0
1998339,0,0,0,-75.6277,-39.1676,0,0,0,0,0,0
1998340,0,0,0,-75.6,-39.2,1,0,0,0,13,6
1998354,0,0,0,-75.9,-39.3,1,0,0,0,13,6
1999003,0,0,0,-75.4,-39.1,1,0,0,0,13,6
1999080,0,0,0,-74.8,-39.9,1,0,0,0,13,6
1999171,0,0,0,-75.2,-46.8,1,0,0,0,13,6
1999172,0,0,0,-75.1939,-46.9255,0,0,0,0,0,0
1999173,0,0,0,-75.177,-47.0835,0,0,0,0,0,0
1999174,0,0,0,-75.1513,-47.2551,0,0,0,0,0,0
1999175,0,0,0,-75.1187,-47.4214,0,0,0,0,0,0
1999176,0,0,0,-75.0813,-47.5636,0,0,0,0,0,0
1999177,0,0,0,-75.0411,-47.6628,0,0,0,0,0,0
1999178,0,0,0,-75,-47.7,1,0,0,0,13,6
1999179,0,0,0,-74.9484,-47.6723,0,0,0,0,0,0
1999180,0,0,0,-74.8794,-47.6009,0,0,0,0,0,0
1999181,0,0,0,-74.7996,-47.5032,0,0,0,0,0,0
1999182,0,0,0,-74.7152,-47.3968,0,0,0,0,0,0
1999183,0,0,0,-74.6329,-47.2991,0,0,0,0,0,0
1999184,0,0,0,-74.559,-47.2277,0,0,0,0,0,0
1999185,0,0,0,-74.5,-47.2,1,0,0,0,13,6
1999199,0,0,0,-74,-47.4,1,0,0,0,13,6
1999202,0,0,0,0,0,0,-73.6474,-47.7901,1,0,0
1999203,0,0,0,0,0,0,-73.5906,-47.7803,1,0,0
1999204,0,0,0,0,0,0,-73.5577,-48.0767,1,0,0
1999205,0,0,0,0,0,0,-73.5906,-47.7803,1,0,0
1999206,0,0,0,0,0,0,-73.5877,-47.9816,1,0,0
1999207,0,0,0,0,0,0,-73.5607,-47.8759,1,0,0
