date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1998340,-75.7,-39.5,1,0,0,0,13,4
1998354,-75.7,-39.5,1,0,0,0,13,4
1999080,-75,-39.3,1,0,0,0,13,4
1999171,-75,-45.5,1,0,0,0,13,4
1999172,-74.9942,-45.6216,0,0,0,0,0,0
1999173,-74.9778,-45.7781,0,0,0,0,0,0
1999174,-74.9528,-45.9499,0,0,0,0,0,0
1999175,-74.9207,-46.1175,0,0,0,0,0,0
1999176,-74.8834,-46.2614,0,0,0,0,0,0
1999177,-74.8426,-46.3621,0,0,0,0,0,0
1999178,-74.8,-46.4,1,0,0,0,13,4
1999179,-74.7408,-46.3834,0,0,0,0,0,0
1999180,-74.6558,-46.3405,0,0,0,0,0,0
1999181,-74.5552,-46.2819,0,0,0,0,0,0
1999182,-74.4491,-46.2181,0,0,0,0,0,0
1999183,-74.3478,-46.1595,0,0,0,0,0,0
1999184,-74.2613,-46.1166,0,0,0,0,0,0
1999185,-74.2,-46.1,1,0,0,0,13,4
1999199,-73.8,-46.3,1,0,0,0,13,4
1999202,0,0,0,-73.774,-46.2239,1,0,0
1999203,0,0,0,-73.7007,-46.1589,1,0,0
1999204,0,0,0,-73.687,-46.374,1,0,0
1999205,0,0,0,-73.6678,-46.2711,1,0,0
1999206,0,0,0,-73.7771,-46.1809,1,0,0
1999207,0,0,0,-73.6791,-46.3447,1,0,0
1999208,0,0,0,-73.6551,-46.314,1,0,0
1999209,0,0,0,-73.6511,-46.2718,1,0,0
1999210,0,0,0,-73.6833,-46.3603,1,0,0
1999211,0,0,0,-73.829,-46.5175,1,0,0
1999212,0,0,0,-73.949,-46.2801,1,0,0
1999213,0,0,0,-74.0643,-46.6283,1,0,0
1999214,0,0,0,-74.2021,-46.5538,1,0,0
1999215,0,0,0,-74.2562,-46.5156,1,0,0
1999216,0,0,0,-74.2935,-46.5054,1,0,0
1999217,0,0,0,-74.2405,-46.5438,1,0,0
1999218,0,0,0,-74.2004,-46.4254,1,0,0
1999219,0,0,0,-74.1685,-46.8502,1,0,0
1999220,-73.8,-46.7,1,-74.1196,-46.8465,1,13,4
1999221,-73.8,-46.687,0,-74.1421,-46.9388,1,0,0
1999222,-73.8,-46.6526,0,-74.0576,-46.8246,1,0,0
1999223,-73.8,-46.6037,0,-74.0006,-46.818,1,0,0
1999224,-73.8,-46.5471,0,-73.8359,-46.671,1,0,0
1999225,-73.8,-46.4898,0,-73.7611,-46.8032,1,0,0
1999226,-73.8,-46.4384,0,-73.7777,-46.7474,1,0,0
1999227,-73.8,-46.4,1,-73.7464,-46.6288,1,13,4
1999228,0,0,0,-73.7508,-46.6139,1,0,0
1999229,0,0,0,-73.7625,-46.6305,1,0,0
1999230,0,0,0,-73.7185,-46.5551,1,0,0
1999231,0,0,0,-73.7608,-46.8897,1,0,0
1999232,0,0,0,-73.6827,-46.4483,1,0,0
1999233,0,0,0,-73.6881,-46.202,1,0,0
1999234,0,0,0,-73.6835,-46.3337,1,0,0
1999235,0,0,0,-73.6282,-46.1557,1,0,0
1999236,0,0,0,-73.5174,-46.2481,1,0,0
1999237,0,0,0,-73.4515,-46.2996,1,0,0
1999238,0,0,0,-73.4178,-46.438,1,0,0
1999239,0,0,0,-73.3409,-46.5325,1,0,0
1999240,0,0,0,-73.3635,-46.6471,1,0,0
1999241,-73.05,-46.1,1,-73.3437,-46.5739,1,13,4
1999242,0,0,0,-73.3758,-46.5498,1,0,0
1999243,0,0,0,-73.2233,-46.4509,1,0,0
1999244,0,0,0,-73.1227,-46.2314,1,0,0
1999245,0,0,0,-73.0783,-46.2153,1,0,0
1999246,0,0,0,-72.9931,-46.1963,1,0,0
1999247,0,0,0,-72.9283,-46.0784,1,0,0
1999248,0,0,0,-72.8685,-45.9235,1,0,0
1999249,0,0,0,-72.9245,-45.9275,1,0,0
1999250,0,0,0,-72.95,-46.4136,1,0,0
