date,qscat_1,qscat_2,qscat_3
2000300,-77.202,-50.2639,1
2000301,-77.1606,-49.1003,1
2000302,-77.1606,-49.1003,1
2000303,-77.1606,-49.1003,1
2000304,-77.1606,-49.1003,1
2000305,-77.1606,-49.1003,1
2000306,-77.1606,-49.1003,1
2000307,-77.1606,-49.1003,1
2000308,-77.1606,-49.1003,1
2000309,-77.1606,-49.1003,1
2000310,-77.2361,-48.9368,1
2000311,-77.2361,-48.9368,1
2000312,-77.1418,-48.7871,1
2000313,-77.1418,-48.7871,1
2000314,-77.1418,-48.7871,1
2000315,-77.1418,-48.7871,1
2000316,-77.1418,-48.7871,1
2000317,-77.1418,-48.7871,1
2000318,-77.1418,-48.7871,1
2000319,-77.1418,-48.7871,1
2000320,-77.1418,-48.7871,1
2000321,-77.1418,-48.7871,1
2000322,-77.1418,-48.7871,0
2000323,-77.1418,-48.7871,0
2000324,-77.1418,-48.7871,1
2000325,-77.1418,-48.7871,1
2000326,-77.1418,-48.7871,1
2000327,-77.1938,-49.1054,1
2000328,-77.1938,-49.1054,1
2000329,-77.1938,-49.1054,1
2000330,-77.1938,-49.1054,1
2000331,-77.1938,-49.1054,1
2000332,-77.1938,-49.1054,1
2000333,-77.1938,-49.1054,1
2000334,-77.1938,-49.1054,1
2000335,-77.2712,-48.8738,1
2000336,-77.2712,-48.8738,1
2000337,-77.2712,-48.8738,1
2000338,-77.2712,-48.8738,1
2000339,-77.2712,-48.8738,1
2000340,-77.1868,-49.7967,1
2000341,-77.1868,-49.7967,1
2000342,-77.1826,-49.7716,1
2000343,-77.1969,-49.5428,1
2000344,-77.199,-49.5185,1
2000345,-77.2694,-49.4875,1
2000346,-77.2698,-49.4802,1
2000347,-77.2698,-49.4802,1
2000348,-77.2991,-49.3719,1
2000349,-77.2999,-49.3633,1
2000350,-77.2999,-49.3633,1
2000351,-77.2892,-49.3966,1
2000352,-77.2892,-49.3966,1
2000353,-77.2844,-49.4261,1
2000354,-77.2844,-49.4261,1
2000355,-77.1616,-49.0636,1
2000356,-77.2743,-48.9442,1
2000357,-77.2299,-49.1078,1
2000358,-77.2461,-49.0523,1
2000359,-77.1927,-49.022,1
2000360,-77.206,-49.0853,1
2000361,-77.2091,-48.9519,1
2000362,-77.2091,-48.9519,1
2000363,-77.1848,-48.8103,1
2000364,-77.1945,-48.8987,1
2000365,-77.1945,-48.8987,1
2000366,-77.1942,-48.903,1
2001001,-77.1932,-48.7907,1
2001002,-77.2095,-48.8369,1
2001003,-77.2094,-48.735,1
2001004,-77.2254,-48.6688,1
2001005,-77.2538,-48.8948,1
2001006,-77.267,-48.8396,1
2001007,-77.2803,-48.8703,1
2001008,-77.2803,-48.8703,1
2001009,-77.295,-48.8511,1
2001010,-77.295,-48.8511,1
2001011,-77.295,-48.8511,1
2001012,-77.295,-48.8511,1
2001013,-77.295,-48.8511,1
2001014,-77.295,-48.8511,1
2001015,-77.2924,-48.8635,1
2001016,-77.2978,-48.7627,1
2001017,-77.2978,-48.7627,1
2001018,-77.2585,-48.7965,1
2001019,-77.2559,-48.8437,1
2001020,-77.2559,-48.8437,1
2001021,-77.2559,-48.8437,1
2001022,-77.2559,-48.8437,1
2001023,-77.2559,-48.8437,1
2001024,-77.2559,-48.8437,1
2001025,-77.2559,-48.8437,1
2001026,-77.2559,-48.8437,1
2001027,-77.2559,-48.8437,1
2001028,-77.2559,-48.8437,1
2001029,-77.3623,-49.0425,1
2001030,-77.3623,-49.0425,1
2001031,-77.3623,-49.0425,1
2001032,-77.3623,-49.0425,1
2001033,-77.3623,-49.0425,1
2001034,-77.3623,-49.0425,1
2001035,-77.3623,-49.0425,1
2001036,-77.3623,-49.0425,1
2001037,-77.3623,-49.0425,1
2001038,-77.3623,-49.0425,1
2001039,-77.3623,-49.0425,1
2001040,-77.3623,-49.0425,1
2001041,-77.3623,-49.0425,1
2001042,-77.3623,-49.0425,1
2001043,-77.3623,-49.0425,1
2001044,-77.3623,-49.0425,1
2001045,-77.3623,-49.0425,1
2001046,-77.3623,-49.0425,1
2001047,-77.3623,-49.0425,1
2001048,-77.3623,-49.0425,1
2001049,-77.3623,-49.0425,1
2001050,-77.3623,-49.0425,1
2001051,-77.3623,-49.0425,1
2001052,-77.3623,-49.0425,1
2001053,-77.3623,-49.0425,1
2001054,-77.3623,-49.0425,1
2001055,-77.3623,-49.0425,1
2001056,-77.3623,-49.0425,1
2001057,-77.3623,-49.0425,1
2001058,-77.3623,-49.0425,1
2001059,-77.3623,-49.0425,1
2001060,-77.3623,-49.0425,1
2001061,-77.3623,-49.0425,1
2001062,-77.3623,-49.0425,1
2001063,-77.3623,-49.0425,1
2001064,-77.3623,-49.0425,1
2001065,-77.3623,-49.0425,1
2001066,-77.3623,-49.0425,1
2001067,-77.3623,-49.0425,1
2001068,-77.3623,-49.0425,1
2001069,-77.3623,-49.0425,1
2001070,-77.3623,-49.0425,1
2001071,-77.3623,-49.0425,1
2001072,-77.3623,-49.0425,1
2001073,-77.3623,-49.0425,1
2001074,-77.3623,-49.0425,1
2001075,-77.3623,-49.0425,1
2001076,-77.3623,-49.0425,1
2001077,-77.3623,-49.0425,1
2001078,-77.3623,-49.0425,1
2001079,-77.3623,-49.0425,1
2001080,-77.3623,-49.0425,1
2001081,-77.3623,-49.0425,1
2001082,-77.3623,-49.0425,1
2001083,-77.3623,-49.0425,1
2001084,-77.3623,-49.0425,1
2001085,-77.3623,-49.0425,1
2001086,-77.3623,-49.0425,1
2001087,-77.3623,-49.0425,1
2001088,-77.3623,-49.0425,1
2001089,-77.3623,-49.0425,1
2001090,-77.3623,-49.0425,1
2001091,-77.3623,-49.0425,1
2001092,-77.3623,-49.0425,1
2001093,-77.3623,-49.0425,1
2001094,-77.3623,-49.0425,1
2001095,-77.3623,-49.0425,1
2001096,-77.3623,-49.0425,1
2001097,-77.3623,-49.0425,1
2001098,-77.3623,-49.0425,1
2001099,-77.3623,-49.0425,1
2001100,-77.3623,-49.0425,1
2001101,-77.3623,-49.0425,1
2001102,-77.3623,-49.0425,1
2001103,-77.3623,-49.0425,1
2001104,-77.3623,-49.0425,1
2001105,-77.3623,-49.0425,1
2001106,-77.3623,-49.0425,1
2001107,-77.3623,-49.0425,1
2001108,-77.3623,-49.0425,1
2001109,-77.3623,-49.0425,1
2001110,-77.3623,-49.0425,1
2001111,-77.3623,-49.0425,1
2001112,-77.3623,-49.0425,1
2001113,-77.3623,-49.0425,1
2001114,-77.3623,-49.0425,1
2001115,-77.3623,-49.0425,1
2001116,-77.3623,-49.0425,1
2001117,-77.3623,-49.0425,1
2001118,-77.3623,-49.0425,1
2001119,-77.3623,-49.0425,1
2001120,-77.3623,-49.0425,1
2001121,-77.3623,-49.0425,1
2001122,-77.3623,-49.0425,1
2001123,-77.3623,-49.0425,1
2001124,-77.3623,-49.0425,1
2001125,-77.3623,-49.0425,1
2001126,-77.3623,-49.0425,1
2001127,-77.3623,-49.0425,1
2001128,-77.3623,-49.0425,1
2001129,-77.3623,-49.0425,1
