date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000128,-77,-55.2,1,0,0,0,0,0,0,46,20
2000136,0,0,0,-75.8831,-54.9736,1,0,0,0,0,0
2000137,0,0,0,-75.8499,-55.0686,1,0,0,0,0,0
2000138,0,0,0,-75.8499,-55.0686,1,0,0,0,0,0
2000139,0,0,0,-75.8267,-54.9331,1,0,0,0,0,0
2000140,0,0,0,-75.8267,-54.9331,1,0,0,0,0,0
2000141,0,0,0,-75.8034,-54.7981,1,0,0,0,0,0
2000142,0,0,0,-75.8034,-54.7981,1,0,0,0,0,0
2000143,0,0,0,-75.8034,-54.7981,1,0,0,0,0,0
2000144,0,0,0,-75.8034,-54.7981,1,0,0,0,0,0
2000145,0,0,0,-75.7703,-54.8929,1,0,0,0,0,0
2000146,0,0,0,-75.747,-54.7585,1,0,0,0,0,0
2000147,0,0,0,-75.7139,-54.8531,1,0,0,0,0,0
2000148,0,0,0,-75.704,-55.0813,1,0,0,0,0,0
2000149,-76.3,-53.2,1,-75.704,-55.0813,1,0,0,0,46,20
2000150,-76.2485,-53.3108,0,-75.704,-55.0813,1,0,0,0,0,0
2000151,-76.1858,-53.5965,0,-75.6808,-54.9472,1,0,0,0,0,0
2000152,-76.1174,-53.9872,0,-75.6808,-54.9472,1,0,0,0,0,0
2000153,-76.0491,-54.4128,0,-75.6808,-54.9472,1,0,0,0,0,0
2000154,-75.9863,-54.8035,0,-75.7372,-54.9874,1,0,0,0,0,0
2000155,-75.9348,-55.0892,0,-75.6477,-55.041,1,0,0,0,0,0
2000156,-75.9,-55.2,1,-75.6808,-54.9472,1,0,0,0,46,20
2000157,0,0,0,-75.6575,-54.8136,1,0,0,0,0,0
2000158,0,0,0,-75.6808,-54.9472,1,0,0,0,0,0
2000159,0,0,0,-75.6808,-54.9472,1,0,0,0,0,0
2000160,0,0,0,-75.6808,-54.9472,1,0,0,0,0,0
2000161,0,0,0,-75.6477,-55.041,1,0,0,0,0,0
2000162,0,0,0,-75.6477,-55.041,1,0,0,0,0,0
2000163,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000164,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000165,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000166,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000167,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000168,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000169,0,0,0,-75.6145,-55.1342,1,0,0,0,0,0
2000170,-75.7,-55.1,1,-75.5582,-55.0939,1,0,0,0,46,20
2000171,-75.7,-55.1,0,-75.5582,-55.0939,1,0,0,0,0,0
2000172,-75.7,-55.1,0,-75.6145,-55.1342,1,0,0,0,0,0
2000173,-75.7,-55.1,0,-75.6145,-55.1342,1,0,0,0,0,0
2000174,-75.7,-55.1,0,-75.5913,-55.0009,1,0,0,0,0,0
2000175,-75.7,-55.1,0,-75.5913,-55.0009,1,0,0,0,0,0
2000176,-75.7,-55.1,0,-75.5913,-55.0009,1,0,0,0,0,0
2000177,-75.7,-55.1,1,-75.5913,-55.0009,1,0,0,0,46,20
2000178,-75.6889,-55.0924,0,-75.5913,-55.0009,1,0,0,0,0,0
2000179,-75.6603,-55.072,0,-75.5913,-55.0009,1,0,0,0,0,0
2000180,-75.6213,-55.0423,0,-75.5681,-54.868,1,0,0,0,0,0
2000181,-75.5787,-55.0067,0,-75.5681,-54.868,1,0,0,0,0,0
2000182,-75.5397,-54.9688,0,-75.5681,-54.868,1,0,0,0,0,0
2000183,-75.5111,-54.9321,0,-75.5681,-54.868,1,0,0,0,0,0
2000184,-75.5,-54.9,1,-75.5448,-54.7355,1,0,0,0,46,20
2000185,0,0,0,-75.5448,-54.7355,1,0,0,0,0,0
2000186,0,0,0,-75.5448,-54.7355,1,0,0,0,0,0
2000187,0,0,0,-75.5448,-54.7355,1,0,0,0,0,0
2000188,0,0,0,-75.5214,-54.6034,1,0,0,0,0,0
2000189,0,0,0,-75.4884,-54.6969,1,0,0,0,0,0
2000190,0,0,0,-75.4884,-54.6969,1,0,0,0,0,0
2000191,0,0,0,-75.4884,-54.6969,1,0,0,0,0,0
2000192,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000193,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000194,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000195,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000196,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000197,0,0,0,-75.465,-54.5654,1,0,0,0,0,0
2000198,-75.5,-54.5,1,-75.465,-54.5654,1,0,0,0,46,20
2000199,-75.4968,-54.5052,0,-75.432,-54.6586,1,0,0,0,0,0
2000200,-75.4879,-54.5202,0,-75.4157,-54.5931,0,0,0,0,0,0
2000201,-75.4746,-54.5437,0,-75.4086,-54.5277,1,0,0,0,0,0
2000202,-75.458,-54.5746,0,-75.4086,-54.5277,1,0,0,0,0,0
2000203,-75.4393,-54.6118,0,-75.4086,-54.5277,1,0,0,0,0,0
2000204,-75.4195,-54.6539,0,-75.4086,-54.5277,1,0,0,0,0,0
2000205,-75.4,-54.7,1,-75.3756,-54.6206,1,0,0,0,46,20
2000206,-75.3791,-54.7904,0,-75.3522,-54.4903,1,0,0,0,0,0
2000207,-75.3549,-54.9468,0,-75.3522,-54.4903,1,0,0,0,0,0
2000208,-75.3278,-55.1402,0,-75.2958,-54.4532,1,0,0,0,0,0
