date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2001119,-71.2,-58.7,1,0,0,0,0,0,0,27,18
2001123,0,0,0,-71.2,-58.7,1,0,0,0,0,0
2001124,0,0,0,-71.2,-58.7,1,0,0,0,0,0
2001125,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001126,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001127,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001128,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001129,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001130,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001131,0,0,0,-71.2112,-58.6561,0,0,0,0,0,0
2001132,0,0,0,-71.2112,-58.6561,0,0,0,0,0,0
2001133,0,0,0,-71.2112,-58.6561,0,0,0,0,0,0
2001134,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001135,0,0,0,-71.2112,-58.6561,1,0,0,0,0,0
2001136,0,0,0,-71.2501,-58.5548,1,0,0,0,0,0
2001137,0,0,0,-71.2501,-58.5548,1,0,0,0,0,0
2001138,0,0,0,-71.2501,-58.5548,1,0,0,0,0,0
2001139,0,0,0,-71.2884,-58.4818,1,0,0,0,0,0
2001140,0,0,0,-71.2884,-58.4818,1,0,0,0,0,0
2001141,0,0,0,-71.2884,-58.4818,1,0,0,0,0,0
2001142,0,0,0,-71.2884,-58.4818,1,0,0,0,0,0
2001143,0,0,0,-71.2884,-58.4818,1,0,0,0,0,0
2001144,0,0,0,-71.2868,-58.5954,1,0,0,0,0,0
2001145,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001146,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001147,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001148,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001149,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001150,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001151,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001152,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001153,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001154,-71.3,-58.8,1,-71.2321,-58.6619,1,0,0,0,27,18
2001155,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001156,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001157,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001158,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001159,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001160,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001161,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001162,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001163,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001164,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001165,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001166,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001167,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001168,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001169,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001170,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001171,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001172,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001173,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
2001174,0,0,0,-71.2321,-58.6619,1,0,0,0,0,0
