date,nic_1,nic_2,nic_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2001119,-71.1,-58.2,1,0,0,0,16,14
2001154,-71,-58.3,1,0,0,0,16,14
2001210,-71,-56.3,1,0,0,0,14,10
2001224,-71,-56.3,1,0,0,0,14,10
2001225,-71,-56.3908,0,0,0,0,0,0
2001226,-71,-56.6286,0,0,0,0,0,0
2001227,-71,-56.9612,0,0,0,0,0,0
2001228,-71,-57.3367,0,0,0,0,0,0
2001229,-71,-57.703,0,0,0,0,0,0
2001230,-71,-58.0081,0,0,0,0,0,0
2001231,-71,-58.2,1,0,0,0,14,10
2001245,-70.7667,-59.1667,1,0,0,0,14,10
2001273,-70.6,-59.2,1,0,0,0,14,10
2001274,-70.5875,-59.2154,0,0,0,0,0,0
2001275,-70.5712,-59.2519,0,0,0,0,0,0
2001276,-70.5517,-59.3038,0,0,0,0,0,0
2001277,-70.5293,-59.3654,0,0,0,0,0,0
2001278,-70.5046,-59.4308,0,0,0,0,0,0
2001279,-70.478,-59.4942,0,0,0,0,0,0
2001280,-70.45,-59.55,1,0,0,0,14,10
2001281,-70.4182,-59.6061,0,0,0,0,0,0
2001282,-70.3806,-59.6704,0,0,0,0,0,0
2001283,-70.3385,-59.7367,0,0,0,0,0,0
2001284,-70.2932,-59.799,0,0,0,0,0,0
2001285,-70.2458,-59.851,0,0,0,0,0,0
2001286,-70.1977,-59.8867,0,0,0,0,0,0
2001287,-70.15,-59.9,1,0,0,0,14,10
2001301,-69.4,-59.3,1,0,0,0,14,10
2001315,-69.3,-59.4,1,0,0,0,14,10
2001316,-69.3,-59.4,0,0,0,0,0,0
2001317,-69.3,-59.4,0,0,0,0,0,0
2001318,-69.3,-59.4,0,0,0,0,0,0
2001319,-69.3,-59.4,0,0,0,0,0,0
2001320,-69.3,-59.4,0,0,0,0,0,0
2001321,-69.3,-59.4,0,0,0,0,0,0
2001322,-69.3,-59.4,1,0,0,0,14,10
2001323,-69.3,-59.3962,0,0,0,0,0,0
2001324,-69.3,-59.386,0,0,0,0,0,0
2001325,-69.3,-59.3711,0,0,0,0,0,0
2001326,-69.3,-59.3534,0,0,0,0,0,0
2001327,-69.3,-59.3344,0,0,0,0,0,0
2001328,-69.3,-59.316,0,0,0,0,0,0
2001329,-69.3,-59.3,1,0,0,0,14,10
2001330,-69.3111,-59.284,0,0,0,0,0,0
2001331,-69.3397,-59.2656,0,0,0,0,0,0
2001332,-69.3787,-59.2466,0,0,0,0,0,0
2001333,-69.4213,-59.2289,0,0,0,0,0,0
2001334,-69.4603,-59.214,0,0,0,0,0,0
2001335,-69.4889,-59.2038,0,0,0,0,0,0
2001336,-69.5,-59.2,1,0,0,0,14,10
2001337,-69.4806,-59.2055,0,0,0,0,0,0
2001338,-69.4306,-59.2198,0,0,0,0,0,0
2001339,-69.3622,-59.2394,0,0,0,0,0,0
2001340,-69.2878,-59.2606,0,0,0,0,0,0
2001341,-69.2194,-59.2802,0,0,0,0,0,0
2001342,-69.1694,-59.2945,0,0,0,0,0,0
2001343,-69.15,-59.3,1,0,0,0,14,10
2001365,-69.1683,-59.2867,1,0,0,0,14,10
2002001,-69.3786,-59.1337,0,0,0,0,0,0
2002002,-69.595,-58.9763,0,0,0,0,0,0
2002003,-69.7,-58.9,1,0,0,0,0,0
2002020,-69.3,-58.9,1,0,0,0,14,10
2002055,-69.28,-59.22,1,0,0,0,14,10
2003005,-68.35,-59.35,1,0,0,0,14,10
2003019,-68.2,-59.2,1,0,0,0,14,10
2003020,-68.2111,-59.2111,0,0,0,0,0,0
2003021,-68.2397,-59.2397,0,0,0,0,0,0
2003022,-68.2787,-59.2787,0,0,0,0,0,0
2003023,-68.3213,-59.3213,0,0,0,0,0,0
2003024,-68.3603,-59.3603,0,0,0,0,0,0
2003025,-68.3889,-59.3889,0,0,0,0,0,0
2003026,-68.4,-59.4,1,0,0,0,14,10
2003027,-68.3889,-59.3889,0,0,0,0,0,0
2003028,-68.3603,-59.3603,0,0,0,0,0,0
2003029,-68.3213,-59.3213,0,0,0,0,0,0
2003030,-68.2787,-59.2787,0,0,0,0,0,0
2003031,-68.2397,-59.2397,0,0,0,0,0,0
2003032,-68.2111,-59.2111,0,0,0,0,0,0
2003033,-68.2,-59.2,1,0,0,0,14,10
2003034,-68.2111,-59.2443,0,0,0,0,0,0
2003035,-68.2397,-59.3586,0,0,0,0,0,0
2003036,-68.2787,-59.5149,0,0,0,0,0,0
2003037,-68.3213,-59.6851,0,0,0,0,0,0
2003038,-68.3603,-59.8414,0,0,0,0,0,0
2003039,-68.3889,-59.9557,0,0,0,0,0,0
2003040,-68.4,-60,1,0,0,0,14,10
2003041,-68.4,-60,0,0,0,0,0,0
2003042,-68.4,-60,0,0,0,0,0,0
2003043,-68.4,-60,0,0,0,0,0,0
2003044,-68.4,-60,0,0,0,0,0,0
2003045,-68.4,-60,0,0,0,0,0,0
2003046,-68.4,-60,0,0,0,0,0,0
2003047,-68.4,-60,1,0,0,0,14,10
2003048,-68.4,-59.9668,0,0,0,0,0,0
2003049,-68.4,-59.881,0,0,0,0,0,0
2003050,-68.4,-59.7638,0,0,0,0,0,0
2003051,-68.4,-59.6362,0,0,0,0,0,0
2003052,-68.4,-59.519,0,0,0,0,0,0
2003053,-68.4,-59.4332,0,0,0,0,0,0
