date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2001157,0,0,0,-71.63,-59.4,1,0,0,0,0,0
2001158,0,0,0,-71.63,-59.4,1,0,0,0,0,0
2001159,0,0,0,-71.63,-59.4,1,0,0,0,0,0
2001160,0,0,0,-71.6087,-59.6128,1,0,0,0,0,0
2001161,0,0,0,-71.6087,-59.6128,1,0,0,0,0,0
2001162,0,0,0,-71.6087,-59.6128,1,0,0,0,0,0
2001163,0,0,0,-71.5629,-59.3172,1,0,0,0,0,0
2001164,0,0,0,-71.5629,-59.3172,1,0,0,0,0,0
2001165,0,0,0,-71.5629,-59.3172,1,0,0,0,0,0
2001166,0,0,0,-71.5629,-59.3172,1,0,0,0,0,0
2001167,0,0,0,-71.5629,-59.3172,1,0,0,0,0,0
2001168,0,0,0,-71.471,-59.2526,1,0,0,0,0,0
2001169,0,0,0,-71.471,-59.2526,1,0,0,0,0,0
2001170,0,0,0,-71.471,-59.2526,1,0,0,0,0,0
2001171,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001172,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001173,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001174,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001175,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001176,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001177,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001178,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001179,0,0,0,-71.4042,-59.3593,1,0,0,0,0,0
2001180,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001181,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001182,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001183,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001184,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001185,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001186,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001187,0,0,0,-71.387,-59.5286,1,0,0,0,0,0
2001188,0,0,0,-71.3596,-59.5595,0,0,0,0,0,0
2001189,0,0,0,-71.3089,-59.617,0,0,0,0,0,0
2001190,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001191,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001192,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001193,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001194,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001195,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001196,0,0,0,-71.2815,-59.6479,1,0,0,0,0,0
2001197,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001198,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001199,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001200,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001201,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001202,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001203,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001204,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001205,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001206,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001207,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001208,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001209,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001210,-71.1,-59.8,1,-71.2482,-59.7006,1,0,0,0,44,22
2001211,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001212,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001213,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001214,0,0,0,-71.2482,-59.7006,1,0,0,0,0,0
2001215,0,0,0,-71.1853,-59.7059,1,0,0,0,0,0
2001216,0,0,0,-71.1853,-59.7059,1,0,0,0,0,0
2001217,0,0,0,-71.1853,-59.7059,1,0,0,0,0,0
2001218,0,0,0,-71.1853,-59.7059,1,0,0,0,0,0
2001219,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001220,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001221,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001222,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001223,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001224,-71.1,-59.7,1,-71.1272,-59.7663,1,0,0,0,44,22
2001225,-71.1,-59.6872,0,-71.1272,-59.7663,1,0,0,0,0,0
2001226,-71.1,-59.6701,0,-71.1272,-59.7663,1,0,0,0,0,0
2001227,-71.1,-59.651,0,-71.1272,-59.7663,1,0,0,0,0,0
2001228,-71.1,-59.6321,0,-71.1272,-59.7663,1,0,0,0,0,0
2001229,-71.1,-59.6158,0,-71.1272,-59.7663,1,0,0,0,0,0
2001230,-71.1,-59.6043,0,-71.1272,-59.7663,1,0,0,0,0,0
2001231,-71.1,-59.6,1,-71.1272,-59.7663,1,0,0,0,44,22
2001232,0,0,0,-71.1272,-59.7663,1,0,0,0,0,0
2001233,0,0,0,-70.9167,-59.5293,1,0,0,0,0,0
2001234,0,0,0,-70.9167,-59.5293,1,0,0,0,0,0
2001235,0,0,0,-70.8016,-59.5501,1,0,0,0,0,0
2001236,0,0,0,-70.8016,-59.5501,1,0,0,0,0,0
2001237,0,0,0,-70.8016,-59.5501,1,0,0,0,0,0
2001238,0,0,0,-70.7291,-59.5482,1,0,0,0,0,0
2001239,0,0,0,-70.7291,-59.5482,1,0,0,0,0,0
2001240,0,0,0,-70.6556,-59.6179,1,0,0,0,0,0
2001241,0,0,0,-70.6556,-59.6179,1,0,0,0,0,0
2001242,0,0,0,-70.6556,-59.6179,1,0,0,0,0,0
2001243,0,0,0,-70.5727,-59.668,1,0,0,0,0,0
2001244,0,0,0,-70.5727,-59.668,1,0,0,0,0,0
2001245,-70.4,-59.9,1,-70.5727,-59.668,1,0,0,0,44,22
2001246,-70.381,-59.9,0,-70.4078,-59.7578,1,0,0,0,0,0
2001247,-70.3653,-59.9,0,-70.3423,-59.8193,1,0,0,0,0,0
2001248,-70.3519,-59.9,0,-70.3423,-59.8193,1,0,0,0,0,0
2001249,-70.3396,-59.9,0,-70.3423,-59.8193,1,0,0,0,0,0
2001250,-70.3276,-59.9,0,-70.3423,-59.8193,1,0,0,0,0,0
2001251,-70.3147,-59.9,0,-70.3423,-59.8193,1,0,0,0,0,0
2001252,-70.3,-59.9,1,-70.3423,-59.8193,1,0,0,0,44,22
2001253,0,0,0,-70.3423,-59.8193,1,0,0,0,0,0
2001254,0,0,0,-70.3423,-59.8193,1,0,0,0,0,0
2001255,0,0,0,-70.2544,-59.9022,1,0,0,0,0,0
2001256,0,0,0,-70.2544,-59.9022,1,0,0,0,0,0
2001257,0,0,0,-70.1989,-59.8519,1,0,0,0,0,0
2001258,0,0,0,-70.1989,-59.8519,1,0,0,0,0,0
2001259,0,0,0,-70.12,-59.7742,1,0,0,0,0,0
2001260,0,0,0,-70.12,-59.7742,1,0,0,0,0,0
2001261,0,0,0,-70.12,-59.7742,1,0,0,0,0,0
2001262,0,0,0,-70.12,-59.7742,1,0,0,0,0,0
2001263,0,0,0,-70.12,-59.7742,1,0,0,0,0,0
2001264,0,0,0,-70.0721,-59.6783,1,0,0,0,0,0
2001265,0,0,0,-70.0721,-59.6783,1,0,0,0,0,0
2001266,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001267,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001268,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001269,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001270,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001271,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001272,0,0,0,-70.0319,-59.6209,1,0,0,0,0,0
2001273,-69.9,-59.35,1,-69.996,-59.4707,1,0,0,0,44,22
2001274,-69.9,-59.341,0,-69.996,-59.4707,1,0,0,0,0,0
2001275,-69.9,-59.334,0,-69.996,-59.4707,1,0,0,0,0,0
2001276,-69.9,-59.3282,0,-69.996,-59.4707,1,0,0,0,0,0
2001277,-69.9,-59.3226,0,-69.9694,-59.3393,1,0,0,0,0,0
2001278,-69.9,-59.3167,0,-69.9694,-59.3393,1,0,0,0,0,0
2001279,-69.9,-59.3094,0,-69.9694,-59.3393,1,0,0,0,0,0
2001280,-69.9,-59.3,1,-69.9594,-59.2469,1,0,0,0,44,22
2001281,-69.8986,-59.2875,0,-69.9594,-59.2469,1,0,0,0,0,0
2001282,-69.8947,-59.2716,0,-69.9594,-59.2469,1,0,0,0,0,0
2001283,-69.8886,-59.2526,0,-69.9594,-59.2469,1,0,0,0,0,0
2001284,-69.8807,-59.2306,0,-69.9594,-59.2469,1,0,0,0,0,0
2001285,-69.8714,-59.2061,0,-69.9594,-59.2469,1,0,0,0,0,0
2001286,-69.861,-59.1791,0,-69.9594,-59.2469,1,0,0,0,0,0
2001287,-69.85,-59.15,1,-69.9594,-59.2469,1,0,0,0,44,22
2001288,0,0,0,-69.9594,-59.2469,1,0,0,0,0,0
2001289,0,0,0,-69.9594,-59.2469,1,0,0,0,0,0
2001290,0,0,0,-69.8692,-59.0342,1,0,0,0,0,0
2001291,0,0,0,-69.8295,-58.7736,1,0,0,0,0,0
2001292,0,0,0,-69.8295,-58.7736,1,0,0,0,0,0
2001293,0,0,0,-69.8295,-58.7736,1,0,0,0,0,0
2001294,0,0,0,-69.7767,-58.7269,1,0,0,0,0,0
2001295,0,0,0,-69.7767,-58.7269,1,0,0,0,0,0
2001296,0,0,0,-69.7767,-58.7269,1,0,0,0,0,0
2001297,0,0,0,-69.666,-58.6371,1,0,0,0,0,0
2001298,0,0,0,-69.6146,-58.544,1,0,0,0,0,0
2001299,0,0,0,-69.6146,-58.544,1,0,0,0,0,0
2001300,0,0,0,-69.6146,-58.544,1,0,0,0,0,0
2001301,-69.3,-58.3,1,-69.5499,-58.4746,1,0,0,0,44,22
2001302,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001303,0,0,0,-69.5748,-58.5003,1,0,0,0,0,0
2001304,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001305,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001306,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001307,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001308,0,0,0,-69.5499,-58.4746,1,0,0,0,0,0
2001309,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001310,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001311,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001312,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001313,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001314,0,0,0,-69.5691,-58.3561,1,0,0,0,0,0
2001315,-69.3,-58.2,1,-69.5691,-58.3561,1,0,0,0,44,22
2001316,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001317,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001318,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001319,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001320,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001321,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001322,-69.3,-58.2,1,-69.5691,-58.3561,0,0,0,0,44,22
2001323,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001324,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001325,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001326,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001327,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001328,-69.3,-58.2,0,-69.5691,-58.3561,1,0,0,0,0,0
2001329,-69.3,-58.2,1,-69.5691,-58.3561,1,0,0,0,44,22
2001330,-69.3055,-58.2222,0,-69.5691,-58.3561,1,0,0,0,0,0
2001331,-69.3198,-58.2793,0,-69.5691,-58.3561,1,0,0,0,0,0
2001332,-69.3394,-58.3574,0,-69.5691,-58.3561,1,0,0,0,0,0
2001333,-69.3606,-58.4426,0,-69.5691,-58.3561,1,0,0,0,0,0
2001334,-69.3802,-58.5207,0,-69.5691,-58.3561,1,0,0,0,0,0
2001335,-69.3945,-58.5778,0,-69.4689,-58.5156,1,0,0,0,0,0
2001336,-69.4,-58.6,1,-69.4689,-58.5156,1,0,0,0,44,22
2001337,-69.3945,-58.5778,0,-69.4689,-58.5156,1,0,0,0,0,0
2001338,-69.3802,-58.5207,0,-69.4689,-58.5156,1,0,0,0,0,0
2001339,-69.3606,-58.4426,0,-69.4689,-58.5156,1,0,0,0,0,0
2001340,-69.3394,-58.3574,0,-69.4689,-58.5156,1,0,0,0,0,0
2001341,-69.3198,-58.2793,0,-69.4689,-58.5156,1,0,0,0,0,0
2001342,-69.3055,-58.2222,0,-69.4689,-58.5156,1,0,0,0,0,0
2001343,-69.3,-58.2,1,-69.4689,-58.5156,1,0,0,0,44,22
2001344,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001345,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001346,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001347,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001348,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001349,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001350,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001351,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001352,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001353,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001354,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001355,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001356,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001357,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001358,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001359,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001360,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001361,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001362,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001363,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001364,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
2001365,0,0,0,-69.4689,-58.5156,1,0,0,0,0,0
