date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2001157,0,0,0,-71.63,-59.4,1,0,0
2001158,0,0,0,-71.4265,-57.1839,1,0,0
2001159,0,0,0,-71.1965,-56.9849,1,0,0
2001160,0,0,0,-71.1965,-56.9849,1,0,0
2001161,0,0,0,-71.1965,-56.9849,1,0,0
2001162,0,0,0,-71.1965,-56.9849,1,0,0
2001163,0,0,0,-71.1965,-56.9849,1,0,0
2001164,0,0,0,-71.1965,-56.9849,1,0,0
2001165,0,0,0,-71.1965,-56.9849,1,0,0
2001166,0,0,0,-71.1337,-56.7578,1,0,0
2001167,0,0,0,-71.1337,-56.7578,1,0,0
2001168,0,0,0,-71.1337,-56.7578,1,0,0
2001169,0,0,0,-71.1337,-56.7578,1,0,0
2001170,0,0,0,-71.1337,-56.7578,1,0,0
2001171,0,0,0,-71.1337,-56.7578,1,0,0
2001172,0,0,0,-71.1337,-56.7578,1,0,0
2001173,0,0,0,-71.1337,-56.7578,1,0,0
2001174,0,0,0,-71.1337,-56.7578,1,0,0
2001175,0,0,0,-71.1337,-56.7578,1,0,0
2001176,0,0,0,-71.1188,-56.0065,1,0,0
2001177,0,0,0,-71.1188,-56.0065,1,0,0
2001178,0,0,0,-71.1188,-56.0065,1,0,0
2001179,0,0,0,-71.1188,-56.0065,1,0,0
2001180,0,0,0,-71.1188,-56.0065,1,0,0
2001181,0,0,0,-71.1188,-56.0065,1,0,0
2001182,0,0,0,-70.8966,-56.1001,1,0,0
2001183,0,0,0,-70.7655,-56.3097,1,0,0
2001184,0,0,0,-70.6037,-56.4816,1,0,0
2001185,0,0,0,-70.6037,-56.4816,1,0,0
2001186,0,0,0,-70.6037,-56.4816,1,0,0
2001187,0,0,0,-70.6037,-56.4816,1,0,0
2001188,0,0,0,-70.5197,-56.5755,0,0,0
2001189,0,0,0,-70.3636,-56.75,0,0,0
2001190,0,0,0,-70.2796,-56.8439,1,0,0
2001191,0,0,0,-70.2796,-56.8439,1,0,0
2001192,0,0,0,-70.0852,-56.6971,1,0,0
2001193,0,0,0,-70.0852,-56.6971,1,0,0
2001194,0,0,0,-70.0852,-56.6971,1,0,0
2001195,0,0,0,-69.9478,-56.5503,1,0,0
2001196,0,0,0,-69.861,-56.666,1,0,0
2001197,0,0,0,-69.7758,-56.6281,1,0,0
2001198,0,0,0,-69.6266,-56.7227,1,0,0
2001199,0,0,0,-69.5575,-56.6837,1,0,0
2001200,0,0,0,-69.5575,-56.6837,1,0,0
2001201,0,0,0,-69.5575,-56.6837,1,0,0
2001202,0,0,0,-69.3829,-56.7317,1,0,0
2001203,0,0,0,-69.3829,-56.7317,1,0,0
2001204,0,0,0,-69.3147,-56.6102,1,0,0
2001205,0,0,0,-69.3147,-56.6102,1,0,0
2001206,0,0,0,-69.3147,-56.6102,1,0,0
2001207,0,0,0,-69.3147,-56.6102,1,0,0
2001208,0,0,0,-69.2209,-56.6007,1,0,0
2001209,0,0,0,-69.2209,-56.6007,1,0,0
2001210,-69.2,-56.5,1,-69.2209,-56.6007,1,51,9
2001211,0,0,0,-69.2104,-56.5072,1,0,0
2001212,0,0,0,-69.2104,-56.5072,1,0,0
2001213,0,0,0,-69.2104,-56.5072,1,0,0
2001214,0,0,0,-69.2104,-56.5072,1,0,0
2001215,0,0,0,-69.1512,-56.395,1,0,0
2001216,0,0,0,-69.1512,-56.395,1,0,0
2001217,0,0,0,-69.0986,-56.2744,1,0,0
2001218,0,0,0,-69.0986,-56.2744,1,0,0
2001219,0,0,0,-69.0431,-56.1951,1,0,0
2001220,0,0,0,-68.9755,-56.1915,1,0,0
2001221,0,0,0,-68.9755,-56.1915,1,0,0
2001222,0,0,0,-68.9256,-56.2039,1,0,0
2001223,0,0,0,-68.8581,-56.0707,1,0,0
2001224,-68.8,-55.7,1,-68.8581,-56.0707,1,51,9
2001225,-68.7835,-55.6407,0,-68.8102,-55.8948,1,0,0
2001226,-68.77,-55.5785,0,-68.8102,-55.8948,1,0,0
2001227,-68.758,-55.5157,0,-68.8102,-55.8948,1,0,0
2001228,-68.7464,-55.4542,0,-68.7605,-55.6878,1,0,0
2001229,-68.7337,-55.3963,0,-68.7605,-55.6878,1,0,0
2001230,-68.7187,-55.3442,0,-68.6842,-55.4828,1,0,0
2001231,-68.7,-55.3,1,-68.66,-55.4067,1,51,9
2001232,0,0,0,-68.6037,-55.259,1,0,0
2001233,0,0,0,-68.5941,-55.3923,1,0,0
2001234,0,0,0,-68.5173,-55.3599,1,0,0
2001235,0,0,0,-68.4732,-55.3461,1,0,0
2001236,0,0,0,-68.4094,-55.3349,1,0,0
2001237,0,0,0,-68.3098,-55.4077,1,0,0
