date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2001273,-68.4,-56.9,1,0,0,0,11,2
2001276,0,0,0,-68.3313,-56.8518,1,0,0
2001277,0,0,0,-68.3313,-56.8518,1,0,0
2001278,0,0,0,-68.263,-56.6116,1,0,0
2001279,0,0,0,-68.263,-56.6116,1,0,0
2001280,0,0,0,-68.2453,-56.5084,1,0,0
2001281,0,0,0,-68.2453,-56.5084,1,0,0
2001282,0,0,0,-68.1755,-56.201,1,0,0
2001283,0,0,0,-68.0932,-56.1033,1,0,0
2001284,0,0,0,-68.0661,-55.9804,1,0,0
2001285,0,0,0,-67.9749,-55.8693,1,0,0
2001286,0,0,0,-67.9915,-55.7016,1,0,0
2001287,0,0,0,-67.9545,-55.6411,1,0,0
2001288,0,0,0,-67.9545,-55.6411,1,0,0
2001289,0,0,0,-67.7201,-55.537,1,0,0
2001290,0,0,0,-68.0113,-55.8922,1,0,0
2001291,0,0,0,-67.8286,-55.5406,1,0,0
2001292,0,0,0,-67.8286,-55.5406,1,0,0
2001293,0,0,0,-67.8286,-55.5406,1,0,0
2001294,0,0,0,-67.8551,-55.4763,1,0,0
2001295,0,0,0,-67.8551,-55.4763,1,0,0
2001296,0,0,0,-67.7112,-55.5902,1,0,0
2001297,0,0,0,-67.6381,-55.7117,1,0,0
2001298,0,0,0,-67.5223,-55.6543,1,0,0
2001299,0,0,0,-67.4575,-55.7007,1,0,0
2001300,0,0,0,-67.4575,-55.7007,1,0,0
2001301,-67.1,-55.5,1,-67.5304,-55.772,1,11,2
2001302,0,0,0,-67.1051,-55.4855,1,0,0
2001303,0,0,0,-67.1051,-55.4855,1,0,0
2001304,0,0,0,-67.1051,-55.4855,1,0,0
2001305,0,0,0,-67.1051,-55.4855,1,0,0
2002013,-67.7,-55.4,1,0,0,0,11,2
