date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2001336,-69.4,-57.9,1,0,0,0,17,5
2001337,-69.4189,-57.9,0,0,0,0,0,0
2001338,-69.4384,-57.9,0,0,0,0,0,0
2001339,-69.4572,-57.9,0,0,0,0,0,0
2001340,-69.474,-57.9,0,0,0,0,0,0
2001341,-69.4876,-57.9,0,0,0,0,0,0
2001342,-69.4967,-57.9,0,0,0,0,0,0
2001343,-69.5,-57.9,1,0,0,0,17,5
2002001,0,0,0,0,0,0,17,5
2002003,-69.4,-58.4,1,0,0,0,0,0
2003033,-67.3,-60.3,1,0,0,0,17,5
2003034,-67.3111,-60.3112,0,0,0,0,0,0
2003035,-67.3397,-60.3266,0,0,0,0,0,0
2003036,-67.3787,-60.3441,0,0,0,0,0,0
2003037,-67.4213,-60.3621,0,0,0,0,0,0
2003038,-67.4603,-60.3786,0,0,0,0,0,0
2003039,-67.4889,-60.3919,0,0,0,0,0,0
2003040,-67.5,-60.4,1,0,0,0,17,5
2003082,-67.5,-60.5,1,0,0,0,17,5
2003096,-67.55,-60.5,1,0,0,0,17,5
2003117,-67.6,-60.6,1,0,0,0,17,5
2003159,-67.6,-60.4,1,0,0,0,17,5
2003160,-67.5945,-60.4,0,0,0,0,0,0
2003161,-67.5802,-60.4,0,0,0,0,0,0
2003162,-67.5606,-60.4,0,0,0,0,0,0
2003163,-67.5394,-60.4,0,0,0,0,0,0
2003164,-67.5198,-60.4,0,0,0,0,0,0
2003165,-67.5055,-60.4,0,0,0,0,0,0
2003166,-67.5,-60.4,1,0,0,0,17,5
2003167,-67.5,-60.3956,0,0,0,0,0,0
2003168,-67.5,-60.3841,0,0,0,0,0,0
2003169,-67.5,-60.3676,0,0,0,0,0,0
2003170,-67.5,-60.3487,0,0,0,0,0,0
2003171,-67.5,-60.3295,0,0,0,0,0,0
2003172,-67.5,-60.3125,0,0,0,0,0,0
2003173,-67.5,-60.3,1,0,0,0,17,5
2003222,-67.2,-60,1,0,0,0,17,5
2003299,-66.9,-59.6,1,0,0,0,17,5
2004074,-66.6,-58.9,1,0,0,0,17,5
2004351,0,0,0,-62.7677,-52.5242,1,0,0
2004352,0,0,0,-62.7677,-52.5242,1,0,0
2004353,0,0,0,-62.7748,-52.7033,1,0,0
2004354,0,0,0,-62.6944,-52.9704,1,0,0
2004355,0,0,0,-62.6944,-52.9704,1,0,0
2004356,0,0,0,-62.6289,-53.1359,1,0,0
2004357,0,0,0,-62.6289,-53.1359,1,0,0
2004358,0,0,0,-62.6289,-53.1359,0,0,0
2004359,0,0,0,-62.6289,-53.1359,1,0,0
2004360,0,0,0,-62.5954,-53.1778,0,0,0
2004361,0,0,0,-62.5619,-53.2197,1,0,0
2004362,0,0,0,-62.5619,-53.2197,1,0,0
2004363,0,0,0,-62.4663,-53.327,1,0,0
2004364,0,0,0,-62.4663,-53.327,1,0,0
2004365,0,0,0,-62.4663,-53.327,1,0,0
2004366,0,0,0,-62.3454,-53.3345,1,0,0
2005001,0,0,0,-62.2693,-53.3575,1,0,0
2005002,0,0,0,-62.1671,-53.335,1,0,0
2005003,0,0,0,-62.1671,-53.335,1,0,0
2005004,0,0,0,-62.1671,-53.335,0,0,0
2005005,0,0,0,-62.1671,-53.335,1,0,0
2005006,0,0,0,-62.1671,-53.335,1,0,0
2005007,0,0,0,-61.9958,-52.9186,1,0,0
2005008,0,0,0,-61.842,-52.4956,1,0,0
2005009,0,0,0,-61.842,-52.4956,1,0,0
2005010,0,0,0,-61.6709,-52.1509,1,0,0
2005011,0,0,0,-61.6709,-52.1509,1,0,0
2005012,0,0,0,-61.6868,-51.5982,1,0,0
2005013,0,0,0,-61.6868,-51.5982,1,0,0
2005014,0,0,0,-61.5208,-51.3523,1,0,0
2005015,0,0,0,-61.3768,-51.171,1,0,0
2005016,0,0,0,-61.1878,-51.1694,1,0,0
2005017,0,0,0,-61.0848,-51.4092,1,0,0
2005018,0,0,0,-61.0396,-51.6277,1,0,0
2005019,0,0,0,-61.0143,-52.0066,1,0,0
2005020,0,0,0,-61.0292,-52.1966,1,0,0
2005021,0,0,0,-61.049,-52.5047,1,0,0
2005022,0,0,0,-61.091,-52.8814,1,0,0
2005023,-61.17,-53.63,1,-61.1478,-53.2424,1,16,3
2005024,0,0,0,-61.177,-53.4629,1,0,0
2005025,0,0,0,-61.177,-53.4629,1,0,0
2005026,0,0,0,-61.1279,-53.8313,1,0,0
2005027,0,0,0,-61.0369,-53.6753,1,0,0
2005028,0,0,0,-60.9835,-53.4145,1,0,0
2005029,0,0,0,-60.8343,-52.9338,1,0,0
2005030,0,0,0,-60.7132,-52.5998,0,0,0
2005031,0,0,0,-60.6505,-52.4359,1,0,0
2005032,0,0,0,-60.6505,-52.4359,1,0,0
2005033,0,0,0,-60.4927,-52.2557,1,0,0
2005034,0,0,0,-60.4415,-52.4354,1,0,0
2005035,0,0,0,-60.4415,-52.4354,1,0,0
2005036,0,0,0,-60.3464,-52.6805,1,0,0
2005037,0,0,0,-60.3464,-52.6805,1,0,0
2005038,0,0,0,-60.2817,-52.4293,1,0,0
2005039,0,0,0,-60.2817,-52.4293,1,0,0
2005040,0,0,0,-60.2234,-51.9884,0,0,0
2005041,0,0,0,-60.1651,-51.5476,1,0,0
2005042,0,0,0,-60.1651,-51.5476,1,0,0
2005043,0,0,0,-59.7314,-50.7106,1,0,0
2005044,-58.43,-50.72,1,-59.3163,-50.5714,0,16,3
2005045,0,0,0,-58.9393,-50.5242,1,0,0
2005046,0,0,0,-58.6342,-50.585,1,0,0
2005047,0,0,0,-58.3644,-50.7564,1,0,0
2005048,0,0,0,-58.0596,-50.2248,1,0,0
2005049,0,0,0,-58.0463,-49.6447,1,0,0
2005050,0,0,0,-57.8943,-49.3454,0,0,0
2005051,0,0,0,-57.6854,-49.0133,1,0,0
