date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2007329,-63.93,-52.43,1,0,0,0,24,8
2007343,-63.22,-51.63,1,0,0,0,24,8
2007344,-63.1677,-51.683,0,0,0,0,0,0
2007345,-63.1147,-51.8237,0,0,0,0,0,0
2007346,-63.0613,-52.0241,0,0,0,0,0,0
2007347,-63.0078,-52.2567,0,0,0,0,0,0
2007348,-62.9546,-52.4937,0,0,0,0,0,0
2007349,-62.9019,-52.7074,0,0,0,0,0,0
2007350,-62.85,-52.87,1,0,0,0,24,8
2007351,-62.7952,-53.002,0,0,0,0,0,0
2007352,-62.7361,-53.1368,0,0,0,0,0,0
2007353,-62.6762,-53.2664,0,0,0,0,0,0
2007354,-62.619,-53.3826,0,0,0,0,0,0
2007355,-62.5682,-53.4774,0,0,0,0,0,0
2007356,-62.5274,-53.5425,0,0,0,0,0,0
2007357,-62.5,-53.57,1,0,0,0,24,8
2007358,-62.4829,-53.5751,0,0,0,0,0,0
2007359,-62.4697,-53.5788,0,0,0,0,0,0
2007360,-62.4595,-53.5814,0,0,0,0,0,0
2007361,-62.4512,-53.5832,0,0,0,0,0,0
2007362,-62.4441,-53.5846,0,0,0,0,0,0
2007363,-62.437,-53.586,0,0,0,0,0,0
2007364,-62.429,-53.5876,0,0,0,0,0,0
2007365,-62.4191,-53.5898,0,0,0,0,0,0
2008001,-62.3987,-53.5949,0,0,0,0,24,8
2008002,-62.38,-53.6,1,0,0,0,0,0
2008003,-62.3402,-53.6221,0,-62.3743,-53.5923,1,0,0
2008004,-62.2758,-53.663,0,-62.3743,-53.5923,1,0,0
2008005,-62.2061,-53.7024,0,-62.3336,-53.7516,1,0,0
2008006,-62.15,-53.72,1,-62.3336,-53.7516,1,24,8
2008007,-62.1099,-53.6831,0,-62.3336,-53.7516,1,0,0
2008008,-62.0743,-53.5834,0,-62.3336,-53.7516,1,0,0
2008009,-62.0421,-53.4378,0,-62.1956,-53.681,1,0,0
2008010,-62.0119,-53.2629,0,-62.1956,-53.681,1,0,0
2008011,-61.9823,-53.0755,0,-62.1539,-53.5598,1,0,0
2008012,-61.9521,-52.8923,0,-62.1539,-53.5598,1,0,0
2008013,-61.92,-52.73,1,-62.1477,-53.5418,1,24,8
2008014,-61.8879,-52.5827,0,-62.0279,-53.1981,1,0,0
2008015,-61.8577,-52.4336,0,-61.9851,-53.0872,1,0,0
2008016,-61.8277,-52.2828,0,-61.9959,-52.8985,1,0,0
2008017,-61.7966,-52.1308,0,-61.8904,-52.6852,1,0,0
2008018,-61.7626,-51.9778,0,-61.8295,-52.3083,1,0,0
2008019,-61.7243,-51.8241,0,-61.7791,-52.1426,1,0,0
2008020,-61.68,-51.67,1,-61.71,-51.7721,1,24,8
2008021,-61.6192,-51.4958,0,-61.71,-51.7721,1,0,0
2008022,-61.5381,-51.2945,0,-61.6465,-51.5442,1,0,0
2008023,-61.4452,-51.086,0,-61.5804,-51.3732,1,0,0
2008024,-61.3494,-50.8896,0,-61.4436,-51.1523,1,0,0
2008025,-61.2591,-50.7251,0,-61.3805,-50.9828,1,0,0
2008026,-61.1831,-50.612,0,-61.2688,-50.8308,1,0,0
2008027,-61.13,-50.57,1,-61.2688,-50.8308,1,24,8
2008028,-61.0916,-50.5811,0,-61.2255,-50.8139,1,0,0
2008029,-61.0548,-50.6118,0,-61.189,-50.718,1,0,0
2008030,-61.0212,-50.6581,0,-61.1587,-50.6415,1,0,0
2008031,-60.9924,-50.716,0,-61.1406,-50.5959,1,0,0
2008032,-60.9699,-50.7816,0,-61.0811,-50.5124,1,0,0
2008033,-60.9552,-50.851,0,-60.998,-50.4987,1,0,0
2008034,-60.95,-50.92,1,-60.998,-50.4987,1,24,8
2008035,-60.9555,-51.0001,0,-60.9339,-50.7229,1,0,0
2008036,-60.9698,-51.1004,0,-60.9549,-50.9514,1,0,0
2008037,-60.9894,-51.2135,0,-60.9549,-50.9514,1,0,0
2008038,-61.0106,-51.3323,0,-60.9549,-50.9514,1,0,0
2008039,-61.0302,-51.4495,0,-61.0298,-51.1358,1,0,0
2008040,-61.0445,-51.5578,0,-61.0073,-51.3451,1,0,0
2008041,-61.05,-51.65,1,-61.0073,-51.3451,1,24,8
2008042,-61.0418,-51.7361,0,-61.0073,-51.3451,0,0,0
2008043,-61.0192,-51.8265,0,-61.0073,-51.3451,1,0,0
2008044,-60.9853,-51.915,0,-60.9871,-51.5815,1,0,0
2008045,-60.9434,-51.995,0,-60.9944,-51.7189,1,0,0
2008046,-60.8964,-52.0602,0,-60.9936,-51.8453,1,0,0
2008047,-60.8476,-52.104,0,-60.9693,-51.9807,0,0,0
2008048,-60.8,-52.12,1,-60.9418,-52.1089,1,24,8
2008049,-60.7485,-52.0513,0,-60.9369,-52.212,1,0,0
2008050,-60.688,-51.87,0,-60.9052,-52.2573,1,0,0
2008051,-60.6212,-51.6131,0,-60.8381,-52.2088,1,0,0
2008052,-60.551,-51.3177,0,-60.757,-52.0565,1,0,0
2008053,-60.4805,-51.0206,0,-60.703,-51.9455,1,0,0
2008054,-60.4126,-50.7591,0,-60.5454,-51.6049,1,0,0
2008055,-60.35,-50.57,1,-60.4385,-51.3623,1,24,8
2008056,-60.2885,-50.4362,0,-60.3253,-51.0422,1,0,0
2008057,-60.2238,-50.3149,0,-60.2906,-50.7332,1,0,0
2008058,-60.1594,-50.2047,0,-60.3185,-50.3618,1,0,0
2008059,-60.0985,-50.1044,0,-60.3422,-50.1252,1,0,0
2008060,-60.0444,-50.0127,0,-60.28,-49.7351,1,0,0
2008061,-60.0005,-49.9284,0,-60.28,-49.7351,1,0,0
