date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2002073,0,0,0,-65.0507,-58.4448,1,0,0,0,0,0
2002074,0,0,0,-65.0507,-58.4448,1,0,0,0,0,0
2002075,0,0,0,-65.0507,-58.4448,1,0,0,0,0,0
2002076,0,0,0,-65.0507,-58.4448,1,0,0,0,0,0
2002077,0,0,0,-65.0507,-58.4448,1,0,0,0,0,0
2002078,0,0,0,-65.0371,-58.4816,0,0,0,0,0,0
2002079,0,0,0,-65.0117,-58.5498,0,0,0,0,0,0
2002080,0,0,0,-64.9981,-58.5866,1,0,0,0,0,0
2002081,0,0,0,-64.9981,-58.5866,1,0,0,0,0,0
2002082,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002083,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002084,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002085,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002086,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002087,0,0,0,-65.0426,-58.3762,0,0,0,0,0,0
2002088,0,0,0,-65.0426,-58.3762,1,0,0,0,0,0
2002089,0,0,0,-65.0138,-58.4754,1,0,0,0,0,0
2002090,0,0,0,-65.0138,-58.4754,1,0,0,0,0,0
2002091,0,0,0,-64.9338,-58.5772,1,0,0,0,0,0
2002092,0,0,0,-64.9484,-58.8635,1,0,0,0,0,0
2002093,0,0,0,-64.9508,-58.9625,1,0,0,0,0,0
2002094,0,0,0,-64.9844,-59.142,1,0,0,0,0,0
2002095,0,0,0,-64.9828,-59.1359,1,0,0,0,0,0
2002096,0,0,0,-64.9828,-59.1359,1,0,0,0,0,0
2002097,0,0,0,-64.9784,-59.1461,0,0,0,0,0,0
2002098,0,0,0,-64.9688,-59.1685,0,0,0,0,0,0
2002099,0,0,0,-64.9592,-59.1908,0,0,0,0,0,0
2002100,0,0,0,-64.9548,-59.201,1,0,0,0,0,0
2002101,0,0,0,-64.9548,-59.201,1,0,0,0,0,0
2002102,0,0,0,-64.9548,-59.201,1,0,0,0,0,0
2002103,0,0,0,-64.9751,-59.3678,1,0,0,0,0,0
2002104,0,0,0,-64.9751,-59.3678,1,0,0,0,0,0
2002105,0,0,0,-64.9751,-59.3678,1,0,0,0,0,0
2002106,0,0,0,-64.9471,-59.4378,1,0,0,0,0,0
2002107,0,0,0,-64.9471,-59.4378,1,0,0,0,0,0
2002108,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002109,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002110,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002111,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002112,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002113,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002114,0,0,0,-64.903,-59.4483,1,0,0,0,0,0
2002115,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002116,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002117,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002118,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002119,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002120,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002121,0,0,0,-64.8611,-59.3767,1,0,0,0,0,0
2002122,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002123,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002124,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002125,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002126,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002127,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002128,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002129,0,0,0,-64.8274,-59.2432,1,0,0,0,0,0
2002130,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002131,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002132,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002133,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002134,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002135,0,0,0,-64.756,-59.0237,1,0,0,0,0,0
2002136,0,0,0,-64.7448,-59.0335,1,0,0,0,0,0
2002137,0,0,0,-64.7689,-59.0603,1,0,0,0,0,0
2002138,0,0,0,-64.7587,-59.0544,1,0,0,0,0,0
2002139,0,0,0,-64.7598,-59.0349,1,0,0,0,0,0
2002140,0,0,0,-64.7573,-59.0587,1,0,0,0,0,0
2002141,0,0,0,-64.7598,-59.0349,1,0,0,0,0,0
2002142,0,0,0,-64.7539,-59.0575,1,0,0,0,0,0
2002143,0,0,0,-64.7527,-59.0188,1,0,0,0,0,0
2002144,0,0,0,-64.7514,-58.9802,1,0,0,0,0,0
2002145,0,0,0,-64.745,-58.9891,1,0,0,0,0,0
2002146,0,0,0,-64.7552,-58.995,1,0,0,0,0,0
2002147,0,0,0,-64.7399,-58.9356,1,0,0,0,0,0
2002148,0,0,0,-64.7221,-58.9215,1,0,0,0,0,0
2002149,0,0,0,-64.7327,-58.8095,0,0,0,0,0,0
2002150,0,0,0,-64.7433,-58.683,1,0,0,0,0,0
2002151,0,0,0,-64.6957,-58.647,1,0,0,0,0,0
2002152,0,0,0,-64.6894,-58.656,1,0,0,0,0,0
2002153,0,0,0,-64.7161,-58.6585,1,0,0,0,0,0
2002154,0,0,0,-64.7045,-58.6142,1,0,0,0,0,0
2002155,0,0,0,-64.6729,-58.6592,1,0,0,0,0,0
2002156,0,0,0,-64.6941,-58.629,1,0,0,0,0,0
2002157,0,0,0,-64.6966,-58.6053,1,0,0,0,0,0
2002158,0,0,0,-64.6966,-58.6053,1,0,0,0,0,0
2002159,0,0,0,-64.7195,-58.6072,1,0,0,0,0,0
2002160,0,0,0,-64.7055,-58.5866,1,0,0,0,0,0
2002161,0,0,0,-64.702,-58.6047,1,0,0,0,0,0
2002162,0,0,0,-64.7045,-58.5809,1,0,0,0,0,0
2002163,0,0,0,-64.7083,-58.5956,1,0,0,0,0,0
2002164,0,0,0,-64.7083,-58.5956,1,0,0,0,0,0
2002165,0,0,0,-64.7122,-58.6104,1,0,0,0,0,0
2002166,0,0,0,-64.735,-58.5981,1,0,0,0,0,0
2002167,0,0,0,-64.6996,-58.6284,1,0,0,0,0,0
2002168,0,0,0,-64.7182,-58.5005,1,0,0,0,0,0
2002169,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002170,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002171,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002172,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002173,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002174,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002175,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002176,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002177,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002178,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002179,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002180,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002181,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002182,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002183,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002184,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002185,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002186,0,0,0,-64.7255,-58.4972,1,0,0,0,0,0
2002187,0,0,0,-64.7303,-58.3814,1,0,0,0,0,0
2002188,0,0,0,-64.7109,-58.3077,1,0,0,0,0,0
2002189,0,0,0,-64.6901,-58.2851,1,0,0,0,0,0
2002190,0,0,0,-64.6901,-58.2851,1,0,0,0,0,0
2002191,0,0,0,-64.6901,-58.2851,1,0,0,0,0,0
2002192,0,0,0,-64.7455,-58.2528,1,0,0,0,0,0
2002193,0,0,0,-64.7455,-58.2528,1,0,0,0,0,0
2002194,0,0,0,-64.7534,-58.1527,1,0,0,0,0,0
2002195,0,0,0,-64.7455,-58.2528,1,0,0,0,0,0
2002196,0,0,0,-64.7455,-58.2528,1,0,0,0,0,0
2002197,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002198,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002199,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002200,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002201,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002202,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002203,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002204,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002205,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002206,0,0,0,-64.7282,-58.1893,1,0,0,0,0,0
2002207,0,0,0,-64.7255,-58.1812,1,0,0,0,0,0
2002208,0,0,0,-64.7216,-58.1665,1,0,0,0,0,0
2002209,0,0,0,-64.7231,-58.205,1,0,0,0,0,0
2002210,0,0,0,-64.7153,-58.1756,1,0,0,0,0,0
2002211,0,0,0,-64.7222,-58.2674,1,0,0,0,0,0
2002212,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002213,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002214,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002215,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002216,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002217,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002218,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002219,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
2002220,0,0,0,-64.7566,-58.0501,1,0,0,0,0,0
