date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2005037,-67.25,-60.38,1,0,0,0,29,16
2005038,-67.2448,-60.363,0,0,0,0,0,0
2005039,-67.2396,-60.3466,0,0,0,0,0,0
2005040,-67.2347,-60.3317,0,0,0,0,0,0
2005041,-67.2302,-60.3189,0,0,0,0,0,0
2005042,-67.2261,-60.3089,0,0,0,0,0,0
2005043,-67.2227,-60.3023,0,0,0,0,0,0
2005044,-67.22,-60.3,1,0,0,0,29,16
2005058,-67.2,-60.38,1,0,0,0,29,16
2005072,-67.18,-60.18,1,0,0,0,29,16
2005086,-67.13,-60.18,1,0,0,0,29,16
2005107,-67.1,-60.17,1,0,0,0,29,16
2005120,0,0,0,-67.1146,-60.2371,1,0,0
2005121,0,0,0,-67.1146,-60.2371,1,0,0
2005122,0,0,0,-67.1146,-60.2371,1,0,0
2005123,0,0,0,-67.1146,-60.2371,1,0,0
2005124,0,0,0,-67.1146,-60.2371,1,0,0
2005125,0,0,0,-67.1146,-60.2371,1,0,0
2005126,0,0,0,-67.1146,-60.2371,1,0,0
2005127,0,0,0,-67.1146,-60.2371,1,0,0
2005128,0,0,0,-67.1146,-60.2371,1,0,0
2005129,0,0,0,-67.1146,-60.2371,1,0,0
2005130,0,0,0,-67.1146,-60.2371,1,0,0
2005131,0,0,0,-67.1146,-60.2371,1,0,0
2005132,0,0,0,-67.1146,-60.2371,1,0,0
2005133,0,0,0,-67.1146,-60.2371,1,0,0
2005134,0,0,0,-67.1146,-60.2371,1,0,0
2005135,0,0,0,-67.1146,-60.2371,1,0,0
2005136,0,0,0,-67.1146,-60.2371,1,0,0
2005137,0,0,0,-67.1146,-60.2371,1,0,0
2005138,0,0,0,-67.1146,-60.2371,1,0,0
2005139,0,0,0,-67.1146,-60.2371,1,0,0
2005140,0,0,0,-67.1146,-60.2371,1,0,0
2005141,0,0,0,-67.1146,-60.2371,1,0,0
2005142,-67.15,-60.18,1,-67.1146,-60.2371,1,29,16
2005143,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005144,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005145,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005146,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005147,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005148,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005149,-67.15,-60.18,1,-67.1146,-60.2371,1,29,16
2005150,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005151,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005152,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005153,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005154,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005155,-67.15,-60.18,0,-67.1146,-60.2371,1,0,0
2005156,-67.15,-60.18,1,-67.1146,-60.2371,1,29,16
2005157,-67.1472,-60.1789,0,-67.1146,-60.2371,1,0,0
2005158,-67.1401,-60.1758,0,-67.1146,-60.2371,1,0,0
2005159,-67.1303,-60.1713,0,-67.1146,-60.2371,1,0,0
2005160,-67.1197,-60.166,0,-67.1146,-60.2371,1,0,0
2005161,-67.1099,-60.1603,0,-67.1146,-60.2371,1,0,0
2005162,-67.1028,-60.1548,0,-67.1146,-60.2371,1,0,0
2005163,-67.1,-60.15,1,-67.1146,-60.2371,1,29,16
2005164,-67.1017,-60.1452,0,-67.1146,-60.2371,1,0,0
2005165,-67.1059,-60.1397,0,-67.1146,-60.2371,1,0,0
2005166,-67.1118,-60.134,0,-67.1146,-60.2371,1,0,0
2005167,-67.1182,-60.1287,0,-67.1146,-60.2371,1,0,0
2005168,-67.1241,-60.1242,0,-67.1146,-60.2371,1,0,0
2005169,-67.1283,-60.1211,0,-67.1146,-60.2371,1,0,0
2005170,-67.13,-60.12,1,-67.1146,-60.2371,1,29,16
2005171,0,0,0,-67.1146,-60.2371,1,0,0
2005172,0,0,0,-67.1146,-60.2371,1,0,0
2005173,0,0,0,-67.1146,-60.2371,1,0,0
2005174,0,0,0,-67.1146,-60.2371,1,0,0
2005175,0,0,0,-67.1146,-60.2371,1,0,0
2005176,0,0,0,-67.1146,-60.2371,1,0,0
2005177,0,0,0,-67.1146,-60.2371,1,0,0
2005178,0,0,0,-67.1146,-60.2371,1,0,0
2005179,0,0,0,-67.1146,-60.2371,1,0,0
2005180,0,0,0,-67.1146,-60.2371,1,0,0
2005181,0,0,0,-67.1146,-60.2371,1,0,0
2005182,0,0,0,-67.1146,-60.2371,1,0,0
2005183,0,0,0,-67.1146,-60.2371,1,0,0
2005184,-67.13,-60.12,1,-67.1146,-60.2371,1,29,16
2005185,0,0,0,-67.1146,-60.2371,1,0,0
2005186,0,0,0,-67.1146,-60.2371,1,0,0
2005187,0,0,0,-67.1146,-60.2371,1,0,0
2005188,0,0,0,-67.1146,-60.2371,1,0,0
2005189,0,0,0,-67.1146,-60.2371,1,0,0
2005190,0,0,0,-67.1146,-60.2371,1,0,0
2005191,0,0,0,-67.1146,-60.2371,1,0,0
2005192,0,0,0,-67.1146,-60.2371,1,0,0
2005193,0,0,0,-67.1146,-60.2371,1,0,0
2005194,0,0,0,-67.1146,-60.2371,1,0,0
2005195,0,0,0,-67.1146,-60.2371,1,0,0
2005196,0,0,0,-67.1146,-60.2371,1,0,0
2005197,0,0,0,-67.1146,-60.2371,1,0,0
2005198,-67.1,-60.05,1,-67.1146,-60.2371,1,29,16
2005199,0,0,0,-67.1146,-60.2371,1,0,0
2005200,0,0,0,-67.1146,-60.2371,1,0,0
2005201,0,0,0,-67.1146,-60.2371,1,0,0
2005202,0,0,0,-67.1146,-60.2371,1,0,0
2005203,0,0,0,-67.1146,-60.2371,1,0,0
2005204,0,0,0,-67.1146,-60.2371,1,0,0
2005205,0,0,0,-67.1146,-60.2371,1,0,0
2005206,0,0,0,-67.1146,-60.2371,1,0,0
2005207,0,0,0,-67.1146,-60.2371,1,0,0
2005208,0,0,0,-67.1146,-60.2371,1,0,0
2005209,0,0,0,-67.1146,-60.2371,1,0,0
2005210,0,0,0,-67.1146,-60.2371,1,0,0
2005211,0,0,0,-67.1146,-60.2371,1,0,0
2005212,-67.1,-60.05,1,-67.1146,-60.2371,1,29,16
2005213,-67.0989,-60.0445,0,-67.1146,-60.2371,1,0,0
2005214,-67.096,-60.0302,0,-67.1146,-60.2371,1,0,0
2005215,-67.0921,-60.0106,0,-67.1146,-60.2371,1,0,0
2005216,-67.0879,-59.9894,0,-67.1146,-60.2371,1,0,0
2005217,-67.084,-59.9698,0,-67.1146,-60.2371,1,0,0
2005218,-67.0811,-59.9555,0,-67.1146,-60.2371,1,0,0
2005219,-67.08,-59.95,1,-67.1146,-60.2371,1,29,16
2005220,-67.08,-59.9511,0,-67.1193,-60.097,1,0,0
2005221,-67.08,-59.954,0,-67.1193,-60.097,1,0,0
2005222,-67.08,-59.9579,0,-67.1193,-60.097,1,0,0
2005223,-67.08,-59.9621,0,-67.1193,-60.097,1,0,0
2005224,-67.08,-59.966,0,-67.1193,-60.097,1,0,0
2005225,-67.08,-59.9689,0,-67.1381,-59.924,1,0,0
2005226,-67.08,-59.97,1,-67.1381,-59.924,1,29,16
