date,nic_1,nic_2,nic_3,size_1,size_2
2005037,-67.02,-60.43,1,15,3
2005038,-67.0161,-60.4172,0,0,0
2005039,-67.0121,-60.4047,0,0,0
2005040,-67.0084,-60.3925,0,0,0
2005041,-67.0051,-60.3809,0,0,0
2005042,-67.0024,-60.3698,0,0,0
2005043,-67.0006,-60.3595,0,0,0
2005044,-67,-60.35,1,15,3
2005058,-67,-60.25,1,15,3
2005072,-66.98,-59.87,1,15,3
2005086,-66.95,-59.95,1,15,3
2005107,-66.9,-59.8,1,15,3
2005142,-66.9,-59.8,1,15,3
2005143,-66.9,-59.8,0,0,0
2005144,-66.9,-59.8,0,0,0
2005145,-66.9,-59.8,0,0,0
2005146,-66.9,-59.8,0,0,0
2005147,-66.9,-59.8,0,0,0
2005148,-66.9,-59.8,0,0,0
2005149,-66.9,-59.8,1,15,3
2005150,-66.9,-59.8,0,0,0
2005151,-66.9,-59.8,0,0,0
2005152,-66.9,-59.8,0,0,0
2005153,-66.9,-59.8,0,0,0
2005154,-66.9,-59.8,0,0,0
2005155,-66.9,-59.8,0,0,0
2005156,-66.9,-59.8,1,15,3
2005157,-66.9,-59.7923,0,0,0
2005158,-66.9,-59.7723,0,0,0
2005159,-66.9,-59.7447,0,0,0
2005160,-66.9,-59.714,0,0,0
2005161,-66.9,-59.6849,0,0,0
2005162,-66.9,-59.662,0,0,0
2005163,-66.9,-59.65,1,15,3
2005164,-66.9011,-59.6452,0,0,0
2005165,-66.904,-59.6409,0,0,0
2005166,-66.9079,-59.6372,0,0,0
2005167,-66.9121,-59.6342,0,0,0
2005168,-66.916,-59.6319,0,0,0
2005169,-66.9189,-59.6305,0,0,0
2005170,-66.92,-59.63,1,15,3
2005184,-66.92,-59.63,1,15,3
2005198,-66.88,-59.67,1,15,3
2005219,-66.85,-59.43,1,15,3
2005220,-66.85,-59.43,0,0,0
2005221,-66.85,-59.43,0,0,0
2005222,-66.85,-59.43,0,0,0
2005223,-66.85,-59.43,0,0,0
2005224,-66.85,-59.43,0,0,0
2005225,-66.85,-59.43,0,0,0
2005226,-66.85,-59.43,1,11,2
2005227,-66.8428,-59.4246,0,0,0
2005228,-66.8242,-59.4104,0,0,0
2005229,-66.7988,-59.3899,0,0,0
2005230,-66.7712,-59.3659,0,0,0
2005231,-66.7458,-59.3411,0,0,0
2005232,-66.7272,-59.3182,0,0,0
2005233,-66.72,-59.3,1,11,2
2005247,-66.72,-59.13,1,11,2
2005248,-66.72,-59.135,0,0,0
2005249,-66.72,-59.1478,0,0,0
2005250,-66.72,-59.1654,0,0,0
2005251,-66.72,-59.1846,0,0,0
2005252,-66.72,-59.2022,0,0,0
2005253,-66.72,-59.215,0,0,0
2005254,-66.72,-59.22,1,11,2
2005255,-66.7153,-59.2145,0,0,0
2005256,-66.7032,-59.2002,0,0,0
2005257,-66.6865,-59.1806,0,0,0
2005258,-66.6679,-59.1594,0,0,0
2005259,-66.6505,-59.1398,0,0,0
2005260,-66.6369,-59.1255,0,0,0
2005261,-66.63,-59.12,1,11,2
2005262,-66.6276,-59.1206,0,0,0
2005263,-66.6254,-59.122,0,0,0
2005264,-66.6235,-59.1239,0,0,0
2005265,-66.622,-59.1261,0,0,0
2005266,-66.6209,-59.128,0,0,0
2005267,-66.6202,-59.1294,0,0,0
2005268,-66.62,-59.13,1,11,2
2005269,-66.6244,-59.1241,0,0,0
2005270,-66.6359,-59.1077,0,0,0
2005271,-66.6515,-59.0833,0,0,0
2005272,-66.6685,-59.0531,0,0,0
2005273,-66.6841,-59.0193,0,0,0
2005274,-66.6956,-58.9842,0,0,0
2005275,-66.7,-58.95,1,11,2
2005276,-66.6953,-58.9081,0,0,0
2005277,-66.6826,-58.853,0,0,0
2005278,-66.6642,-58.7918,0,0,0
2005279,-66.6425,-58.7318,0,0,0
2005280,-66.6197,-58.68,0,0,0
2005281,-66.5981,-58.6437,0,0,0
2005282,-66.58,-58.63,1,11,2
2005283,-66.563,-58.6422,0,0,0
2005284,-66.5443,-58.6736,0,0,0
2005285,-66.5254,-58.7166,0,0,0
2005286,-66.5079,-58.7634,0,0,0
2005287,-66.4935,-58.8064,0,0,0
2005288,-66.4836,-58.8378,0,0,0
2005289,-66.48,-58.85,1,11,2
2005290,-66.4816,-58.8494,0,0,0
2005291,-66.4859,-58.8477,0,0,0
2005292,-66.4921,-58.8451,0,0,0
2005293,-66.4995,-58.8419,0,0,0
2005294,-66.5071,-58.8381,0,0,0
2005295,-66.5142,-58.8341,0,0,0
2005296,-66.52,-58.83,1,11,2
2005297,-66.5253,-58.8242,0,0,0
2005298,-66.5309,-58.8159,0,0,0
2005299,-66.5366,-58.8063,0,0,0
2005300,-66.5418,-58.7967,0,0,0
2005301,-66.5461,-58.7882,0,0,0
2005302,-66.5489,-58.7823,0,0,0
2005303,-66.55,-58.78,1,11,2
2005304,-66.5491,-58.7804,0,0,0
2005305,-66.5467,-58.7818,0,0,0
2005306,-66.543,-58.7839,0,0,0
2005307,-66.5382,-58.7869,0,0,0
2005308,-66.5326,-58.7905,0,0,0
2005309,-66.5264,-58.7949,0,0,0
2005310,-66.52,-58.8,1,11,2
2005311,-66.5109,-58.8166,0,0,0
2005312,-66.4978,-58.8521,0,0,0
2005313,-66.482,-58.9013,0,0,0
2005314,-66.4654,-58.9589,0,0,0
2005315,-66.4493,-59.0197,0,0,0
2005316,-66.4353,-59.0785,0,0,0
2005317,-66.425,-59.13,1,11,2
2005338,-66.32,-60.07,1,11,2
2005339,-66.32,-60.0767,0,0,0
2005340,-66.32,-60.083,0,0,0
2005341,-66.32,-60.0885,0,0,0
2005342,-66.32,-60.0932,0,0,0
2005343,-66.32,-60.0969,0,0,0
2005344,-66.32,-60.0992,0,0,0
2005345,-66.32,-60.1,1,11,2
2005346,-66.32,-60.0961,0,0,0
2005347,-66.32,-60.0861,0,0,0
2005348,-66.32,-60.0724,0,0,0
