date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2008041,-65.82,-61.28,1,0,0,0,15,4
2008048,-65.73,-61.43,1,0,0,0,15,4
2008055,-65.73,-61.43,1,0,0,0,15,4
2008062,-65.7,-61.38,1,0,0,0,15,4
2008069,-65.63,-61.45,1,0,0,0,15,4
2008076,-65.63,-61.45,1,0,0,0,15,4
2008083,-65.63,-61.57,1,0,0,0,13,4
2008090,-65.62,-61.55,1,0,0,0,13,4
2008097,-65.62,-61.55,1,0,0,0,13,4
2008104,-65.62,-61.55,1,0,0,0,13,4
2008111,-65.65,-61.58,1,0,0,0,13,4
2008118,-65.65,-61.58,1,0,0,0,13,4
2008125,-65.65,-61.58,1,0,0,0,13,4
2008132,-65.65,-61.58,1,0,0,0,13,4
2008139,-65.65,-61.58,1,0,0,0,13,4
2008146,-65.65,-61.58,1,0,0,0,13,4
2008153,-65.57,-61.37,1,0,0,0,13,4
2008160,-65.57,-61.37,1,0,0,0,13,4
2008167,-65.57,-61.37,1,0,0,0,14,4
2008174,-65.57,-61.37,1,0,0,0,14,4
2008181,-65.57,-61.37,1,0,0,0,14,4
2008188,-65.57,-61.37,1,0,0,0,14,4
2008195,-65.57,-61.37,1,0,0,0,14,4
2008202,-65.57,-61.37,1,0,0,0,14,4
2008209,-65.57,-61.37,1,0,0,0,14,4
2008216,-65.57,-61.37,1,0,0,0,14,4
2008223,-65.6,-61.37,1,0,0,0,14,4
2008230,-65.55,-61.4,1,0,0,0,14,4
2008244,-65.63,-61.1,1,0,0,0,14,4
2008258,-65.68,-60.63,1,-65.7314,-60.8111,1,14,4
2008259,0,0,0,-65.6976,-60.7846,1,0,0
2008260,0,0,0,-65.6976,-60.7846,1,0,0
2008261,0,0,0,-65.6976,-60.7846,1,0,0
2008262,0,0,0,-65.6976,-60.7846,1,0,0
2008263,0,0,0,-65.6976,-60.7846,1,0,0
2008264,0,0,0,-65.6976,-60.7846,1,0,0
2008265,-65.72,-60.73,1,-65.6976,-60.7846,1,14,4
2008266,0,0,0,-65.6976,-60.7846,1,0,0
2008267,0,0,0,-65.6976,-60.7846,1,0,0
2008268,0,0,0,-65.6976,-60.7846,1,0,0
2008269,0,0,0,-65.6976,-60.7846,1,0,0
2008270,0,0,0,-65.6976,-60.7846,1,0,0
2008271,0,0,0,-65.6976,-60.7846,1,0,0
2008272,-65.7,-60.68,1,-65.7198,-60.6708,1,14,4
2008273,0,0,0,-65.7198,-60.6708,1,0,0
2008274,0,0,0,-65.7198,-60.6708,1,0,0
2008275,0,0,0,-65.7198,-60.6708,1,0,0
2008276,0,0,0,-65.7198,-60.6708,1,0,0
2008277,0,0,0,-65.6852,-60.8385,1,0,0
2008278,0,0,0,-65.6542,-60.8433,1,0,0
2008279,-65.07,-60.87,1,-65.6542,-60.8433,1,14,4
2008280,0,0,0,-65.6542,-60.8433,1,0,0
2008281,0,0,0,-65.6542,-60.8433,1,0,0
2008282,0,0,0,-65.6542,-60.8433,1,0,0
2008283,0,0,0,-65.6542,-60.8433,1,0,0
2008284,0,0,0,-65.6967,-60.8173,1,0,0
2008285,0,0,0,-65.6967,-60.8173,1,0,0
2008286,-65.68,-60.78,1,-65.6967,-60.8173,1,14,4
2008287,0,0,0,-65.6967,-60.8173,1,0,0
2008288,0,0,0,-65.6967,-60.8173,1,0,0
2008289,0,0,0,-65.6967,-60.8173,1,0,0
2008290,0,0,0,-65.6967,-60.8173,1,0,0
2008291,0,0,0,-65.6629,-60.8344,1,0,0
2008292,0,0,0,-65.6807,-60.9537,1,0,0
2008293,-65.67,-61.03,1,-65.6807,-60.9537,1,14,4
2008294,0,0,0,-65.6807,-60.9537,1,0,0
2008295,0,0,0,-65.6807,-60.9537,1,0,0
2008296,0,0,0,-65.6722,-61.0714,1,0,0
2008297,0,0,0,-65.6722,-61.0714,1,0,0
2008298,0,0,0,-65.6722,-61.0714,1,0,0
2008299,0,0,0,-65.6722,-61.0714,1,0,0
2008300,0,0,0,-65.6722,-61.0714,1,0,0
2008301,0,0,0,-65.6722,-61.0714,1,0,0
2008302,0,0,0,-65.6722,-61.0714,1,0,0
2008303,0,0,0,-65.6649,-61.1328,1,0,0
2008304,0,0,0,-65.6649,-61.1328,1,0,0
2008305,0,0,0,-65.6649,-61.1328,1,0,0
2008306,0,0,0,-65.6649,-61.1328,1,0,0
2008307,-65.65,-61.23,1,-65.6649,-61.1328,1,14,4
2008308,0,0,0,-65.6649,-61.1328,1,0,0
2008309,0,0,0,-65.6649,-61.1328,1,0,0
2008310,0,0,0,-65.6649,-61.1328,1,0,0
2008311,0,0,0,-65.6649,-61.1328,1,0,0
2008312,0,0,0,-65.6649,-61.1328,1,0,0
2008313,0,0,0,-65.6649,-61.1328,1,0,0
2008314,-65.65,-61.23,1,-65.6649,-61.1328,1,14,4
2008315,0,0,0,-65.639,-61.2217,1,0,0
2008316,0,0,0,-65.639,-61.2217,1,0,0
2008317,0,0,0,-65.639,-61.2217,1,0,0
2008318,0,0,0,-65.639,-61.2217,1,0,0
2008319,0,0,0,-65.639,-61.2217,1,0,0
2008320,0,0,0,-65.639,-61.2217,1,0,0
2008321,-65.655,-61.385,1,-65.639,-61.2217,1,14,4
2008322,0,0,0,-65.639,-61.2217,1,0,0
2008323,0,0,0,-65.639,-61.2217,1,0,0
2008324,0,0,0,-65.639,-61.2217,1,0,0
2008327,0,0,0,-65.639,-61.2217,1,0,0
2008328,0,0,0,-65.639,-61.2217,1,0,0
2008329,0,0,0,-65.639,-61.2217,1,0,0
2008330,0,0,0,-65.6016,-61.4109,1,0,0
2008335,-65.4,-61.73,1,0,0,0,14,4
2008342,-65.32,-61.88,1,0,0,0,14,4
2008349,-65.32,-61.88,1,0,0,0,14,4
2008365,0,0,0,-65.1815,-61.3069,1,0,0
2008366,0,0,0,-65.1815,-61.3069,1,0,0
2009001,0,0,0,-65.1815,-61.3069,1,0,0
2009002,0,0,0,-65.1815,-61.3069,1,0,0
