ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2008146,-77.07,-50.35,1,0,0,0,0,0,0,14,7
0,0,0,2008147,-77.07,-50.35,0,0,0,0,0,0,0,0,0
0,0,0,2008148,-77.07,-50.35,0,0,0,0,-77.1162,-50.1216,1,0,0
0,0,0,2008149,-77.07,-50.35,0,0,0,0,-77.1341,-50.1508,1,0,0
0,0,0,2008150,-77.07,-50.35,0,0,0,0,-77.1487,-50.1899,1,0,0
0,0,0,2008151,-77.07,-50.35,0,0,0,0,-77.151,-50.2534,1,0,0
0,0,0,2008152,-77.07,-50.35,0,0,0,0,-77.15,-50.0939,1,0,0
0,0,0,2008153,-77.07,-50.35,1,0,0,0,-77.1381,-50.0419,1,14,7
0,0,0,2008154,-77.07,-50.35,0,0,0,0,-77.1437,-50.0208,1,0,0
0,0,0,2008155,-77.07,-50.35,0,0,0,0,-77.1381,-50.0419,1,0,0
0,0,0,2008156,-77.07,-50.35,0,0,0,0,-77.1442,-49.972,1,0,0
0,0,0,2008157,-77.07,-50.35,0,0,0,0,-77.1686,-49.9491,1,0,0
0,0,0,2008158,-77.07,-50.35,0,0,0,0,-77.1588,-50.0109,1,0,0
0,0,0,2008159,-77.07,-50.35,0,0,0,0,-77.1527,-50.0809,1,0,0
0,0,0,2008160,-77.07,-50.35,1,0,0,0,-77.154,-50.0761,1,14,7
0,0,0,2008161,-77.07,-50.35,0,0,0,0,-77.1577,-50.2502,1,0,0
0,0,0,2008162,-77.07,-50.35,0,0,0,0,-77.1547,-50.1704,1,0,0
0,0,0,2008163,-77.07,-50.35,0,0,0,0,-77.1627,-50.1624,1,0,0
0,0,0,2008164,-77.07,-50.35,0,0,0,0,-77.1525,-49.9654,1,0,0
0,0,0,2008165,-77.07,-50.35,0,0,0,0,-77.1814,-50.1837,1,0,0
0,0,0,2008166,-77.07,-50.35,0,0,0,0,-77.1201,-50.2528,1,0,0
0,0,0,2008167,-77.07,-50.35,1,0,0,0,-77.1545,-50.1461,1,14,7
