ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3
-57.1116,-31.5754,1,2013095,-57.1116,-31.5754,1
-57.0631,-31.6234,1,2013096,-57.0631,-31.6234,1
-57.0056,-31.64,1,2013097,-57.0056,-31.64,1
-57.0247,-31.6205,1,2013098,-57.0247,-31.6205,1
-57.0485,-31.5862,1,2013099,-57.0485,-31.5862,1
-57.0679,-31.5876,1,2013100,-57.0679,-31.5876,1
-57.1199,-31.6466,1,2013101,-57.1199,-31.6466,1
-57.1418,-31.6919,1,2013102,-57.1418,-31.6919,1
-57.1569,-31.7501,1,2013103,-57.1569,-31.7501,1
-57.2229,-31.8047,1,2013104,-57.2229,-31.8047,1
-57.2446,-31.8503,1,2013105,-57.2446,-31.8503,1
-57.2625,-31.8707,1,2013106,-57.2625,-31.8707,1
-57.2499,-31.8563,1,2013107,-57.2499,-31.8563,1
-57.2654,-31.8327,1,2013108,-57.2654,-31.8327,1
-57.2943,-31.7833,1,2013109,-57.2943,-31.7833,1
-57.3265,-31.717,1,2013110,-57.3265,-31.717,1
-57.4163,-31.6337,1,2013111,-57.4163,-31.6337,1
-57.3742,-31.5656,1,2013112,-57.3742,-31.5656,1
-57.2798,-31.4173,1,2013113,-57.2798,-31.4173,1
-57.3616,-31.4481,1,2013114,-57.3616,-31.4481,1
-57.3177,-31.4604,1,2013115,-57.3177,-31.4604,1
-57.2767,-31.5169,1,2013116,-57.2767,-31.5169,1
-57.3349,-31.6032,1,2013117,-57.3349,-31.6032,1
-57.3739,-31.627,1,2013118,-57.3739,-31.627,1
-57.378,-31.487,1,2013119,-57.378,-31.487,1
-57.3802,-31.3455,1,2013120,-57.3802,-31.3455,1
-57.4641,-31.3166,1,2013121,-57.4641,-31.3166,1
-57.5167,-31.0867,1,2013122,-57.5167,-31.0867,1
-57.4932,-30.9993,1,2013123,-57.4932,-30.9993,1
-57.3906,-30.7829,1,2013124,-57.3906,-30.7829,1
-57.3352,-30.6812,1,2013125,-57.3352,-30.6812,1
-57.2845,-30.6869,1,2013126,-57.2845,-30.6869,1
-57.327,-30.6313,1,2013127,-57.327,-30.6313,1
-57.4109,-30.437,1,2013128,-57.4109,-30.437,1
-57.45,-30.0715,1,2013129,-57.45,-30.0715,1
-57.3535,-30.1929,1,2013130,-57.3535,-30.1929,1
-57.2196,-30.2921,1,2013131,-57.2196,-30.2921,1
-56.9908,-30.3893,1,2013132,-56.9908,-30.3893,1
-56.9507,-30.3252,1,2013133,-56.9507,-30.3252,1
-56.9426,-30.2362,1,2013134,-56.9426,-30.2362,1
-57.0053,-30.0619,1,2013135,-57.0053,-30.0619,1
-57.0255,-29.8427,1,2013136,-57.0255,-29.8427,1
-56.9846,-29.7403,1,2013137,-56.9846,-29.7403,1
-57.0209,-29.7183,1,2013138,-57.0209,-29.7183,1
-57.1139,-29.7156,1,2013139,-57.1139,-29.7156,1
-57.1886,-29.6936,1,2013140,-57.1886,-29.6936,1
-57.2427,-29.7305,1,2013141,-57.2427,-29.7305,1
-57.2632,-29.8128,1,2013142,-57.2632,-29.8128,1
-57.2849,-29.9775,1,2013143,-57.2849,-29.9775,1
-57.0706,-30.0925,1,2013144,-57.0706,-30.0925,1
-57.2315,-30.203,1,2013145,-57.2315,-30.203,1
-57.2817,-30.2681,0,2013146,-57.2817,-30.2681,0
-57.3011,-30.2984,1,2013147,-57.3011,-30.2984,1
-57.2129,-30.2439,1,2013148,-57.2129,-30.2439,1
-57.0663,-30.3292,1,2013149,-57.0663,-30.3292,1
-56.8368,-30.1842,1,2013150,-56.8368,-30.1842,1
-56.866,-29.9947,1,2013151,-56.866,-29.9947,1
-56.9949,-29.8483,0,2013152,-56.9949,-29.8483,0
-57.1355,-29.717,1,2013153,-57.1355,-29.717,1
-57.1845,-29.5887,1,2013154,-57.1845,-29.5887,1
-57.2132,-29.5587,1,2013155,-57.2132,-29.5587,1
-57.2208,-29.6676,1,2013156,-57.2208,-29.6676,1
-57.3041,-29.6337,1,2013157,-57.3041,-29.6337,1
-57.3985,-29.5713,1,2013158,-57.3985,-29.5713,1
-57.4116,-29.464,1,2013159,-57.4116,-29.464,1
-57.3799,-29.2089,1,2013160,-57.3799,-29.2089,1
-57.4106,-29.1,1,2013161,-57.4106,-29.1,1
-57.4197,-28.6474,1,2013162,-57.4197,-28.6474,1
-57.4311,-28.0979,1,2013163,-57.4311,-28.0979,1
-57.2894,-27.8008,1,2013164,-57.2894,-27.8008,1
-57.1191,-27.8138,1,2013165,-57.1191,-27.8138,1
-56.9872,-27.9416,1,2013166,-56.9872,-27.9416,1
-56.9128,-28.1243,1,2013167,-56.9128,-28.1243,1
-56.8962,-28.2057,1,2013168,-56.8962,-28.2057,1
-56.9149,-28.5395,1,2013169,-56.9149,-28.5395,1
-56.9015,-28.624,1,2013170,-56.9015,-28.624,1
-56.9576,-28.9575,1,2013171,-56.9576,-28.9575,1
-56.9425,-29.3381,1,2013172,-56.9425,-29.3381,1
-56.9139,-29.2381,0,2013173,-56.9139,-29.2381,0
-56.8635,-29.1381,1,2013174,-56.8635,-29.1381,1
-56.7094,-29.2973,0,2013175,-56.7094,-29.2973,0
-56.5168,-29.4564,1,2013176,-56.5168,-29.4564,1
-56.3651,-29.309,0,2013177,-56.3651,-29.309,0
-56.2297,-29.0352,0,2013178,-56.2297,-29.0352,0
-56.1663,-28.8878,1,2013179,-56.1663,-28.8878,1
-56.1609,-29.0573,1,2013180,-56.1609,-29.0573,1
-55.9974,-28.9247,1,2013181,-55.9974,-28.9247,1
-55.8539,-29.0034,1,2013182,-55.8539,-29.0034,1
-55.8487,-28.921,1,2013183,-55.8487,-28.921,1
-55.791,-29.1519,1,2013184,-55.791,-29.1519,1
-55.77,-29.2262,1,2013185,-55.77,-29.2262,1
-55.7053,-29.4301,1,2013186,-55.7053,-29.4301,1
-55.615,-29.7415,1,2013187,-55.615,-29.7415,1
-55.5877,-29.8855,1,2013188,-55.5877,-29.8855,1
-55.5787,-30.0681,1,2013189,-55.5787,-30.0681,1
-55.4704,-30.4754,1,2013190,-55.4704,-30.4754,1
-55.4196,-30.46,1,2013191,-55.4196,-30.46,1
-55.3641,-30.5752,1,2013192,-55.3641,-30.5752,1
-55.2689,-30.6487,1,2013193,-55.2689,-30.6487,1
-55.0333,-30.9192,1,2013194,-55.0333,-30.9192,1
-54.9082,-30.8451,1,2013195,-54.9082,-30.8451,1
-54.7643,-30.9042,1,2013196,-54.7643,-30.9042,1
-54.6797,-30.9107,1,2013197,-54.6797,-30.9107,1
-54.7661,-30.8864,1,2013198,-54.7661,-30.8864,1
-54.613,-30.8231,1,2013199,-54.613,-30.8231,1
-54.7151,-31.0607,1,2013200,-54.7151,-31.0607,1
-54.6509,-30.9658,0,2013201,-54.6509,-30.9658,0
-54.5867,-30.8708,1,2013202,-54.5867,-30.8708,1
-54.6042,-30.9266,1,2013203,-54.6042,-30.9266,1
-54.6126,-30.9163,1,2013204,-54.6126,-30.9163,1
-54.6414,-30.8331,1,2013205,-54.6414,-30.8331,1
-54.6371,-30.7337,0,2013206,-54.6371,-30.7337,0
