ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-57.1544,-35.7106,1,2020358,-56.46,-35.35,1,33,8
-57.0853,-36.1074,1,2020359,-56.46,-35.35,1,33,8
-57.1606,-35.0613,1,2020360,-56.46,-35.35,1,33,8
-57.1606,-35.0613,1,2020361,-56.46,-35.35,1,33,8
-56.7989,-34.633,1,2020362,-56.46,-35.35,1,33,8
-56.7343,-34.8726,1,2020363,-56.46,-35.35,1,33,8
-56.5501,-35.1318,1,2020364,-56.46,-35.35,1,33,8
-56.5621,-35.4723,1,2020365,-56.46,-35.35,1,33,8
-56.3878,-35.6711,0,2020366,-56.46,-35.35,1,33,8
-56.2742,-35.7077,1,2021001,-56.4515,-35.331,0,0,0
-56.0954,-35.5212,0,2021002,-56.3879,-35.195,0,0,0
-55.9539,-35.1808,1,2021003,-56.2725,-34.9637,0,0,0
-55.8794,-34.8078,0,2021004,-56.1177,-34.6794,0,0,0
-55.807,-34.4416,1,2021005,-55.9357,-34.3845,0,0,0
-55.6901,-34.1238,0,2021006,-55.7389,-34.1214,0,0,0
-55.5256,-33.953,1,2021007,-55.5396,-33.9324,0,0,0
-55.2459,-33.9725,0,2021008,-55.35,-33.86,1,33,8
-54.9227,-34.0205,1,2021009,-55.14,-33.9216,0,0,0
-54.6436,-34.1758,0,2021010,-54.8862,-34.0818,0,0,0
-54.4038,-34.3952,1,2021011,-54.6107,-34.3041,0,0,0
-54.1912,-34.6203,0,2021012,-54.336,-34.5517,0,0,0
-54.0063,-34.844,0,2021013,-54.0844,-34.788,0,0,0
-53.9272,-34.9454,1,2021014,-53.8783,-34.9764,0,0,0
-53.9272,-34.9454,0,2021015,-53.74,-35.08,1,33,8
-53.9272,-34.9454,1,2021016,-53.6523,-35.1221,0,0,0
-53.7301,-35.0644,0,2021017,-53.5803,-35.153,0,0,0
-53.3641,-35.2854,0,2021018,-53.5198,-35.1767,0,0,0
-53.167,-35.4044,1,2021019,-53.4667,-35.1971,0,0,0
-53.2151,-35.3857,0,2021020,-53.4169,-35.2185,0,0,0
-53.2631,-35.367,1,2021021,-53.366,-35.2448,0,0,0
-53.2631,-35.367,1,2021022,-53.31,-35.28,1,33,8
-53.2623,-35.4034,0,2021023,-53.252,-35.3244,0,0,0
-53.2598,-35.4925,0,2021024,-53.1967,-35.3764,0,0,0
-53.2558,-35.6048,0,2021025,-53.1423,-35.437,0,0,0
-53.2503,-35.7102,1,2021026,-53.0873,-35.5075,0,0,0
-53.1744,-35.7937,0,2021027,-53.0297,-35.5891,0,0,0
-52.9987,-35.8738,0,2021028,-52.9678,-35.6829,0,0,0
-52.7818,-35.9716,0,2021029,-52.9,-35.79,1,33,8
-52.5827,-36.1081,1,2021030,-52.8121,-35.9666,0,0,0
-52.3663,-36.4186,0,2021031,-52.7003,-36.2407,0,0,0
-52.2353,-36.7727,1,2021032,-52.5782,-36.5712,0,0,0
-52.2386,-37.0022,0,2021033,-52.4594,-36.9174,0,0,0
-52.2489,-37.1987,0,2021034,-52.3577,-37.2382,0,0,0
-52.2664,-37.3745,0,2021035,-52.2867,-37.4927,0,0,0
-52.2917,-37.5417,0,2021036,-52.26,-37.64,1,26,7
-52.325,-37.7125,1,2021037,-52.2981,-37.7106,0,0,0
-52.4927,-37.9124,0,2021038,-52.3982,-37.7655,0,0,0
-52.7387,-38.0507,1,2021039,-52.5389,-37.8095,0,0,0
-52.9238,-38.0854,1,2021040,-52.6988,-37.8472,0,0,0
-52.9934,-37.9951,1,2021041,-52.8566,-37.8834,0,0,0
-53.0586,-37.9247,0,2021042,-52.9908,-37.9227,0,0,0
-53.1257,-37.8888,1,2021043,-53.08,-37.97,1,14,4
-53.2223,-37.9071,0,2021044,-53.1391,-38.0239,0,0,0
-53.2829,-37.9549,1,2021045,-53.1958,-38.08,0,0,0
-53.2194,-38.1157,1,2021046,-53.2476,-38.1382,0,0,0
-53.2382,-38.2287,1,2021047,-53.2922,-38.1984,0,0,0
-53.2551,-38.3158,1,2021048,-53.3274,-38.2605,0,0,0
-53.3349,-38.4013,0,2021049,-53.3507,-38.3244,0,0,0
-53.4018,-38.4913,1,2021050,-53.36,-38.39,1,2,2
-53.382,-38.5962,1,2021051,0,0,0,0,0
-53.3544,-38.756,1,2021052,0,0,0,0,0
-53.35,-38.9659,1,2021053,0,0,0,0,0
-53.4057,-39.301,1,2021054,0,0,0,0,0
-53.4057,-39.301,1,2021055,0,0,0,0,0
-53.4125,-39.3999,1,2021056,0,0,0,0,0
-53.3472,-39.4837,0,2021057,0,0,0,0,0
-53.2621,-39.5768,1,2021058,0,0,0,0,0
-53.2261,-39.7126,0,2021059,0,0,0,0,0
-53.2085,-39.8859,1,2021060,0,0,0,0,0
