ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.216,-35.53,1,2021029,-56.21,-35.54,1,11,5
-56.1911,-35.6093,1,2021030,-56.2051,-35.6141,0,0,0
-56.1819,-35.7524,1,2021031,-56.1911,-35.6671,0,0,0
-56.1911,-35.6093,1,2021032,-56.1694,-35.7027,0,0,0
-56.1749,-35.6019,0,2021033,-56.1411,-35.7243,0,0,0
-56.1306,-35.5991,0,2021034,-56.1077,-35.7353,0,0,0
-56.0645,-35.5978,0,2021035,-56.0702,-35.7394,0,0,0
-55.9827,-35.5949,0,2021036,-56.03,-35.74,1,11,5
-55.8915,-35.5874,1,2021037,-55.9736,-35.6691,0,0,0
-55.7452,-35.366,1,2021038,-55.891,-35.4862,0,0,0
-55.7009,-35.361,1,2021039,-55.7886,-35.2362,0,0,0
-55.5775,-34.8046,1,2021040,-55.6728,-34.9638,0,0,0
-55.4629,-34.8059,0,2021041,-55.5502,-34.7138,0,0,0
-55.3574,-34.8101,0,2021042,-55.4271,-34.5309,0,0,0
-55.2575,-34.8176,0,2021043,-55.31,-34.46,1,11,4
-55.1597,-34.8285,0,2021044,-55.1955,-34.4754,0,0,0
-55.0607,-34.8433,0,2021045,-55.0765,-34.5182,0,0,0
-54.9569,-34.8623,0,2021046,-54.9541,-34.5835,0,0,0
-54.845,-34.8858,0,2021047,-54.8293,-34.6663,0,0,0
-54.7214,-34.9141,0,2021048,-54.703,-34.7616,0,0,0
-54.5828,-34.9476,0,2021049,-54.5762,-34.8645,0,0,0
-54.4256,-34.9866,1,2021050,-54.45,-34.97,1,11,4
-54.1991,-35.149,1,2021051,-54.3121,-35.1118,0,0,0
-54.0555,-35.3369,0,2021052,-54.1575,-35.3104,0,0,0
-53.9385,-35.5463,0,2021053,-53.9981,-35.5412,0,0,0
-53.8386,-35.7618,0,2021054,-53.8458,-35.7793,0,0,0
-53.7468,-35.9679,0,2021055,-53.7125,-35.9999,0,0,0
-53.6537,-36.1491,0,2021056,-53.6099,-36.1784,0,0,0
-53.55,-36.29,1,2021057,-53.55,-36.29,1,11,4
-53.4355,-36.3831,1,2021058,-53.5205,-36.3579,0,0,0
-53.442,-36.4487,0,2021059,-53.4992,-36.4207,0,0,0
-53.4552,-36.502,0,2021060,-53.4832,-36.4765,0,0,0
-53.4655,-36.5346,1,2021061,-53.4692,-36.5232,0,0,0
-53.4711,-36.553,0,2021062,-53.4544,-36.559,0,0,0
-53.4764,-36.569,0,2021063,-53.4357,-36.5819,0,0,0
-53.481,-36.5823,0,2021064,-53.41,-36.59,1,9,3
-53.4846,-36.5922,0,2021065,-53.3741,-36.5871,0,0,0
-53.487,-36.5985,0,2021066,-53.3275,-36.5777,0,0,0
-53.4879,-36.6007,1,2021067,-53.2715,-36.5609,0,0,0
-53.4085,-36.5693,0,2021068,-53.2075,-36.5357,0,0,0
-53.234,-36.5004,0,2021069,-53.1368,-36.5011,0,0,0
-53.0594,-36.4314,0,2021070,-53.0605,-36.4562,0,0,0
-52.98,-36.4,1,2021071,-52.98,-36.4,1,4,1
-52.98,-36.4,1,2021072,0,0,0,0,0
