ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.28,-35.5,1,2021029,-56.28,-35.5,1,19,3
-56.1814,-35.4811,1,2021030,-56.2679,-35.4395,0,0,0
-56.1993,-35.6707,1,2021031,-56.2334,-35.3881,0,0,0
-56.3066,-35.6155,1,2021032,-56.1796,-35.3458,0,0,0
-56.2504,-35.5248,0,2021033,-56.1094,-35.3128,0,0,0
-56.1153,-35.4036,0,2021034,-56.0258,-35.2891,0,0,0
-55.9514,-35.2808,0,2021035,-55.9317,-35.2748,0,0,0
-55.8089,-35.1858,0,2021036,-55.83,-35.27,1,19,3
-55.738,-35.1477,1,2021037,-55.6707,-35.2776,0,0,0
-55.726,-35.1824,1,2021038,-55.4216,-35.2984,0,0,0
-55.7443,-35.0496,1,2021039,-55.1129,-35.3292,0,0,0
-55.5474,-34.8297,1,2021040,-54.7743,-35.3669,0,0,0
0,0,0,2021041,-54.436,-35.4084,0,0,0
0,0,0,2021042,-54.1279,-35.4504,0,0,0
0,0,0,2021043,-53.88,-35.49,1,13,2
0,0,0,2021044,-53.6631,-35.5351,0,0,0
0,0,0,2021045,-53.438,-35.5914,0,0,0
0,0,0,2021046,-53.2199,-35.6524,0,0,0
0,0,0,2021047,-53.0239,-35.7114,0,0,0
0,0,0,2021048,-52.8652,-35.7618,0,0,0
0,0,0,2021049,-52.7588,-35.7968,0,0,0
-52.6756,-35.8294,1,2021050,-52.72,-35.81,1,13,2
-52.6167,-35.6272,1,2021051,-52.7201,-35.7784,0,0,0
0,0,0,2021052,-52.7207,-35.6886,0,0,0
0,0,0,2021053,-52.7224,-35.5481,0,0,0
0,0,0,2021054,-52.7256,-35.3645,0,0,0
0,0,0,2021055,-52.7309,-35.1453,0,0,0
0,0,0,2021056,-52.7389,-34.8979,0,0,0
0,0,0,2021057,-52.75,-34.63,1,4,2
