ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.867,-35.3,1,2021031,-56.77,-35.13,1,26,6
-56.8113,-35.1586,1,2021032,-56.77,-35.13,1,26,6
-56.755,-35.0648,1,2021033,-56.77,-35.13,1,26,6
-56.7845,-35.2208,0,2021034,-56.77,-35.13,0,0,0
-56.814,-35.3768,1,2021035,-56.77,-35.13,1,26,6
-56.748,-35.0867,1,2021036,-56.77,-35.13,1,26,6
-56.8879,-35.1864,1,2021037,-56.7517,-35.1898,0,0,0
-56.6697,-35.1424,1,2021038,-56.7046,-35.3441,0,0,0
-56.643,-35.4946,1,2021039,-56.6401,-35.5551,0,0,0
-56.4326,-35.6456,1,2021040,-56.5699,-35.7849,0,0,0
-56.4992,-35.9444,1,2021041,-56.5054,-35.9959,0,0,0
-56.4633,-36.0633,1,2021042,-56.4583,-36.1502,0,0,0
-56.44,-36.21,1,2021043,-56.44,-36.21,1,20,4
-56.5311,-36.1159,0,2021044,-56.4579,-36.1717,0,0,0
-56.7315,-35.8884,0,2021045,-56.5043,-36.0703,0,0,0
-56.9319,-35.6098,0,2021046,-56.5678,-35.9261,0,0,0
-57.023,-35.3622,1,2021047,-56.6374,-35.7597,0,0,0
-56.9466,-35.1622,1,2021048,-56.7017,-35.5913,0,0,0
-56.8276,-35.353,1,2021049,-56.7497,-35.4412,0,0,0
-56.8158,-35.3327,0,2021050,-56.77,-35.33,1,20,4
-56.8088,-35.2791,0,2021051,-56.7723,-35.2426,0,0,0
-56.8051,-35.2033,0,2021052,-56.7737,-35.154,0,0,0
-56.803,-35.1165,0,2021053,-56.7747,-35.0696,0,0,0
-56.8011,-35.0297,0,2021054,-56.7754,-34.9946,0,0,0
-56.7977,-34.9539,0,2021055,-56.7764,-34.9345,0,0,0
-56.7912,-34.9003,0,2021056,-56.7778,-34.8945,0,0,0
-56.78,-34.88,1,2021057,-56.78,-34.88,1,20,4
-56.7103,-35.1174,1,2021058,-56.7925,-34.8943,0,0,0
-56.6918,-35.244,0,2021059,-56.8204,-34.9335,0,0,0
-56.6754,-35.3631,0,2021060,-56.8574,-34.9922,0,0,0
-56.6608,-35.4744,0,2021061,-56.8972,-35.0646,0,0,0
-56.648,-35.5774,0,2021062,-56.9334,-35.1455,0,0,0
-56.637,-35.6715,0,2021063,-56.9598,-35.2291,0,0,0
-56.6276,-35.7563,0,2021064,-56.97,-35.31,1,13,3
-56.6197,-35.8314,0,2021065,-56.9609,-35.3924,0,0,0
-56.6133,-35.8962,0,2021066,-56.9345,-35.4838,0,0,0
-56.6083,-35.9503,0,2021067,-56.8926,-35.5834,0,0,0
-56.6045,-35.9932,0,2021068,-56.8366,-35.6906,0,0,0
-56.602,-36.0244,0,2021069,-56.7681,-35.8045,0,0,0
-56.6005,-36.0435,0,2021070,-56.6887,-35.9246,0,0,0
-56.6,-36.05,1,2021071,-56.6,-36.05,1,2,2
