ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-68.95,-60.5,1,2020192,-68.9,-60.5,1,10,7
-68.9888,-60.5336,0,2020193,-68.885,-60.538,0,0,0
-69.0225,-60.5628,0,2020194,-68.8731,-60.5689,0,0,0
-69.0508,-60.5874,0,2020195,-68.864,-60.5933,0,0,0
-69.0735,-60.607,0,2020196,-68.8574,-60.6114,0,0,0
-69.09,-60.6214,0,2020197,-68.8531,-60.6239,0,0,0
-69.1002,-60.6302,0,2020198,-68.8507,-60.631,0,0,0
-69.1037,-60.6332,1,2020199,-68.85,-60.6333,1,10,7
-69.1037,-60.6332,1,2020200,-68.8546,-60.6231,0,0,0
-69.2362,-60.6108,1,2020201,-68.8665,-60.597,0,0,0
-69.2362,-60.6108,1,2020202,-68.8828,-60.5612,0,0,0
-69.2362,-60.6108,1,2020203,-68.9005,-60.5221,0,0,0
-69.2362,-60.6108,1,2020204,-68.9168,-60.4863,0,0,0
-69.2257,-60.604,0,2020205,-68.9287,-60.4602,0,0,0
-69.1972,-60.5856,0,2020206,-68.9333,-60.45,1,10,7
-69.1553,-60.5584,0,2020207,-68.9306,-60.4505,0,0,0
-69.1043,-60.5254,0,2020208,-68.923,-60.4519,0,0,0
-69.0489,-60.4895,0,2020209,-68.9118,-60.4539,0,0,0
-68.9934,-60.4536,0,2020210,-68.8978,-60.4566,0,0,0
-68.9424,-60.4206,0,2020211,-68.8821,-60.4597,0,0,0
-68.9005,-60.3934,0,2020212,-68.8659,-60.4631,0,0,0
-68.872,-60.375,0,2020213,-68.85,-60.4667,1,10,7
-68.8615,-60.3682,1,2020214,-68.8318,-60.4717,0,0,0
-68.8615,-60.3682,1,2020215,-68.809,-60.4788,0,0,0
-68.8615,-60.3682,1,2020216,-68.7838,-60.4873,0,0,0
-68.8019,-60.4329,1,2020217,-68.7583,-60.4962,0,0,0
-68.7195,-60.5291,1,2020218,-68.7344,-60.5046,0,0,0
-68.7195,-60.5291,0,2020219,-68.7143,-60.5118,0,0,0
-68.7195,-60.5291,1,2020220,-68.7,-60.5167,1,10,7
-68.7195,-60.5291,1,2020221,-68.6904,-60.5202,0,0,0
-68.7195,-60.5291,1,2020222,-68.6825,-60.5236,0,0,0
-68.7195,-60.5291,1,2020223,-68.6758,-60.5267,0,0,0
-68.7195,-60.5291,0,2020224,-68.6698,-60.5294,0,0,0
-68.7195,-60.5291,0,2020225,-68.6639,-60.5315,0,0,0
-68.7195,-60.5291,0,2020226,-68.6575,-60.5328,0,0,0
-68.7195,-60.5291,0,2020227,-68.65,-60.5333,1,10,7
