ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.13,-60.49,1,2021085,-74.13,-60.49,1,8,3
-74.13,-60.49,1,2021086,-74.119,-60.4743,0,0,0
-74.0612,-60.5037,1,2021087,-74.1022,-60.4586,0,0,0
-73.9476,-60.4396,1,2021088,-74.0804,-60.4429,0,0,0
-73.9009,-60.4539,1,2021089,-74.0545,-60.4271,0,0,0
-73.9975,-60.3893,1,2021090,-74.0253,-60.4114,0,0,0
-73.923,-60.3361,1,2021091,-73.9935,-60.3957,0,0,0
-73.8482,-60.4042,1,2021092,-73.96,-60.38,1,8,3
-73.8482,-60.4042,1,2021093,-73.9164,-60.3646,0,0,0
-73.8482,-60.4042,1,2021094,-73.858,-60.3498,0,0,0
-73.8482,-60.4042,1,2021095,-73.7909,-60.335,0,0,0
-73.778,-60.2996,1,2021096,-73.7214,-60.32,0,0,0
-73.778,-60.2996,1,2021097,-73.6556,-60.3044,0,0,0
-73.7082,-60.3979,1,2021098,-73.5998,-60.2879,0,0,0
-73.599,-60.2953,1,2021099,-73.56,-60.27,1,8,3
-73.599,-60.2953,1,2021100,-73.5342,-60.2511,0,0,0
-73.5186,-60.2505,1,2021101,-73.5143,-60.2314,0,0,0
-73.5186,-60.2505,1,2021102,-73.498,-60.2107,0,0,0
-73.5186,-60.2505,1,2021103,-73.4829,-60.1885,0,0,0
-73.4782,-60.1984,1,2021104,-73.4665,-60.1645,0,0,0
-73.4782,-60.1984,1,2021105,-73.4463,-60.1385,0,0,0
-73.3429,-60.0575,1,2021106,-73.42,-60.11,1,8,3
-73.3429,-60.0575,1,2021107,-73.3781,-60.0737,0,0,0
-73.3429,-60.0575,1,2021108,-73.3176,-60.0275,0,0,0
-73.3429,-60.0575,1,2021109,0,0,0,0,0
-73.2226,-59.8932,1,2021110,0,0,0,0,0
-73.1643,-59.9633,1,2021111,0,0,0,0,0
0,0,0,2021113,-72.99,-59.81,1,8,3
-72.9421,-59.7739,1,2021115,0,0,0,0,0
0,0,0,2021116,-72.9218,-59.7608,0,0,0
-72.8721,-59.762,1,2021117,0,0,0,0,0
-72.8096,-59.7756,0,2021118,-72.8862,-59.7385,0,0,0
-72.7231,-59.8055,0,2021119,-72.8622,-59.7322,0,0,0
-72.6189,-59.8353,0,2021120,-72.83,-59.73,1,8,3
-72.5037,-59.8489,1,2021121,-72.7805,-59.73,0,0,0
-72.3569,-59.7887,1,2021122,-72.7086,-59.7302,0,0,0
-72.2189,-59.9815,1,2021123,-72.6174,-59.7308,0,0,0
-72.1825,-59.9942,0,2021124,-72.5099,-59.7319,0,0,0
-72.162,-60.003,0,2021125,-72.3891,-59.7336,0,0,0
-72.148,-60.0084,0,2021126,-72.2581,-59.7363,0,0,0
-72.1311,-60.0112,0,2021127,-72.12,-59.74,1,6,3
-72.1019,-60.012,1,2021128,0,0,0,0,0
-72.0368,-59.9065,1,2021129,0,0,0,0,0
-71.9913,-60.034,1,2021130,0,0,0,0,0
-71.9913,-60.034,1,2021131,0,0,0,0,0
-71.9913,-60.034,1,2021132,0,0,0,0,0
-71.9156,-59.9451,1,2021133,0,0,0,0,0
-71.9156,-59.9451,1,2021134,0,0,0,0,0
-71.9427,-59.86,0,2021135,0,0,0,0,0
-71.9698,-59.7748,1,2021136,0,0,0,0,0
-71.9698,-59.7748,1,2021137,0,0,0,0,0
-71.9698,-59.7748,1,2021138,0,0,0,0,0
-72.045,-59.5553,1,2021139,0,0,0,0,0
-71.99,-59.5865,1,2021140,0,0,0,0,0
-71.9902,-59.7059,1,2021141,0,0,0,0,0
-71.8287,-59.6182,1,2021142,0,0,0,0,0
-71.8287,-59.6182,1,2021143,0,0,0,0,0
-71.7428,-59.7906,1,2021144,0,0,0,0,0
-71.5085,-59.8079,1,2021145,0,0,0,0,0
-71.3846,-59.859,1,2021146,0,0,0,0,0
-71.3846,-59.859,1,2021147,0,0,0,0,0
-71.1716,-59.988,1,2021148,0,0,0,0,0
-71.0524,-60.0615,1,2021149,0,0,0,0,0
-71.0021,-60.0088,1,2021150,0,0,0,0,0
-71.0021,-60.0088,1,2021151,0,0,0,0,0
-71.0021,-60.0088,1,2021152,0,0,0,0,0
-71.0021,-60.0088,1,2021153,0,0,0,0,0
-71.0021,-60.0088,1,2021154,0,0,0,0,0
-71.002,-60.008,1,2021155,0,0,0,0,0
-70.8667,-59.9978,1,2021156,0,0,0,0,0
-70.8667,-59.9978,1,2021157,0,0,0,0,0
-70.8184,-60.0143,1,2021158,0,0,0,0,0
-70.8184,-60.0143,1,2021159,0,0,0,0,0
-70.8741,-59.9199,1,2021160,0,0,0,0,0
-70.8055,-59.9326,1,2021161,0,0,0,0,0
-70.7347,-59.9886,1,2021162,0,0,0,0,0
-70.5204,-60.1464,1,2021163,0,0,0,0,0
-70.4405,-60.2116,0,2021164,0,0,0,0,0
-70.3877,-60.2558,0,2021165,0,0,0,0,0
-70.3686,-60.2721,1,2021166,0,0,0,0,0
-70.4216,-60.1502,1,2021167,0,0,0,0,0
-70.4216,-60.1502,1,2021168,0,0,0,0,0
-70.4216,-60.1502,0,2021169,0,0,0,0,0
-70.4216,-60.1502,1,2021170,0,0,0,0,0
-70.4216,-60.1502,1,2021171,0,0,0,0,0
-70.4216,-60.1502,1,2021172,0,0,0,0,0
