ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.5224,-41.3786,1,2023132,-54.49,-41.44,1,48,5
-54.8055,-41.2018,1,2023133,-54.5179,-41.1616,0,0,0
-54.8725,-40.8802,1,2023134,-54.5501,-40.8972,0,0,0
-54.8861,-40.5256,1,2023135,-54.586,-40.6497,0,0,0
-55.0037,-39.9298,1,2023136,-54.6254,-40.4221,0,0,0
-55.0037,-39.9298,1,2023137,-54.6678,-40.2176,0,0,0
-54.8307,-40.1941,1,2023138,-54.7128,-40.0392,0,0,0
-54.8018,-39.79,1,2023139,-54.76,-39.89,1,48,5
-54.7927,-39.6899,1,2023140,-54.815,-39.7729,0,0,0
-54.7466,-39.5048,1,2023141,-54.8807,-39.6815,0,0,0
-54.6653,-39.184,1,2023142,-54.9524,-39.6047,0,0,0
-54.6854,-38.9973,1,2023143,-55.0257,-39.5313,0,0,0
-54.6854,-38.9973,1,2023144,-55.0961,-39.4501,0,0,0
-54.9477,-39.1087,0,2023145,-55.159,-39.3501,0,0,0
-55.21,-39.22,1,2023146,-55.21,-39.22,1,47,5
-55.21,-39.22,0,2023147,-55.2501,-39.0091,0,0,0
-55.21,-39.22,1,2023148,-55.2848,-38.6978,0,0,0
-55.2162,-39.0904,0,2023149,-55.3158,-38.3216,0,0,0
-55.2338,-38.7561,0,2023150,-55.345,-37.9161,0,0,0
-55.2613,-38.299,0,2023151,-55.3742,-37.517,0,0,0
-55.2972,-37.801,0,2023152,-55.4053,-37.1597,0,0,0
-55.3399,-37.3439,0,2023153,-55.44,-36.88,1,47,5
-55.388,-37.0096,0,2023154,-55.4839,-36.6866,0,0,0
-55.44,-36.88,1,2023155,-55.5374,-36.546,0,0,0
-55.5254,-36.8899,1,2023156,-55.5945,-36.4303,0,0,0
-55.4027,-36.7992,1,2023157,-55.6493,-36.3118,0,0,0
-55.4495,-36.6174,1,2023158,-55.6957,-36.1625,0,0,0
-55.4926,-36.461,1,2023159,-55.7279,-35.9545,0,0,0
-55.74,-35.66,1,2023160,-55.74,-35.66,1,48,5
-55.7857,-35.4915,1,2023161,0,0,0,0,0
-55.7962,-35.3526,0,2023162,0,0,0,0,0
-55.8068,-35.2344,1,2023163,0,0,0,0,0
-55.857,-35.1408,1,2023164,0,0,0,0,0
-55.8449,-35.2012,1,2023165,0,0,0,0,0
-55.8338,-35.1169,0,2023166,0,0,1,47,5
-55.824,-34.9604,0,2023167,0,0,0,0,0
-55.8197,-34.8761,1,2023168,0,0,0,0,0
-55.8197,-34.8761,1,2023169,0,0,0,0,0
-55.7909,-34.8467,0,2023170,0,0,0,0,0
-55.74,-34.7885,1,2023171,0,0,0,0,0
-55.6914,-34.7119,1,2023172,0,0,0,0,0
-55.6615,-34.6112,1,2023173,0,0,0,0,0
-55.7068,-34.5313,1,2023174,0,0,0,0,0
-55.7104,-34.4584,1,2023175,0,0,0,0,0
-55.7104,-34.4584,1,2023176,0,0,0,0,0
-55.6217,-34.3882,1,2023177,0,0,0,0,0
-55.35,-34.3546,0,2023178,0,0,0,0,0
-55.14,-34.34,1,2023179,0,0,0,0,0
-55.14,-34.34,1,2023180,0,0,0,0,0
-55.14,-34.34,0,2023181,0,0,1,48,5
-55.14,-34.34,1,2023182,0,0,0,0,0
-54.9386,-34.3275,1,2023183,0,0,0,0,0
-54.8511,-34.4435,1,2023184,0,0,0,0,0
-54.7002,-34.5328,1,2023185,0,0,0,0,0
-54.5574,-34.5492,1,2023186,0,0,0,0,0
-54.5574,-34.5492,1,2023187,0,0,0,0,0
-54.4104,-34.1389,1,2023188,0,0,1,48,5
-54.3405,-34.3912,1,2023189,0,0,0,0,0
-54.3134,-34.459,1,2023190,0,0,0,0,0
-54.3066,-34.7069,1,2023191,0,0,0,0,0
-54.3066,-34.7069,1,2023192,0,0,0,0,0
-53.91,-34.969,0,2023193,0,0,0,0,0
-53.39,-35.38,1,2023194,0,0,0,0,0
-53.1795,-35.7216,0,2023195,0,0,1,48,5
-53.0524,-35.9142,1,2023196,0,0,0,0,0
-52.9961,-35.914,1,2023197,0,0,0,0,0
-52.9359,-36.1077,1,2023198,0,0,0,0,0
-52.9284,-36.2314,1,2023199,0,0,0,0,0
-52.8547,-36.421,1,2023200,0,0,0,0,0
-52.8853,-36.5757,0,2023201,0,0,0,0,0
-52.942,-36.7073,0,2023202,0,0,1,48,5
-52.9726,-36.7629,1,2023203,0,0,0,0,0
-52.9726,-36.7629,1,2023204,0,0,0,0,0
-53.0901,-37.0038,0,2023205,0,0,0,0,0
-53.3082,-37.4511,0,2023206,0,0,0,0,0
-53.4257,-37.692,1,2023207,0,0,0,0,0
-53.4257,-37.692,1,2023208,0,0,0,0,0
-53.4501,-38.0097,1,2023209,0,0,0,0,0
-53.4365,-38.1758,0,2023210,0,0,0,0,0
-53.4112,-38.2967,0,2023211,0,0,0,0,0
-53.3976,-38.3434,1,2023212,0,0,0,0,0
-53.3976,-38.3434,1,2023213,0,0,0,0,0
-53.4164,-38.2031,0,2023214,0,0,0,0,0
-53.465,-37.8413,0,2023215,0,0,0,0,0
-53.5315,-37.3465,0,2023216,-53.39,-35.38,1,48,5
-53.6038,-36.8075,0,2023217,-53.39,-35.38,0,0,0
-53.6703,-36.3127,0,2023218,-53.39,-35.38,0,0,0
-53.7189,-35.9509,0,2023219,-53.39,-35.38,0,0,0
-53.7377,-35.8106,1,2023220,-53.39,-35.38,0,0,0
-53.7376,-35.811,0,2023221,-53.39,-35.38,0,0,0
-53.7372,-35.8138,0,2023222,-53.39,-35.38,0,0,0
-53.736,-35.8215,0,2023223,-53.39,-35.38,1,48,5
-53.7336,-35.8364,0,2023224,-53.39,-35.38,0,0,0
-53.7297,-35.861,0,2023225,-53.39,-35.38,0,0,0
-53.7239,-35.8976,0,2023226,-53.39,-35.38,0,0,0
-53.7158,-35.9488,0,2023227,-53.39,-35.38,0,0,0
-53.7051,-36.0169,0,2023228,-53.39,-35.38,0,0,0
-53.6913,-36.1043,0,2023229,-53.39,-35.38,0,0,0
-53.674,-36.2135,0,2023230,-53.39,-35.38,1,48,5
-53.6529,-36.3468,1,2023231,0,0,0,0,0
0,0,0,2023237,-51.17,-36.92,1,48,5
