ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.14,-39.77,1,2023146,-54.14,-39.77,1,17,3
-54.14,-39.77,1,2023147,-53.991,-40.0681,0,0,0
-54.14,-39.77,1,2023148,-53.8495,-40.352,0,0,0
-54.14,-39.77,0,2023149,-53.717,-40.6192,0,0,0
-54.14,-39.77,1,2023150,-53.5952,-40.8671,0,0,0
-54.0983,-39.8774,0,2023151,-53.4857,-41.0933,0,0,0
-53.9872,-40.1609,0,2023152,-53.3901,-41.2951,0,0,0
-53.828,-40.5622,0,2023153,-53.31,-41.47,1,17,3
-53.642,-41.0232,0,2023154,-53.2425,-41.6345,0,0,0
-53.4504,-41.4855,0,2023155,-53.1825,-41.8004,0,0,0
-53.2743,-41.8909,1,2023156,-53.1288,-41.958,0,0,0
-53.1006,-42.2511,1,2023157,-53.0801,-42.0974,0,0,0
-53.2178,-42.3641,1,2023158,-53.0349,-42.209,0,0,0
-52.9396,-42.0186,1,2023159,-52.992,-42.2831,0,0,0
-52.9408,-42.0857,1,2023160,-52.95,-42.31,1,17,3
-52.7824,-42.1384,1,2023161,0,0,0,0,0
-52.6031,-41.899,0,2023162,0,0,0,0,0
-52.4445,-41.596,1,2023163,0,0,0,0,0
-52.3454,-41.5066,1,2023164,0,0,0,0,0
-52.17,-41.24,1,2023165,0,0,0,0,0
-52.1651,-41.161,1,2023166,0,0,0,0,0
-52.1754,-41.0754,0,2023167,0,0,0,0,0
-52.1857,-40.9608,1,2023168,0,0,0,0,0
-52.1584,-40.7342,1,2023169,0,0,0,0,0
-52.1485,-40.5951,1,2023170,0,0,0,0,0
-52.0845,-40.1522,1,2023171,0,0,0,0,0
-52.0556,-39.8167,1,2023172,0,0,0,0,0
-52.25,-39.08,1,2023173,0,0,0,0,0
-52.2431,-39.201,1,2023174,0,0,0,0,0
-52.2386,-39.1071,1,2023175,0,0,0,0,0
-52.1903,-39.1599,1,2023176,0,0,0,0,0
-52.1903,-39.1599,1,2023177,0,0,0,0,0
-52.2336,-39.0944,0,2023178,0,0,0,0,0
-52.2768,-38.9865,1,2023179,0,0,0,0,0
-52.1717,-38.9035,1,2023180,0,0,0,0,0
-52.1751,-38.9111,0,2023181,-52.25,-39.08,1,17,3
-52.1839,-38.9311,0,2023182,-52.25,-39.08,0,0,0
-52.1965,-38.9593,0,2023183,-52.25,-39.08,0,0,0
-52.2109,-38.9918,0,2023184,-52.25,-39.08,0,0,0
-52.2252,-39.0242,0,2023185,-52.25,-39.08,0,0,0
-52.2378,-39.0524,0,2023186,-52.25,-39.08,0,0,0
-52.2466,-39.0724,0,2023187,-52.25,-39.08,0,0,0
-52.25,-39.08,1,2023188,-52.25,-39.08,1,17,3
-52.25,-39.08,1,2023189,-52.2029,-39.0972,0,0,0
-52.25,-39.08,1,2023190,-52.0815,-39.1415,0,0,0
-52.25,-39.08,1,2023191,-51.9155,-39.202,0,0,0
0,0,0,2023192,-51.7345,-39.268,0,0,0
0,0,0,2023193,-51.5685,-39.3285,0,0,0
0,0,0,2023194,-51.4471,-39.3728,0,0,0
0,0,0,2023195,-51.4,-39.39,1,17,3
0,0,0,2023196,-51.4,-39.39,0,0,0
0,0,0,2023197,-51.4,-39.39,0,0,0
0,0,0,2023198,-51.4,-39.39,0,0,0
0,0,0,2023199,-51.4,-39.39,0,0,0
0,0,0,2023200,-51.4,-39.39,0,0,0
0,0,0,2023201,-51.4,-39.39,0,0,0
0,0,0,2023202,-51.4,-39.39,1,17,3
0,0,0,2023216,-51.4,-39.39,1,17,3
0,0,0,2023217,-51.4,-39.39,0,0,0
0,0,0,2023218,-51.4,-39.39,0,0,0
0,0,0,2023219,-51.4,-39.39,0,0,0
0,0,0,2023220,-51.4,-39.39,0,0,0
0,0,0,2023221,-51.4,-39.39,0,0,0
0,0,0,2023222,-51.4,-39.39,0,0,0
0,0,0,2023223,-51.4,-39.39,1,17,3
0,0,0,2023224,-51.4,-39.39,0,0,0
0,0,0,2023225,-51.4,-39.39,0,0,0
0,0,0,2023226,-51.4,-39.39,0,0,0
0,0,0,2023227,-51.4,-39.39,0,0,0
0,0,0,2023228,-51.4,-39.39,0,0,0
0,0,0,2023229,-51.4,-39.39,0,0,0
0,0,0,2023230,-51.4,-39.39,1,17,3
0,0,0,2023231,-51.4,-39.39,0,0,0
0,0,0,2023232,-51.4,-39.39,0,0,0
0,0,0,2023233,-51.4,-39.39,0,0,0
0,0,0,2023234,-51.4,-39.39,0,0,0
0,0,0,2023235,-51.4,-39.39,0,0,0
0,0,0,2023236,-51.4,-39.39,0,0,0
0,0,0,2023237,-51.4,-39.39,1,17,3
