ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.61,-38.62,1,2023146,-54.61,-38.62,1,10,3
-54.61,-38.62,1,2023147,-54.61,-38.62,0,0,0
-54.61,-38.62,1,2023148,-54.61,-38.62,0,0,0
-54.61,-38.62,0,2023149,-54.61,-38.62,0,0,0
-54.61,-38.62,1,2023150,-54.61,-38.62,0,0,0
-54.6117,-38.6253,0,2023151,-54.61,-38.62,0,0,0
-54.6161,-38.6387,0,2023152,-54.61,-38.62,0,0,0
-54.6221,-38.6561,0,2023153,-54.61,-38.62,1,10,3
-54.6287,-38.6735,0,2023154,-54.6115,-38.6244,0,0,0
-54.6349,-38.6869,0,2023155,-54.6155,-38.6359,0,0,0
-54.6395,-38.6922,1,2023156,-54.6211,-38.6515,0,0,0
-54.6425,-38.6272,1,2023157,-54.6272,-38.6685,0,0,0
-54.6425,-38.6272,1,2023158,-54.633,-38.6841,0,0,0
-54.6425,-38.6272,1,2023159,-54.6376,-38.6956,0,0,0
-54.64,-38.7,1,2023160,-54.64,-38.7,1,10,3
-54.64,-38.7,1,2023161,0,0,0,0,0
-54.638,-38.7369,0,2023162,0,0,0,0,0
-54.636,-38.7737,1,2023163,0,0,0,0,0
-54.636,-38.7737,1,2023164,0,0,0,0,0
-54.639,-38.6878,1,2023165,0,0,0,0,0
-54.639,-38.6878,1,2023166,0,0,0,0,0
-54.6372,-38.6268,0,2023167,0,0,0,0,0
-54.6354,-38.5657,1,2023168,0,0,0,0,0
-54.6354,-38.5657,1,2023169,0,0,0,0,0
-54.6739,-38.5915,1,2023170,0,0,0,0,0
-54.6797,-38.684,0,2023171,0,0,0,0,0
-54.6817,-38.7578,1,2023172,0,0,0,0,0
-54.6817,-38.7578,1,2023173,0,0,0,0,0
-54.6646,-38.7095,1,2023174,0,0,0,0,0
-54.6646,-38.7095,1,2023175,0,0,0,0,0
-54.6695,-38.5955,1,2023176,0,0,0,0,0
-54.6776,-38.5276,1,2023177,0,0,0,0,0
-54.6638,-38.5218,0,2023178,0,0,0,0,0
-54.65,-38.52,1,2023179,0,0,0,0,0
-54.65,-38.52,1,2023180,0,0,0,0,0
-54.6504,-38.5269,0,2023181,-54.65,-38.52,1,10,3
-54.6516,-38.545,0,2023182,-54.6511,-38.5289,0,0,0
-54.6532,-38.5706,0,2023183,-54.6528,-38.5517,0,0,0
-54.655,-38.6,0,2023184,-54.6547,-38.583,0,0,0
-54.6568,-38.6294,0,2023185,-54.6566,-38.617,0,0,0
-54.6584,-38.655,0,2023186,-54.6583,-38.6483,0,0,0
-54.6596,-38.6731,0,2023187,-54.6595,-38.6711,0,0,0
-54.66,-38.68,1,2023188,-54.66,-38.68,1,10,3
-54.66,-38.68,1,2023189,-54.6539,-38.6734,0,0,0
-54.66,-38.68,1,2023190,-54.6382,-38.6562,0,0,0
-54.66,-38.68,1,2023191,-54.6167,-38.6328,0,0,0
-54.5743,-38.5888,1,2023192,-54.5933,-38.6072,0,0,0
-54.5743,-38.5888,0,2023193,-54.5718,-38.5838,0,0,0
-54.5743,-38.5888,1,2023194,-54.5561,-38.5666,0,0,0
-54.5743,-38.5888,0,2023195,-54.55,-38.56,1,10,3
-54.5743,-38.5888,1,2023196,-54.55,-38.56,0,0,0
-54.5733,-38.5866,0,2023197,-54.55,-38.56,0,0,0
-54.5705,-38.5804,0,2023198,-54.55,-38.56,0,0,0
-54.5662,-38.5712,0,2023199,-54.55,-38.56,0,0,0
-54.5606,-38.5597,0,2023200,-54.55,-38.56,0,0,0
-54.5539,-38.5467,0,2023201,-54.55,-38.56,0,0,0
-54.5464,-38.5331,0,2023202,-54.55,-38.56,1,10,3
-54.5384,-38.5197,0,2023203,-54.5533,-38.5633,0,0,0
-54.53,-38.5072,1,2023204,-54.5619,-38.5719,0,0,0
-54.5173,-38.4927,0,2023205,-54.5736,-38.5836,0,0,0
-54.4989,-38.4752,0,2023206,-54.5864,-38.5964,0,0,0
-54.4791,-38.4582,0,2023207,-54.5981,-38.6081,0,0,0
-54.4625,-38.4453,0,2023208,-54.6067,-38.6167,0,0,0
-54.4532,-38.4402,1,2023209,-54.61,-38.62,1,10,3
-54.4494,-38.4402,0,2023210,-54.6045,-38.6089,0,0,0
-54.4462,-38.4403,0,2023211,-54.5902,-38.5803,0,0,0
-54.4442,-38.4404,0,2023212,-54.5706,-38.5413,0,0,0
-54.4434,-38.4404,1,2023213,-54.5494,-38.4987,0,0,0
-54.4471,-38.4393,0,2023214,-54.5298,-38.4597,0,0,0
-54.4566,-38.4364,0,2023215,-54.5155,-38.4311,0,0,0
-54.4696,-38.4324,0,2023216,-54.51,-38.42,1,10,3
-54.4838,-38.428,0,2023217,-54.51,-38.42,0,0,0
-54.4968,-38.424,0,2023218,-54.51,-38.42,0,0,0
-54.5063,-38.4211,0,2023219,-54.51,-38.42,0,0,0
-54.51,-38.42,1,2023220,-54.51,-38.42,0,0,0
-54.51,-38.42,1,2023221,-54.51,-38.42,0,0,0
-54.51,-38.42,1,2023222,-54.51,-38.42,0,0,0
-54.51,-38.42,1,2023223,-54.51,-38.42,1,10,3
-54.51,-38.42,0,2023224,-54.5155,-38.4372,0,0,0
-54.51,-38.42,1,2023225,-54.5298,-38.4815,0,0,0
-54.51,-38.42,0,2023226,-54.5494,-38.542,0,0,0
-54.51,-38.42,0,2023227,-54.5706,-38.608,0,0,0
-54.51,-38.42,1,2023228,-54.5902,-38.6685,0,0,0
-54.5427,-38.4566,0,2023229,-54.6045,-38.7128,0,0,0
-54.5886,-38.5396,1,2023230,-54.61,-38.73,1,10,3
-54.6096,-38.7063,1,2023231,-54.61,-38.73,0,0,0
0,0,0,2023232,-54.61,-38.73,0,0,0
0,0,0,2023233,-54.61,-38.73,0,0,0
0,0,0,2023234,-54.61,-38.73,0,0,0
0,0,0,2023235,-54.61,-38.73,0,0,0
0,0,0,2023236,-54.61,-38.73,0,0,0
0,0,0,2023237,-54.61,-38.73,1,10,3
