ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-55.1,-38.77,1,2023146,-55.1,-38.77,1,17,2
-55.0688,-38.6359,1,2023147,-55.101,-38.4945,0,0,0
-55.1068,-38.5913,1,2023148,-55.1037,-38.2333,0,0,0
-55.1357,-38.5951,0,2023149,-55.1082,-37.9923,0,0,0
-55.1624,-38.5988,1,2023150,-55.1142,-37.7776,0,0,0
-55.195,-38.5379,0,2023151,-55.1216,-37.595,0,0,0
-55.2329,-38.3744,0,2023152,-55.1302,-37.4505,0,0,0
-55.271,-38.1376,0,2023153,-55.14,-37.35,1,17,2
-55.3044,-37.8564,0,2023154,-55.1644,-37.2835,0,0,0
-55.3281,-37.5601,0,2023155,-55.2116,-37.2331,0,0,0
-55.3371,-37.2776,1,2023156,-55.2732,-37.193,0,0,0
-55.3305,-36.9729,1,2023157,-55.3411,-37.1574,0,0,0
-55.3304,-36.8976,1,2023158,-55.407,-37.1206,0,0,0
-55.5444,-36.9077,1,2023159,-55.4628,-37.0767,0,0,0
-55.5942,-36.6902,1,2023160,-55.5,-37.02,1,17,2
-55.5942,-36.6902,1,2023161,0,0,0,0,0
-55.7522,-36.0098,0,2023162,0,0,0,0,0
-55.953,-35.202,1,2023163,0,0,0,0,0
-56.0132,-35.0351,1,2023164,0,0,0,0,0
-56.02,-35.1,1,2023165,0,0,0,0,0
-55.9705,-34.8728,1,2023166,0,0,0,0,0
-55.9008,-34.7466,0,2023167,0,0,0,0,0
-55.8574,-34.6891,1,2023168,0,0,0,0,0
-55.8574,-34.6891,1,2023169,0,0,0,0,0
-55.8574,-34.6891,1,2023170,0,0,0,0,0
-55.8556,-34.6792,0,2023171,0,0,0,0,0
-55.8538,-34.6507,1,2023172,0,0,0,0,0
-55.8657,-34.4989,1,2023173,0,0,0,0,0
-55.8657,-34.4989,1,2023174,0,0,0,0,0
-55.8124,-34.458,1,2023175,0,0,0,0,0
-55.8124,-34.458,1,2023176,0,0,0,0,0
-55.7139,-34.3855,1,2023177,0,0,0,0,0
-55.762,-34.2196,0,2023178,0,0,0,0,0
-55.81,-34.1,1,2023179,0,0,0,0,0
-55.81,-34.1,1,2023180,0,0,0,0,0
-55.81,-34.1,0,2023181,-55.81,-34.1,1,17,2
-55.81,-34.1,0,2023182,-55.81,-34.1,0,0,0
-55.81,-34.1,0,2023183,-55.81,-34.1,0,0,0
-55.81,-34.1,0,2023184,-55.81,-34.1,0,0,0
-55.81,-34.1,0,2023185,-55.81,-34.1,0,0,0
-55.81,-34.1,0,2023186,-55.81,-34.1,0,0,0
