ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-72.19,-59.34,1,2023055,-72.19,-59.34,1,7,5
-72.19,-59.34,1,2023056,0,0,0,0,0
-72.19,-59.34,1,2023057,0,0,0,0,0
-72.2385,-59.2605,1,2023058,0,0,0,0,0
-72.2385,-59.2605,1,2023059,0,0,0,0,0
-72.2292,-59.2152,0,2023060,0,0,0,0,0
-72.22,-59.17,1,2023061,0,0,0,0,0
-72.22,-59.17,1,2023062,0,0,0,0,0
-72.2169,-59.2451,1,2023063,0,0,0,0,0
-72.2169,-59.2451,1,2023064,0,0,0,0,0
-72.2169,-59.2451,1,2023065,0,0,0,0,0
-72.2169,-59.2451,1,2023066,0,0,0,0,0
-72.2169,-59.2451,1,2023067,0,0,0,0,0
-72.2169,-59.2451,1,2023068,0,0,0,0,0
-72.1714,-59.3161,1,2023069,0,0,0,0,0
-72.084,-59.4087,0,2023070,0,0,0,0,0
-72.0241,-59.4651,1,2023071,0,0,0,0,0
-72.0241,-59.4651,1,2023072,0,0,0,0,0
-71.9433,-59.5349,1,2023073,0,0,0,0,0
-71.9433,-59.5349,1,2023074,0,0,0,0,0
-71.9433,-59.5349,1,2023075,0,0,0,0,0
-71.9433,-59.5349,1,2023076,0,0,0,0,0
-71.9433,-59.5349,1,2023077,0,0,0,0,0
-71.9433,-59.5349,0,2023078,0,0,0,0,0
-71.9433,-59.5349,1,2023079,0,0,0,0,0
-71.9433,-59.5349,1,2023080,0,0,0,0,0
-71.9433,-59.5349,1,2023081,0,0,0,0,0
-71.902,-59.5632,1,2023082,0,0,0,0,0
-71.862,-59.5416,0,2023083,0,0,0,0,0
-71.84,-59.52,1,2023084,0,0,0,0,0
-71.84,-59.52,1,2023085,0,0,0,0,0
-71.84,-59.52,1,2023086,0,0,0,0,0
-71.7369,-59.7256,1,2023087,0,0,0,0,0
-71.62,-59.65,1,2023088,0,0,0,0,0
-71.62,-59.65,0,2023089,0,0,0,0,0
-71.62,-59.65,1,2023090,-71.62,-59.65,1,7,5
-71.62,-59.65,1,2023091,-71.6135,-59.6472,0,0,0
-71.62,-59.65,1,2023092,-71.6086,-59.6401,0,0,0
-71.62,-59.65,0,2023093,-71.6045,-59.6303,0,0,0
-71.62,-59.65,1,2023094,-71.6004,-59.6197,0,0,0
-71.62,-59.65,0,2023095,-71.5956,-59.6099,0,0,0
-71.62,-59.65,1,2023096,-71.589,-59.6028,0,0,0
-71.5969,-59.6304,0,2023097,-71.58,-59.6,1,7,5
-71.5429,-59.606,1,2023098,-71.5502,-59.6083,0,0,0
-71.384,-59.5973,0,2023099,-71.4893,-59.6297,0,0,0
-71.2268,-59.5935,1,2023100,-71.4086,-59.659,0,0,0
-71.1785,-59.6305,0,2023101,-71.3191,-59.691,0,0,0
-71.1456,-59.7134,0,2023102,-71.232,-59.7203,0,0,0
-71.1205,-59.7995,0,2023103,-71.1586,-59.7417,0,0,0
-71.0953,-59.8465,1,2023104,-71.11,-59.75,1,7,5
-71.07,-59.8552,1,2023105,-71.0817,-59.7476,0,0,0
-71.0395,-59.8366,1,2023106,-71.0601,-59.7413,0,0,0
-71.0081,-59.8115,0,2023107,-71.0425,-59.7321,0,0,0
-70.9767,-59.7809,0,2023108,-71.0263,-59.7212,0,0,0
-70.9437,-59.7511,0,2023109,-71.0089,-59.7098,0,0,0
-70.9075,-59.7285,0,2023110,-70.9877,-59.699,0,0,0
-70.8667,-59.7196,1,2023111,-70.96,-59.69,1,7,5
-70.8141,-59.7769,1,2023112,-70.9179,-59.6815,0,0,0
-70.8141,-59.7769,1,2023113,-70.8593,-59.6721,0,0,0
-70.745,-59.7587,1,2023114,-70.7902,-59.6627,0,0,0
-70.6905,-59.7459,0,2023115,-70.7166,-59.654,0,0,0
-70.6429,-59.7364,0,2023116,-70.6447,-59.6467,0,0,0
-70.5985,-59.727,0,2023117,-70.5805,-59.6418,0,0,0
-70.5533,-59.7149,0,2023118,-70.53,-59.64,1,7,5
-70.5037,-59.6969,1,2023119,-70.4935,-59.6444,0,0,0
-70.447,-59.654,1,2023120,-70.4649,-59.6559,0,0,0
-70.4306,-59.7572,1,2023121,-70.4403,-59.6715,0,0,0
-70.4218,-59.7017,1,2023122,-70.4162,-59.6885,0,0,0
-70.3687,-59.7091,0,2023123,-70.3889,-59.7041,0,0,0
-70.2517,-59.7277,0,2023124,-70.3547,-59.7156,0,0,0
-70.0929,-59.7518,0,2023125,-70.31,-59.72,1,7,5
-69.9148,-59.776,0,2023126,-70.2206,-59.7198,0,0,0
-69.7395,-59.7946,0,2023127,-70.072,-59.7192,0,0,0
-69.5893,-59.802,1,2023128,-69.8899,-59.7181,0,0,0
-69.4321,-59.756,0,2023129,-69.7,-59.7167,0,0,0
-69.34,-59.71,1,2023130,-69.5279,-59.7148,0,0,0
-69.34,-59.71,1,2023131,-69.3993,-59.7126,0,0,0
-69.34,-59.71,1,2023132,-69.34,-59.71,1,7,5
-69.2893,-59.6779,1,2023133,-69.3248,-59.6892,0,0,0
-69.296,-59.6345,0,2023134,-69.3116,-59.64,0,0,0
-69.3026,-59.5925,1,2023135,-69.3006,-59.5735,0,0,0
-69.3021,-59.5599,0,2023136,-69.2918,-59.501,0,0,0
-69.3008,-59.5293,0,2023137,-69.2853,-59.4338,0,0,0
-69.2991,-59.5013,0,2023138,-69.2813,-59.383,0,0,0
-69.2974,-59.4766,0,2023139,-69.28,-59.36,1,7,5
-69.2961,-59.4559,0,2023140,-69.2844,-59.3549,0,0,0
-69.2956,-59.4399,1,2023141,-69.2959,-59.3505,0,0,0
-69.3408,-59.4265,0,2023142,-69.3115,-59.3468,0,0,0
-69.386,-59.4198,1,2023143,-69.3285,-59.3439,0,0,0
-69.386,-59.4198,1,2023144,-69.3441,-59.3418,0,0,0
-69.386,-59.4198,0,2023145,-69.3556,-59.3404,0,0,0
-69.386,-59.4198,1,2023146,-69.36,-59.34,1,7,5
-69.386,-59.4198,1,2023147,-69.347,-59.3455,0,0,0
-69.1886,-59.5474,1,2023148,-69.3121,-59.3598,0,0,0
-69.1449,-59.5441,0,2023149,-69.2613,-59.3794,0,0,0
-69.117,-59.5348,0,2023150,-69.2007,-59.4006,0,0,0
-69.0992,-59.5207,0,2023151,-69.1362,-59.4202,0,0,0
-69.0861,-59.5031,0,2023152,-69.074,-59.4345,0,0,0
-69.0723,-59.483,0,2023153,-69.02,-59.44,1,7,5
-69.0521,-59.4616,0,2023154,-68.9727,-59.4397,0,0,0
-69.02,-59.44,1,2023155,-68.926,-59.439,0,0,0
-68.9521,-59.4071,0,2023156,-68.8798,-59.4378,0,0,0
-68.8578,-59.3683,0,2023157,-68.8334,-59.4362,0,0,0
-68.7814,-59.3496,1,2023158,-68.7866,-59.4343,0,0,0
-68.7353,-59.3861,0,2023159,-68.7389,-59.4322,0,0,0
-68.6982,-59.4595,0,2023160,-68.69,-59.43,1,6,5
-68.6634,-59.5156,1,2023161,0,0,0,0,0
-68.6365,-59.5358,0,2023162,0,0,0,0,0
-68.5974,-59.5573,1,2023163,0,0,0,0,0
-68.4212,-59.6136,1,2023164,0,0,0,0,0
-68.2,-59.32,1,2023165,0,0,0,0,0
-68.2,-59.32,1,2023166,0,0,0,0,0
-68.2,-59.32,0,2023167,0,0,0,0,0
-68.2,-59.32,1,2023168,0,0,0,0,0
-68.2,-59.32,1,2023169,0,0,0,0,0
-68.1576,-59.3541,1,2023170,0,0,0,0,0
-68.1175,-59.3421,0,2023171,0,0,0,0,0
-68.08,-59.33,1,2023172,0,0,0,0,0
-68.0466,-59.3468,1,2023173,0,0,0,0,0
-67.9931,-59.3998,1,2023174,0,0,0,0,0
-67.9046,-59.3819,1,2023175,0,0,0,0,0
-67.8245,-59.2636,1,2023176,0,0,0,0,0
-67.7196,-59.2162,1,2023177,0,0,0,0,0
-67.6168,-59.1398,0,2023178,0,0,0,0,0
-67.56,-59.09,1,2023179,0,0,0,0,0
-67.56,-59.09,1,2023180,0,0,0,0,0
0,0,0,2023181,-67.56,-59.09,1,6,5
0,0,0,2023182,-67.5535,-59.0928,0,0,0
0,0,0,2023183,-67.5478,-59.0999,0,0,0
0,0,0,2023184,-67.543,-59.1097,0,0,0
0,0,0,2023185,-67.5388,-59.1203,0,0,0
0,0,0,2023186,-67.5353,-59.1301,0,0,0
0,0,0,2023187,-67.5324,-59.1372,0,0,0
0,0,0,2023188,-67.53,-59.14,1,6,5
0,0,0,2023189,-67.5279,-59.1311,0,0,0
0,0,0,2023190,-67.5258,-59.1083,0,0,0
0,0,0,2023191,-67.524,-59.077,0,0,0
0,0,0,2023192,-67.5224,-59.043,0,0,0
0,0,0,2023193,-67.5211,-59.0117,0,0,0
0,0,0,2023194,-67.5203,-58.9889,0,0,0
0,0,0,2023195,-67.52,-58.98,1,6,5
0,0,0,2023196,-67.52,-58.98,0,0,0
-67.5632,-58.9838,1,2023197,-67.52,-58.98,0,0,0
-67.5962,-59.0528,1,2023198,-67.52,-58.98,0,0,0
-67.5962,-59.0528,1,2023199,-67.52,-58.98,0,0,0
-67.5251,-59.1299,1,2023200,-67.52,-58.98,0,0,0
-67.4315,-59.1216,0,2023201,-67.52,-58.98,0,0,0
-67.3351,-59.106,0,2023202,-67.52,-58.98,1,6,5
-67.2907,-59.0977,1,2023203,-67.6031,-59.0055,0,0,0
-67.2907,-59.0977,1,2023204,-67.8174,-59.0712,0,0,0
-67.2813,-59.0353,0,2023205,-68.1104,-59.161,0,0,0
-67.264,-58.9195,0,2023206,-68.4296,-59.259,0,0,0
-67.2546,-58.8571,1,2023207,-68.7226,-59.3488,0,0,0
-67.2546,-58.8571,0,2023208,-68.9369,-59.4145,0,0,0
-67.2546,-58.8571,1,2023209,-69.02,-59.44,1,7,5
-67.1631,-58.8822,0,2023210,0,0,0,0,0
-66.993,-58.9288,0,2023211,0,0,0,0,0
-66.9015,-58.9539,1,2023212,0,0,0,0,0
-66.9015,-58.9539,1,2023213,0,0,0,0,0
-66.8904,-58.9284,0,2023214,0,0,0,0,0
-66.8618,-58.8625,0,2023215,0,0,0,0,0
-66.8227,-58.7725,0,2023216,-66.76,-58.84,1,6,5
-66.7801,-58.6744,0,2023217,-66.7606,-58.8232,0,0,0
-66.741,-58.5844,0,2023218,-66.762,-58.8119,0,0,0
-66.7124,-58.5185,0,2023219,-66.7639,-58.8037,0,0,0
-66.7013,-58.493,1,2023220,-66.7661,-58.7966,0,0,0
-66.7013,-58.493,1,2023221,-66.768,-58.7884,0,0,0
-66.7013,-58.493,1,2023222,-66.7694,-58.7769,0,0,0
-66.6887,-58.3845,1,2023223,-66.77,-58.76,1,6,5
-66.6458,-58.2884,0,2023224,-66.7622,-58.709,0,0,0
-66.6118,-58.2372,1,2023225,-66.7422,-58.6104,0,0,0
-66.6118,-58.2372,0,2023226,-66.7149,-58.4842,0,0,0
-66.6118,-58.2372,0,2023227,-66.6851,-58.3509,0,0,0
-66.6118,-58.2372,1,2023228,-66.6578,-58.2306,0,0,0
0,0,0,2023229,-66.6378,-58.1435,0,0,0
0,0,0,2023230,-66.63,-58.11,1,6,5
0,0,0,2023231,-66.63,-58.11,0,0,0
0,0,0,2023232,-66.63,-58.11,0,0,0
0,0,0,2023233,-66.63,-58.11,0,0,0
0,0,0,2023234,-66.63,-58.11,0,0,0
0,0,0,2023235,-66.63,-58.11,0,0,0
0,0,0,2023236,-66.63,-58.11,0,0,0
0,0,0,2023237,-66.63,-58.11,1,6,5
