date,nic_1,nic_2,nic_3,size_1,size_2
1984057,-76.3,-151.5,1,20,20
1987102,-72.1,-110,1,20,20
1987123,-72.1,-111,1,20,20
1987172,-71.9,-112.3,1,20,20
1987186,-72.3,-112.5,1,20,20
1987187,-72.3,-112.5401,0,0,0
1987188,-72.3,-112.6043,0,0,0
1987189,-72.3,-112.6814,0,0,0
1987190,-72.3,-112.7606,0,0,0
1987191,-72.3,-112.8307,0,0,0
1987192,-72.3,-112.8808,0,0,0
1987193,-72.3,-112.9,1,20,20
1987228,-72.6,-112,1,20,20
1988122,-72.3,-114.9,1,20,20
1988136,-72.4,-115.2,1,20,20
1988150,-72.3,-118.1,1,20,15
1988206,-72.4,-125.8,1,20,15
1988220,-72.4,-126.4,1,20,15
1988276,-72.8,-128.9,1,20,15
1988304,-72.5,-131,1,20,15
1988332,-74.2,-136.6,1,20,15
1988353,-74.3,-138.1,1,20,15
1988354,-74.3354,-138.3621,0,0,0
1988355,-74.4098,-138.8158,0,0,0
1988356,-74.507,-139.3767,0,0,0
1988357,-74.6109,-139.9601,0,0,0
1988358,-74.7051,-140.4814,0,0,0
1988360,-74.8,-141,1,20,15
1989015,-74.2,-141,1,20,15
1989043,-74.8,-146.2,1,20,15
1989064,-75.9,-150,1,20,15
1989065,-75.8685,-150,0,0,0
1989066,-75.787,-150,0,0,0
1989067,-75.6745,-150,0,0,0
1989068,-75.5504,-150,0,0,0
1989069,-75.4338,-150,0,0,0
1989070,-75.3439,-150,0,0,0
1989071,-75.3,-150,1,20,15
1989085,-75.2,-153,1,20,15
1989127,-76.8,-158.1,1,20,15
1989141,-76.3,-157.1,1,20,15
1989162,-76.1,-157.5,1,20,15
1989163,-76.1111,-157.5829,0,0,0
1989164,-76.1397,-157.7371,0,0,0
1989165,-76.1787,-157.9402,0,0,0
1989166,-76.2213,-158.1702,0,0,0
1989167,-76.2603,-158.4049,0,0,0
1989168,-76.2889,-158.6223,0,0,0
1989169,-76.3,-158.8,1,20,15
1989190,-76,-161.3,1,20,15
1989191,-75.9718,-161.2834,0,0,0
1989192,-75.9353,-161.2405,0,0,0
1989193,-75.8926,-161.1819,0,0,0
1989194,-75.8457,-161.1181,0,0,0
1989195,-75.7966,-161.0595,0,0,0
1989196,-75.7474,-161.0166,0,0,0
1989197,-75.7,-161,1,20,15
1989211,-75,-162.05,1,20,15
1989225,-74.2,-162.1,1,20,15
1989226,-74.1619,-162.1162,0,0,0
1989227,-74.1229,-162.1467,0,0,0
1989228,-74.0853,-162.1855,0,0,0
1989229,-74.0517,-162.2264,0,0,0
1989230,-74.0247,-162.2632,0,0,0
1989231,-74.0066,-162.2898,0,0,0
1989232,-74,-162.3,1,20,15
1989233,-74,-162.2424,0,0,0
1989234,-74,-162.0901,0,0,0
1989235,-74,-161.8745,0,0,0
1989236,-74,-161.6266,0,0,0
1989237,-74,-161.3774,0,0,0
1989238,-74,-161.1582,0,0,0
1989239,-74,-161,1,20,15
1989240,-74,-160.8836,0,0,0
1989241,-74,-160.7714,0,0,0
1989242,-74,-160.6669,0,0,0
1989243,-74,-160.574,0,0,0
1989244,-74,-160.4961,0,0,0
1989245,-74,-160.4369,0,0,0
1989246,-74,-160.4,1,20,15
1989247,-73.9791,-160.3765,0,0,0
1989248,-73.9234,-160.3552,0,0,0
1989249,-73.8437,-160.3367,0,0,0
1989250,-73.7508,-160.3214,0,0,0
1989251,-73.6554,-160.3098,0,0,0
1989252,-73.5682,-160.3025,0,0,0
1989253,-73.5,-160.3,1,20,15
1989267,-72.9,-161.7,1,20,15
1989281,-72.9,-161.7,1,20,15
1989316,-71.3,-159.5,1,20,15
1989337,-70.8,-160,1,20,15
1990028,-70.4,-160.8,1,20,15
1990070,-70.4,-157.2,1,20,15
1990084,-70.2,-157,1,20,15
1990085,-70.1852,-157,0,0,0
1990086,-70.1696,-157,0,0,0
1990087,-70.1539,-157,0,0,0
1990088,-70.1386,-157,0,0,0
1990089,-70.1241,-157,0,0,0
1990090,-70.1111,-157,0,0,0
1990091,-70.1,-157,1,20,15
1990105,-70,-157.4,1,20,15
1990140,-69.8,-157.5,1,20,15
1990203,-66.8,-157.8,1,20,15
1990343,-64.9,-154.2,1,20,15
1990357,-64.7,-151.1,1,20,15
1991013,-64.5,-154,1,20,15
1991069,-64.2,-152.3,1,20,15
1991174,-63.4,-146.3,1,20,15
