ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2011226,-66.26,143.56,1,0,0,0,21,8
0,0,0,2011227,-66.2573,143.5664,0,0,0,0,0,0
0,0,0,2011228,-66.2551,143.5725,0,0,0,0,0,0
0,0,0,2011229,-66.2533,143.5781,0,0,0,0,0,0
0,0,0,2011230,-66.2518,143.5829,0,0,0,0,0,0
0,0,0,2011231,-66.2508,143.5867,0,0,0,0,0,0
0,0,0,2011232,-66.2502,143.5891,0,0,0,0,0,0
0,0,0,2011233,-66.25,143.59,1,0,0,0,21,8
0,0,0,2011234,-66.2506,143.59,0,0,0,0,0,0
0,0,0,2011235,-66.252,143.59,0,0,0,0,0,0
0,0,0,2011236,-66.2539,143.59,0,0,0,0,0,0
0,0,0,2011237,-66.2561,143.59,0,0,0,0,0,0
0,0,0,2011238,-66.258,143.59,0,0,0,0,0,0
0,0,0,2011239,-66.2594,143.59,0,0,0,0,0,0
0,0,0,2011240,-66.26,143.59,1,0,0,0,21,8
0,0,0,2011241,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011242,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011243,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011244,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011245,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011246,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011247,-66.26,143.59,1,0,0,0,21,8
0,0,0,2011248,-66.2594,143.5888,0,0,0,0,0,0
0,0,0,2011249,-66.258,143.5855,0,0,0,0,0,0
0,0,0,2011250,-66.2561,143.5807,0,0,0,0,0,0
0,0,0,2011251,-66.2539,143.5752,0,0,0,0,0,0
0,0,0,2011252,-66.252,143.5694,0,0,0,0,0,0
0,0,0,2011253,-66.2506,143.5642,0,0,0,0,0,0
0,0,0,2011254,-66.25,143.56,1,0,0,0,21,7
0,0,0,2011255,-66.25,143.5564,0,0,0,0,0,0
0,0,0,2011256,-66.25,143.5525,0,0,0,0,0,0
0,0,0,2011257,-66.25,143.5488,0,0,0,0,0,0
0,0,0,2011258,-66.25,143.5454,0,0,0,0,0,0
0,0,0,2011259,-66.25,143.5426,0,0,0,0,0,0
0,0,0,2011260,-66.25,143.5407,0,0,0,0,0,0
0,0,0,2011261,-66.25,143.54,1,0,0,0,21,7
0,0,0,2011262,-66.2494,143.5403,0,0,0,0,0,0
0,0,0,2011263,-66.248,143.541,0,0,0,0,0,0
0,0,0,2011264,-66.2461,143.5423,0,0,0,0,0,0
0,0,0,2011265,-66.2439,143.5438,0,0,0,0,0,0
0,0,0,2011266,-66.242,143.5457,0,0,0,0,0,0
0,0,0,2011267,-66.2406,143.5478,0,0,0,0,0,0
0,0,0,2011268,-66.24,143.55,1,0,0,0,21,7
0,0,0,2011269,-66.2411,143.5539,0,0,0,0,0,0
0,0,0,2011270,-66.244,143.5603,0,0,0,0,0,0
0,0,0,2011271,-66.2479,143.568,0,0,0,0,0,0
0,0,0,2011272,-66.2521,143.5759,0,0,0,0,0,0
0,0,0,2011273,-66.256,143.583,0,0,0,0,0,0
0,0,0,2011274,-66.2589,143.5881,0,0,0,0,0,0
0,0,0,2011275,-66.26,143.59,1,0,0,0,21,7
0,0,0,2011276,-66.26,143.59,0,0,0,0,0,0
0,0,0,2011277,-66.26,143.59,0,0,0,0,0,0
