ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2019109,-57.1667,-42.1833,1,12,1
-57.2005,-41.9432,1,2019110,-57.0256,-42.1071,0,0,0
-57.0023,-42.076,1,2019111,-56.8913,-42.0349,0,0,0
-56.8843,-42.1345,1,2019112,-56.7651,-41.9697,0,0,0
-56.7284,-42.1205,0,2019113,-56.6483,-41.9142,0,0,0
-56.5555,-42.0929,1,2019114,-56.5421,-41.8711,0,0,0
-56.3669,-42.0543,0,2019115,-56.4478,-41.8432,0,0,0
-56.2077,-42.0157,1,2019116,-56.3667,-41.8333,1,12,1
-56.0994,-41.9881,0,2019117,-56.2911,-41.8352,0,0,0
-56.0462,-41.9741,1,2019118,-56.2151,-41.8399,0,0,0
-56.0462,-41.9741,1,2019119,-56.1433,-41.8464,0,0,0
-56.0462,-41.9741,1,2019120,-56.0798,-41.8536,0,0,0
-56.0233,-41.9598,0,2019121,-56.0291,-41.8601,0,0,0
-56.0003,-41.9455,1,2019122,-55.9955,-41.8648,0,0,0
-56.0003,-41.9455,1,2019123,-55.9833,-41.8667,1,10,1
-56.0003,-41.9455,0,2019124,-55.9833,-41.8291,0,0,0
-56.0003,-41.9455,1,2019125,-55.9833,-41.7237,0,0,0
-56.0003,-41.9455,0,2019126,-55.9833,-41.5615,0,0,0
-56.0003,-41.9455,1,2019127,-55.9833,-41.3536,0,0,0
-56.0003,-41.9455,1,2019128,-55.9833,-41.1111,0,0,0
-56.0003,-41.9455,0,2019129,-55.9833,-40.8451,0,0,0
-56.0003,-41.9455,1,2019130,-55.9833,-40.5667,1,5,1
-56.0003,-41.9455,0,2019131,0,0,0,0,0
-56.0003,-41.9455,1,2019132,0,0,0,0,0
-56.0003,-41.9455,1,2019133,0,0,0,0,0
-56.0003,-41.9455,1,2019134,0,0,0,0,0
