date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,size_1,size_2
1995239,0,0,0,-72.4,-125.5,1,0,0,0,12,8
1995240,0,0,0,-72.4358,-125.5593,0,0,0,0,0,0
1995241,0,0,0,-72.4711,-125.6181,0,0,0,0,0,0
1995242,0,0,0,-72.5047,-125.6763,0,0,0,0,0,0
1995243,0,0,0,-72.5355,-125.7337,0,0,0,0,0,0
1995244,0,0,0,-72.5624,-125.7902,0,0,0,0,0,0
1995245,0,0,0,-72.5843,-125.8457,0,0,0,0,0,0
1995246,0,0,0,-72.6,-125.9,1,0,0,0,12,8
1995260,0,0,0,-72.7,-126.6,1,0,0,0,12,8
1995265,-72.734,-127.7757,1,0,0,0,0,0,0,0,0
1995266,-72.762,-127.8872,1,0,0,0,0,0,0,0,0
1995267,-72.79,-127.9987,1,0,0,0,0,0,0,0,0
1995268,-72.804,-128.0544,1,0,0,0,0,0,0,0,0
1995269,-72.804,-128.0544,1,0,0,0,0,0,0,0,0
1995270,-72.804,-128.0544,1,0,0,0,0,0,0,0,0
1995271,-72.7972,-128.1015,1,0,0,0,0,0,0,0,0
1995272,-72.7835,-128.1958,1,0,0,0,0,0,0,0,0
1995273,-72.7699,-128.2901,1,0,0,0,0,0,0,0,0
1995274,-72.7631,-128.3372,1,-72.1,-127.1,1,0,0,0,12,8
1995275,-72.7631,-128.3372,1,0,0,0,0,0,0,0,0
1995276,-72.7631,-128.3372,1,0,0,0,0,0,0,0,0
1995277,-72.7579,-128.3592,1,0,0,0,0,0,0,0,0
1995278,-72.7475,-128.4032,1,0,0,0,0,0,0,0,0
1995279,-72.7372,-128.4472,1,0,0,0,0,0,0,0,0
1995280,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995281,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995282,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995283,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995284,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995285,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995286,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995287,-72.732,-128.4692,1,0,0,0,0,0,0,0,0
1995288,-72.732,-128.4692,1,-73.1,-128.2,1,0,0,0,12,8
1995289,-72.7632,-128.5018,1,-73.0834,-128.1668,0,0,0,0,0,0
1995290,-72.8255,-128.5669,1,-73.0405,-128.081,0,0,0,0,0,0
1995291,-72.8879,-128.632,1,-72.9819,-127.9638,0,0,0,0,0,0
1995292,-72.9191,-128.6646,1,-72.9181,-127.8362,0,0,0,0,0,0
1995293,-72.9191,-128.6646,1,-72.8595,-127.719,0,0,0,0,0,0
1995294,-72.9191,-128.6646,1,-72.8166,-127.6332,0,0,0,0,0,0
1995295,-72.9474,-128.8183,1,-72.8,-127.6,1,0,0,0,12,8
1995296,-73.0041,-129.1257,1,-72.8138,-127.6734,0,0,0,0,0,0
1995297,-73.0608,-129.433,1,-72.8499,-127.8679,0,0,0,0,0,0
1995298,-73.0891,-129.5867,1,-72.9009,-128.1446,0,0,0,0,0,0
1995299,-73.0891,-129.5867,1,-72.959,-128.4649,0,0,0,0,0,0
1995300,-73.0891,-129.5867,1,-73.0167,-128.7901,0,0,0,0,0,0
1995301,-73.0891,-129.5867,1,-73.0662,-129.0813,0,0,0,0,0,0
1995302,-73.0891,-129.5867,1,-73.1,-129.3,1,0,0,0,12,8
1995303,-73.0891,-129.5867,1,0,0,0,0,0,0,0,0
1995304,-73.0891,-129.5867,1,0,0,0,0,0,0,0,0
1995305,-73.0891,-129.5867,1,0,0,0,0,0,0,0,0
1995306,-73.0891,-129.5867,1,0,0,0,0,0,0,0,0
1995307,-73.127,-129.6191,1,0,0,0,0,0,0,0,0
1995308,-73.2028,-129.684,1,0,0,0,0,0,0,0,0
1995309,-73.2787,-129.7489,1,0,0,0,0,0,0,0,0
1995310,-73.3275,-129.8444,1,0,0,0,0,0,0,0,0
1995311,-73.3493,-129.9706,1,0,0,0,0,0,0,0,0
1995312,-73.3711,-130.0968,1,0,0,0,0,0,0,0,0
1995313,-73.3871,-130.2835,1,0,0,0,0,0,0,0,0
1995314,-73.3973,-130.5308,1,0,0,0,0,0,0,0,0
1995315,-73.4075,-130.7781,1,0,0,0,0,0,0,0,0
1995316,-73.4029,-131.0287,1,0,0,0,0,0,0,0,0
1995317,-73.3835,-131.2827,1,0,0,0,0,0,0,0,0
1995318,-73.3641,-131.5367,1,0,0,0,0,0,0,0,0
1995319,-73.3612,-131.7074,1,0,0,0,0,0,0,0,0
1995320,-73.3749,-131.7946,1,0,0,0,0,0,0,0,0
1995321,-73.3886,-131.8819,1,0,0,0,0,0,0,0,0
1995322,-73.3767,-131.9621,1,0,0,0,0,0,0,0,0
1995323,-73.3394,-132.0351,1,-73.4,-131.8,1,0,0,0,12,8
1995324,-73.3021,-132.1081,1,-73.3834,-131.8,0,0,0,0,0,0
1995325,-73.2623,-132.1562,1,-73.3405,-131.8,0,0,0,0,0,0
