date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1997054,0,0,0,-76.9,-157.3,1,16,5
1997089,0,0,0,-76.8,-157.3,1,16,5
1997148,-72.712,-165.2263,1,0,0,0,0,0
1997149,-72.636,-165.0589,1,0,0,0,0,0
1997150,-72.5601,-164.8915,1,0,0,0,0,0
1997151,-72.5221,-164.8078,1,0,0,0,0,0
1997152,-72.5221,-164.8078,1,0,0,0,0,0
1997153,-72.5221,-164.8078,1,0,0,0,0,0
1997154,-72.4698,-164.9577,1,0,0,0,0,0
1997155,-72.3651,-165.2576,1,0,0,0,0,0
1997156,-72.2605,-165.5575,1,0,0,0,0,0
1997157,-72.1779,-165.6698,1,0,0,0,0,0
1997158,-72.1174,-165.5945,1,0,0,0,0,0
1997159,-72.0568,-165.5193,1,0,0,0,0,0
1997160,-71.9957,-165.3793,1,0,0,0,0,0
1997161,-71.934,-165.1744,1,0,0,0,0,0
1997162,-71.8723,-164.9695,1,0,0,0,0,0
1997163,-71.8415,-164.8671,1,0,0,0,0,0
1997164,-71.8415,-164.8671,1,0,0,0,0,0
1997165,-71.8415,-164.8671,1,0,0,0,0,0
1997166,-71.8712,-164.8251,1,0,0,0,0,0
1997167,-71.9306,-164.7412,1,0,0,0,0,0
1997168,-71.99,-164.6572,1,0,0,0,0,0
1997169,-72.0197,-164.6152,1,0,0,0,0,0
1997170,-72.0197,-164.6152,1,0,0,0,0,0
1997171,-72.0197,-164.6152,1,0,0,0,0,0
1997172,-72.0108,-164.7413,1,0,0,0,0,0
1997173,-71.9929,-164.9935,1,0,0,0,0,0
1997174,-71.975,-165.2457,1,0,0,0,0,0
1997175,-71.9531,-165.4601,1,0,0,0,0,0
1997176,-71.9271,-165.6367,1,0,0,0,0,0
1997177,-71.9011,-165.8132,1,0,0,0,0,0
1997178,-71.875,-165.9898,1,0,0,0,0,0
1997179,-71.849,-166.1663,1,0,0,0,0,0
1997180,-71.823,-166.3429,1,0,0,0,0,0
1997181,-71.7913,-166.4552,1,0,0,0,0,0
1997182,-71.7541,-166.5032,1,0,0,0,0,0
1997183,-71.7167,-166.5513,1,0,0,0,0,0
1997184,-71.6611,-166.5867,1,0,0,0,0,0
1997185,-71.5872,-166.6096,1,0,0,0,0,0
1997186,-71.5133,-166.6325,1,0,0,0,0,0
1997187,-71.4558,-166.6429,1,0,0,0,0,0
1997188,-71.4147,-166.641,1,0,0,0,0,0
1997189,-71.3737,-166.639,1,0,0,0,0,0
1997190,-71.358,-166.5427,1,0,0,0,0,0
1997191,-71.3676,-166.3521,1,0,0,0,0,0
1997192,-71.3773,-166.1614,1,0,0,0,0,0
1997193,-71.3798,-165.9329,1,0,0,0,0,0
1997194,-71.3752,-165.6664,1,0,0,0,0,0
1997195,-71.3706,-165.3999,1,0,0,0,0,0
1997196,-71.3476,-165.2684,1,0,0,0,0,0
1997197,-71.3062,-165.2717,1,0,0,0,0,0
1997198,-71.2647,-165.2751,1,0,0,0,0,0
1997199,-71.244,-165.2768,1,0,0,0,0,0
1997200,-71.244,-165.2768,1,0,0,0,0,0
1997201,-71.244,-165.2768,1,0,0,0,0,0
1997202,-71.2405,-165.2149,1,0,0,0,0,0
1997203,-71.2336,-165.091,1,0,0,0,0,0
1997204,-71.2267,-164.9671,1,0,0,0,0,0
1997205,-71.2321,-164.8278,1,0,0,0,0,0
1997206,-71.2498,-164.6732,1,0,0,0,0,0
1997207,-71.2675,-164.5185,1,0,0,0,0,0
1997208,-71.2764,-164.4412,1,0,0,0,0,0
1997209,-71.2764,-164.4412,1,0,0,0,0,0
1997210,-71.2764,-164.4412,1,0,0,0,0,0
1997211,-71.3035,-164.032,1,0,0,0,0,0
1997212,-71.3578,-163.2136,1,0,0,0,0,0
1997213,-71.4121,-162.3952,1,0,0,0,0,0
1997214,-71.4321,-161.8572,1,0,0,0,0,0
1997215,-71.4179,-161.5995,1,0,0,0,0,0
1997216,-71.4037,-161.3418,1,0,0,0,0,0
1997217,-71.3482,-161.0672,1,0,0,0,0,0
1997218,-71.2515,-160.7757,1,0,0,0,0,0
1997219,-71.1547,-160.4842,1,0,0,0,0,0
1997220,-71.0919,-160.3667,1,0,0,0,0,0
1997221,-71.0633,-160.4234,1,0,0,0,0,0
1997222,-71.0345,-160.4801,1,0,0,0,0,0
1997223,-71.0076,-160.522,1,0,0,0,0,0
1997224,-70.9825,-160.5493,1,0,0,0,0,0
1997225,-70.9574,-160.5765,1,0,0,0,0,0
1997226,-70.9039,-160.6819,1,0,0,0,0,0
1997227,-70.822,-160.8656,1,0,0,0,0,0
1997228,-70.74,-161.0493,1,0,0,0,0,0
1997229,-70.6809,-161.1485,1,0,0,0,0,0
1997230,-70.6444,-161.1634,1,0,0,0,0,0
1997231,-70.6079,-161.1783,1,0,0,0,0,0
1997232,-70.5866,-161.0505,1,0,0,0,0,0
1997233,-70.5803,-160.7801,1,0,0,0,0,0
1997234,-70.574,-160.5098,1,0,0,0,0,0
1997235,-70.5633,-160.2393,1,0,0,0,0,0
1997236,-70.548,-159.9686,1,0,0,0,0,0
1997237,-70.5327,-159.6979,1,0,0,0,0,0
1997238,-70.5296,-159.5339,1,0,0,0,0,0
1997239,-70.5385,-159.4764,1,0,0,0,0,0
1997240,-70.5474,-159.4189,1,0,0,0,0,0
1997241,-70.5564,-159.3614,1,0,0,0,0,0
1997242,-70.5653,-159.3039,1,0,0,0,0,0
1997243,-70.5742,-159.2464,1,0,0,0,0,0
1997244,-70.5787,-159.2176,1,0,0,0,0,0
1997245,-70.5787,-159.2176,1,0,0,0,0,0
1997246,-70.5787,-159.2176,1,0,0,0,0,0
1997247,-70.5572,-159.2051,1,0,0,0,0,0
1997248,-70.5141,-159.1802,1,0,0,0,0,0
1997249,-70.471,-159.1553,1,0,0,0,0,0
1997250,-70.4055,-158.9057,1,0,0,0,0,0
1997251,-70.3175,-158.4314,1,0,0,0,0,0
1997252,-70.2295,-157.9571,1,0,0,0,0,0
1997253,-70.1498,-157.7227,1,0,0,0,0,0
1997254,-70.0784,-157.728,1,0,0,0,0,0
1997255,-70.0069,-157.7333,1,0,0,0,0,0
1997256,-69.9687,-157.8077,1,0,0,0,0,0
1997257,-69.9638,-157.9511,1,0,0,0,0,0
1997258,-69.9589,-158.0946,1,0,0,0,0,0
1997259,-69.9603,-158.2609,1,0,0,0,0,0
1997260,-69.9682,-158.4502,1,0,0,0,0,0
1997261,-69.976,-158.6395,1,0,0,0,0,0
1997262,-69.9817,-158.8152,1,0,0,0,0,0
1997263,-69.9853,-158.9775,1,0,0,0,0,0
1997264,-69.989,-159.1397,1,0,0,0,0,0
1997265,-69.9553,-159.1556,1,0,0,0,0,0
1997266,-69.8843,-159.025,1,0,0,0,0,0
1997267,-69.8133,-158.8946,1,0,0,0,0,0
1997268,-69.759,-158.665,1,0,0,0,0,0
1997269,-69.7213,-158.3363,1,0,0,0,0,0
1997270,-69.6836,-158.0075,1,0,0,0,0,0
1997271,-69.6648,-157.8432,1,0,0,0,0,0
1997272,-69.6648,-157.8432,1,0,0,0,0,0
1997273,-69.6648,-157.8432,1,0,0,0,0,0
1997274,-69.6068,-158.0077,1,0,0,0,0,0
1997275,-69.4907,-158.3366,1,0,0,0,0,0
1997276,-69.3745,-158.6655,1,0,0,0,0,0
1997277,-69.3165,-158.83,1,0,0,0,0,0
1997278,-69.3165,-158.83,1,0,0,0,0,0
1997279,-69.3165,-158.83,1,0,0,0,0,0
1997280,-69.3028,-158.804,1,0,0,0,0,0
1997281,-69.2754,-158.7518,1,0,0,0,0,0
1997282,-69.248,-158.6997,1,0,0,0,0,0
1997283,-69.2343,-158.6737,1,0,0,0,0,0
1997284,-69.2343,-158.6737,1,0,0,0,0,0
1997285,-69.2343,-158.6737,1,0,0,0,0,0
1997286,-69.2343,-158.6737,1,0,0,0,0,0
1997287,-69.2343,-158.6737,1,0,0,0,0,0
1997288,-69.2343,-158.6737,1,0,0,0,0,0
1997289,-69.2343,-158.6737,1,0,0,0,0,0
1997290,-69.2343,-158.6737,1,0,0,0,0,0
1997291,-69.2343,-158.6737,1,0,0,0,0,0
1997292,-69.2343,-158.6737,1,0,0,0,0,0
1997293,-69.2343,-158.6737,1,0,0,0,0,0
1997294,-69.2343,-158.6737,1,0,0,0,0,0
1997295,-69.2544,-158.7026,1,0,0,0,0,0
1997296,-69.2946,-158.7603,1,0,0,0,0,0
1997297,-69.3348,-158.818,1,0,0,0,0,0
1997298,-69.3549,-158.8469,1,0,0,0,0,0
1997299,-69.3549,-158.8469,1,0,0,0,0,0
1997300,-69.3549,-158.8469,1,0,0,0,0,0
1997301,-69.3521,-158.6865,1,0,0,0,0,0
1997302,-69.3466,-158.3656,1,0,0,0,0,0
1997303,-69.341,-158.0447,1,0,0,0,0,0
1997304,-69.3304,-157.8438,1,0,0,0,0,0
1997305,-69.3149,-157.7627,1,0,0,0,0,0
1997306,-69.2993,-157.6816,1,0,0,0,0,0
1997307,-69.3176,-157.523,1,0,0,0,0,0
1997308,-69.3697,-157.287,1,0,0,0,0,0
1997309,-69.4218,-157.0511,1,0,0,0,0,0
1997310,-69.4417,-156.8585,1,0,0,0,0,0
1997311,-69.4294,-156.7092,1,0,0,0,0,0
1997312,-69.4171,-156.5599,1,0,0,0,0,0
1997313,-69.4109,-156.4853,1,0,0,0,0,0
1997314,-69.4109,-156.4853,1,0,0,0,0,0
1997315,-69.4109,-156.4853,1,0,0,0,0,0
1997316,-69.4005,-156.5245,1,0,0,0,0,0
1997317,-69.3797,-156.6029,1,0,0,0,0,0
1997318,-69.3589,-156.6814,1,0,0,0,0,0
1997319,-69.3038,-156.845,1,0,0,0,0,0
1997320,-69.2144,-157.0937,1,0,0,0,0,0
1997321,-69.125,-157.3424,1,0,0,0,0,0
1997322,-69.0803,-157.4668,1,0,0,0,0,0
1997323,-69.0803,-157.4668,1,0,0,0,0,0
1997324,-69.0803,-157.4668,1,0,0,0,0,0
1997325,-69.0623,-157.4769,1,0,0,0,0,0
1997326,-69.0264,-157.497,1,0,0,0,0,0
1997327,-68.9905,-157.5171,1,0,0,0,0,0
1997328,-68.9726,-157.5272,1,0,0,0,0,0
1997329,-68.9726,-157.5272,1,0,0,0,0,0
1997330,-68.9726,-157.5272,1,0,0,0,0,0
1997331,-68.9751,-157.6802,1,0,0,0,0,0
1997332,-68.9801,-157.986,1,0,0,0,0,0
1997333,-68.9851,-158.2919,1,0,0,0,0,0
1997334,-68.9935,-158.5372,1,0,0,0,0,0
1997335,-69.0054,-158.7217,1,0,0,0,0,0
1997336,-69.0173,-158.9063,1,0,0,0,0,0
1997337,-69.0232,-158.9986,1,0,0,0,0,0
1997338,-69.0232,-158.9986,1,0,0,0,0,0
1997339,-69.0232,-158.9986,1,0,0,0,0,0
1997340,-69.0244,-159.0862,1,0,0,0,0,0
