date,nic_1,nic_2,nic_3,size_1,size_2
2001084,-66.4,178.9,1,19,8
2001085,-66.3787,178.8976,0,0,0
2001086,-66.3583,178.8907,0,0,0
2001087,-66.3397,178.8795,0,0,0
2001088,-66.3236,178.8645,0,0,0
2001089,-66.3111,178.8461,0,0,0
2001090,-66.3029,178.8244,0,0,0
2001091,-66.3,178.8,1,19,8
2001092,-66.3,178.7313,0,0,0
2001093,-66.3,178.5953,0,0,0
2001094,-66.3,178.4206,0,0,0
2001095,-66.3,178.2353,0,0,0
2001096,-66.3,178.0679,0,0,0
2001097,-66.3,177.9467,0,0,0
2001098,-66.3,177.9,1,19,8
2001147,-66.3,178.4,1,19,8
