date,nic_1,nic_2,nic_3,size_1,size_2
2001119,-66.6,-179.8,1,19,8
2001120,-66.6135,-179.7345,0,0,0
2001121,-66.6248,-179.6686,0,0,0
2001122,-66.634,-179.6012,0,0,0
2001123,-66.641,-179.5316,0,0,0
2001124,-66.646,-179.4588,0,0,0
2001125,-66.649,-179.3819,0,0,0
2001126,-66.65,-179.3,1,19,8
2001182,-63.3,-172.35,1,19,8
2001183,-63.3055,-172.1825,0,0,0
2001184,-63.3198,-172.0019,0,0,0
2001185,-63.3394,-171.811,0,0,0
2001186,-63.3606,-171.6126,0,0,0
2001187,-63.3802,-171.4095,0,0,0
2001188,-63.3945,-171.2043,0,0,0
2001189,-63.4,-171,1,19,8
2001190,-63.3613,-170.7916,0,0,0
2001191,-63.2601,-170.575,0,0,0
2001192,-63.1187,-170.3539,0,0,0
2001193,-62.9597,-170.1321,0,0,0
2001194,-62.8052,-169.9133,0,0,0
2001195,-62.6779,-169.7014,0,0,0
2001196,-62.6,-169.5,1,19,8
2001197,-62.5588,-169.318,0,0,0
2001198,-62.5254,-169.1547,0,0,0
2001199,-62.4975,-168.9996,0,0,0
2001200,-62.4731,-168.8421,0,0,0
2001201,-62.4501,-168.6716,0,0,0
2001202,-62.4265,-168.4778,0,0,0
2001203,-62.4,-168.25,1,19,8
2001204,-62.3734,-167.964,0,0,0
2001205,-62.3493,-167.6125,0,0,0
2001206,-62.3259,-167.2105,0,0,0
2001207,-62.3013,-166.7733,0,0,0
2001208,-62.2733,-166.3157,0,0,0
2001209,-62.2402,-165.8529,0,0,0
2001210,-62.2,-165.4,1,19,8
2001211,-62.1286,-164.9199,0,0,0
2001212,-62.0159,-164.3863,0,0,0
2001213,-61.881,-163.8301,0,0,0
2001214,-61.7429,-163.2824,0,0,0
2001215,-61.6206,-162.7741,0,0,0
2001216,-61.5333,-162.3363,0,0,0
2001217,-61.5,-162,1,19,8
2001231,-61.5,-159.5,1,19,8
2001232,-61.5111,-159.3969,0,0,0
2001233,-61.5397,-159.3073,0,0,0
2001234,-61.5787,-159.2266,0,0,0
2001235,-61.6213,-159.1502,0,0,0
2001236,-61.6603,-159.0734,0,0,0
2001237,-61.6889,-158.9916,0,0,0
2001238,-61.7,-158.9,1,19,8
2001239,-61.6714,-158.8005,0,0,0
2001240,-61.5952,-158.6974,0,0,0
2001241,-61.4857,-158.5899,0,0,0
2001242,-61.3571,-158.4772,0,0,0
2001243,-61.2238,-158.3586,0,0,0
2001244,-61.1,-158.2331,0,0,0
2001245,-61,-158.1,1,19,8
2001246,-60.9194,-157.9489,0,0,0
2001247,-60.8435,-157.776,0,0,0
2001248,-60.7713,-157.5902,0,0,0
2001249,-60.7019,-157.4007,0,0,0
2001250,-60.6342,-157.2165,0,0,0
2001251,-60.5672,-157.0466,0,0,0
2001252,-60.5,-156.9,1,19,8
2001253,-60.4357,-156.7769,0,0,0
2001254,-60.376,-156.6678,0,0,0
2001255,-60.3184,-156.5675,0,0,0
2001256,-60.2597,-156.4708,0,0,0
2001257,-60.1974,-156.3724,0,0,0
2001258,-60.1284,-156.2672,0,0,0
2001259,-60.05,-156.15,1,19,8
2001260,-59.9489,-156.0118,0,0,0
2001261,-59.8216,-155.8538,0,0,0
2001262,-59.6796,-155.6854,0,0,0
2001263,-59.5348,-155.5162,0,0,0
2001264,-59.3988,-155.3559,0,0,0
2001265,-59.2833,-155.214,0,0,0
2001266,-59.2,-155.1,1,19,8
2001267,-59.1461,-155.0158,0,0,0
2001268,-59.1068,-154.9507,0,0,0
2001269,-59.0756,-154.8959,0,0,0
2001270,-59.0458,-154.8423,0,0,0
2001271,-59.011,-154.7811,0,0,0
2001272,-58.9646,-154.7033,0,0,0
2001273,-58.9,-154.6,1,19,8
2001280,-56.6,-152.1,1,19,8
2001281,-56.4961,-152.1003,0,0,0
2001282,-56.4011,-152.1023,0,0,0
2001283,-56.3175,-152.1079,0,0,0
2001284,-56.2481,-152.1187,0,0,0
2001285,-56.1953,-152.1364,0,0,0
2001286,-56.1618,-152.163,0,0,0
2001287,-56.15,-152.2,1,19,8
