date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000125,0,0,0,-78.0253,-175.9242,1,0,0,0,0,0
2000126,0,0,0,-77.9497,-176.3401,1,0,0,0,0,0
2000127,0,0,0,-77.9847,-175.938,1,0,0,0,0,0
2000128,0,0,0,-77.9902,-176.3276,1,0,0,0,0,0
2000129,0,0,0,-77.9902,-176.3276,1,0,0,0,0,0
2000130,0,0,0,-77.9902,-176.3276,1,0,0,0,0,0
2000131,0,0,0,-77.9902,-176.3276,1,0,0,0,0,0
2000132,0,0,0,-77.9902,-176.3276,1,0,0,0,0,0
2000133,0,0,0,-77.9116,-176.5461,1,0,0,0,0,0
2000134,0,0,0,-77.8734,-176.7508,1,0,0,0,0,0
2000135,0,0,0,-77.8734,-176.7508,1,0,0,0,0,0
2000136,0,0,0,-77.8757,-176.9439,1,0,0,0,0,0
2000137,0,0,0,-77.8734,-176.7508,1,0,0,0,0,0
2000138,0,0,0,-77.8329,-176.7617,1,0,0,0,0,0
2000139,0,0,0,-77.8305,-176.5693,1,0,0,0,0,0
2000140,0,0,0,-77.7923,-176.7726,1,0,0,0,0,0
2000141,0,0,0,-77.8305,-176.5693,1,0,0,0,0,0
2000142,0,0,0,-77.7539,-176.9745,1,0,0,0,0,0
2000143,0,0,0,-77.7174,-177.3659,1,0,0,0,0,0
2000144,0,0,0,-77.7134,-176.9846,1,0,0,0,0,0
2000145,0,0,0,-77.6728,-176.9946,1,0,0,0,0,0
2000146,0,0,0,-77.5585,-177.7771,1,0,0,0,0,0
2000147,0,0,0,-77.5194,-177.9721,1,0,0,0,0,0
2000148,0,0,0,-77.5179,-177.7844,1,0,0,0,0,0
2000149,-77.7,-176.4,1,-77.4367,-177.7988,1,0,0,0,89,21
2000150,0,0,0,-77.4367,-177.7988,1,0,0,0,0,0
2000151,0,0,0,-77.3556,-177.813,1,0,0,0,0,0
2000152,0,0,0,-77.3556,-177.813,1,0,0,0,0,0
2000153,0,0,0,-77.3584,-178.1837,1,0,0,0,0,0
2000154,0,0,0,-77.3584,-178.1837,1,0,0,0,0,0
2000155,0,0,0,-77.3596,-178.3691,1,0,0,0,0,0
2000156,0,0,0,-77.2785,-178.3796,1,0,0,0,0,0
2000157,0,0,0,-77.1993,-178.756,1,0,0,0,0,0
2000158,0,0,0,-77.1182,-178.7639,1,0,0,0,0,0
2000159,0,0,0,-77.119,-178.9459,1,0,0,0,0,0
2000160,0,0,0,-77.0784,-178.9492,1,0,0,0,0,0
2000161,0,0,0,-77.0385,-179.1333,1,0,0,0,0,0
2000162,0,0,0,-76.998,-179.1361,1,0,0,0,0,0
2000163,-77.3,-176.9,1,-76.9989,-179.4966,1,0,0,0,89,21
2000164,-77.281,-177.0073,0,-76.9989,-179.4966,1,0,0,0,0,0
2000165,-77.2614,-177.183,0,-76.9992,-179.6769,1,0,0,0,0,0
2000166,-77.2426,-177.3988,0,-76.9994,-179.8572,1,0,0,0,0,0
2000167,-77.2259,-177.6266,0,-76.9992,-179.6769,1,0,0,0,0,0
2000168,-77.2123,-177.8381,0,-77.0398,-179.6759,1,0,0,0,0,0
2000169,-77.2033,-178.0053,0,-76.9994,-179.8572,1,0,0,0,0,0
2000170,-77.2,-178.1,1,-77.0806,-179.8563,1,0,0,0,89,21
2000171,-77.2,-178.1436,0,-77.04,179.9624,1,0,0,0,0,0
2000172,-77.2,-178.178,0,-77.0806,-179.8563,1,0,0,0,0,0
2000173,-77.2,-178.2057,0,-77.04,179.9624,1,0,0,0,0,0
2000174,-77.2,-178.2293,0,-77.0806,179.9623,1,0,0,0,0,0
2000175,-77.2,-178.2512,0,-77.04,179.9624,1,0,0,0,0,0
2000176,-77.2,-178.2739,0,-77.0806,179.9623,1,0,0,0,0,0
2000177,-77.2,-178.3,1,-77.0806,179.9623,1,0,0,0,89,21
2000178,-77.2,-178.3273,0,-77.0806,179.9623,1,0,0,0,0,0
2000179,-77.2,-178.3529,0,-77.0806,179.9623,1,0,0,0,0,0
2000180,-77.2,-178.3781,0,-77.1211,179.7802,1,0,0,0,0,0
2000181,-77.2,-178.4041,0,-77.1211,179.7802,1,0,0,0,0,0
2000182,-77.2,-178.4323,0,-77.1209,179.5982,1,0,0,0,0,0
2000183,-77.2,-178.4638,0,-77.1209,179.5982,1,0,0,0,0,0
2000184,-77.2,-178.5,1,-77.1614,179.5969,1,0,0,0,89,21
2000185,0,0,0,-77.1614,179.5969,1,0,0,0,0,0
2000186,0,0,0,-77.1614,179.5969,1,0,0,0,0,0
2000187,0,0,0,-77.1611,179.4143,1,0,0,0,0,0
2000188,0,0,0,-77.1611,179.4143,1,0,0,0,0,0
2000189,0,0,0,-77.1606,179.2317,1,0,0,0,0,0
2000190,0,0,0,-77.1606,179.2317,1,0,0,0,0,0
2000191,0,0,0,-77.2012,179.2293,1,0,0,0,0,0
2000192,0,0,0,-77.2012,179.2293,1,0,0,0,0,0
2000193,0,0,0,-77.1998,178.863,1,0,0,0,0,0
2000194,0,0,0,-77.1998,178.863,1,0,0,0,0,0
2000195,0,0,0,-77.1998,178.863,1,0,0,0,0,0
2000196,0,0,0,-77.1998,178.863,1,0,0,0,0,0
2000197,0,0,0,-77.1998,178.863,1,0,0,0,0,0
2000198,-77.1,-179.5,1,-77.1998,178.863,1,0,0,0,89,21
2000199,-77.1,-179.493,0,-77.199,178.6799,1,0,0,0,0,0
2000200,-77.1,-179.4739,0,-77.199,178.6799,1,0,0,0,0,0
2000201,-77.1,-179.4457,0,-77.1584,178.6841,1,0,0,0,0,0
2000202,-77.1,-179.4112,0,-77.1606,179.2317,1,0,0,0,0,0
2000203,-77.1,-179.3735,0,-77.1606,179.2317,1,0,0,0,0,0
2000204,-77.1,-179.3355,0,-77.1194,179.0522,1,0,0,0,0,0
2000205,-77.1,-179.3,1,-77.1194,179.0522,1,0,0,0,89,21
2000206,0,0,0,-77.1194,179.0522,1,0,0,0,0,0
2000207,0,0,0,-77.1593,178.8667,1,0,0,0,0,0
2000208,0,0,0,-77.1584,178.6841,1,0,0,0,0,0
2000209,0,0,0,-77.1584,178.6841,1,0,0,0,0,0
2000210,0,0,0,-77.1187,178.8703,1,0,0,0,0,0
2000211,0,0,0,-77.1187,178.8703,1,0,0,0,0,0
2000212,0,0,0,-77.1187,178.8703,1,0,0,0,0,0
2000213,0,0,0,-77.1187,178.8703,1,0,0,0,0,0
2000214,0,0,0,-77.0781,178.8738,1,0,0,0,0,0
2000215,0,0,0,-77.0781,178.8738,1,0,0,0,0,0
2000216,0,0,0,-77.0375,178.8774,1,0,0,0,0,0
2000217,0,0,0,-77.0375,178.8774,1,0,0,0,0,0
2000218,0,0,0,-76.997,178.8809,1,0,0,0,0,0
2000219,0,0,0,-76.9961,178.7007,1,0,0,0,0,0
2000220,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000221,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000222,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000223,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000224,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000225,0,0,0,-76.9951,178.5205,1,0,0,0,0,0
2000226,-77,-178.4,1,-76.9951,178.5205,1,0,0,0,89,21
2000227,-77,-178.314,0,-76.994,178.3403,1,0,0,0,0,0
2000228,-77,-178.1956,0,-76.994,178.3403,1,0,0,0,0,0
2000229,-77,-178.0615,0,-76.994,178.3403,1,0,0,0,0,0
2000230,-77,-177.9283,0,-76.9928,178.1602,1,0,0,0,0,0
2000231,-77,-177.8125,0,-76.9928,178.1602,1,0,0,0,0,0
2000232,-77,-177.7309,0,-77.032,177.9738,1,0,0,0,0,0
2000233,-77,-177.7,1,-77.032,177.9738,1,0,0,0,89,21
2000234,0,0,0,-77.0305,177.7932,1,0,0,0,0,0
2000235,0,0,0,-77.0288,177.6126,1,0,0,0,0,0
2000236,0,0,0,-77.0288,177.6126,1,0,0,0,0,0
2000237,0,0,0,-77.0676,177.4239,1,0,0,0,0,0
2000238,0,0,0,-77.0676,177.4239,1,0,0,0,0,0
2000239,0,0,0,-77.0271,177.4321,1,0,0,0,0,0
2000240,0,0,0,-77.0271,177.4321,1,0,0,0,0,0
2000241,0,0,0,-77.0252,177.2516,1,0,0,0,0,0
2000242,0,0,0,-77.0252,177.2516,1,0,0,0,0,0
2000243,0,0,0,-77.0232,177.0712,1,0,0,0,0,0
2000244,0,0,0,-77.0232,177.0712,1,0,0,0,0,0
2000245,0,0,0,-77.0211,176.8908,1,0,0,0,0,0
2000246,0,0,0,-77.0211,176.8908,1,0,0,0,0,0
2000247,-77.1,177.7,1,-77.0146,176.886,0,0,0,0,89,21
2000248,0,0,0,-76.9992,176.8741,0,0,0,0,0,0
2000249,0,0,0,-76.9808,176.8584,0,0,0,0,0,0
2000250,0,0,0,-76.9654,176.8426,0,0,0,0,0,0
2000251,0,0,0,-76.9589,176.8301,1,0,0,0,0,0
2000252,0,0,0,-76.9602,176.8216,1,0,0,0,0,0
2000253,0,0,0,-76.9901,176.8532,1,0,0,0,0,0
2000254,0,0,0,-76.9978,176.6256,1,0,0,0,0,0
2000255,0,0,0,-76.9984,176.7054,1,0,0,0,0,0
2000256,0,0,0,-76.9775,176.7313,1,0,0,0,0,0
2000257,0,0,0,-76.9782,176.7127,1,0,0,0,0,0
2000258,0,0,0,-76.9762,176.5308,1,0,0,0,0,0
2000259,0,0,0,-76.9744,176.3367,1,0,0,0,0,0
2000260,0,0,0,-76.9732,176.1567,1,0,0,0,0,0
2000261,-77,177.2,1,-76.9718,176.1612,1,0,0,0,89,21
2000262,0,0,0,-76.9948,176.3699,1,0,0,0,0,0
2000263,0,0,0,-76.9935,176.1609,1,0,0,0,0,0
2000264,0,0,0,-76.9927,176.1632,1,0,0,0,0,0
2000265,0,0,0,-77.0111,176.1639,1,0,0,0,0,0
2000266,0,0,0,-76.9907,176.0633,1,0,0,0,0,0
2000267,0,0,0,-76.9909,176.0816,1,0,0,0,0,0
2000268,0,0,0,-76.9681,176.0107,1,0,0,0,0,0
2000269,0,0,0,-76.9894,175.9836,1,0,0,0,0,0
2000270,0,0,0,-76.9993,175.3683,1,0,0,0,0,0
2000271,0,0,0,-77.0198,175.4515,1,0,0,0,0,0
2000272,0,0,0,-77.0189,175.4312,1,0,0,0,0,0
2000273,0,0,0,-76.9982,175.3357,1,0,0,0,0,0
2000274,0,0,0,-77.0159,175.2408,1,0,0,0,0,0
2000275,-77,175.5,1,-77.0129,175.0587,1,0,0,0,89,21
2000276,-77,175.4602,0,-76.989,174.9015,1,0,0,0,0,0
2000277,-77,175.4263,0,-76.9519,175.1128,1,0,0,0,0,0
2000278,-77,175.3972,0,-76.942,174.5575,1,0,0,0,0,0
2000279,-77,175.3713,0,-76.9256,174.724,1,0,0,0,0,0
2000280,-77,175.3474,0,-76.9085,174.8576,1,0,0,0,0,0
2000281,-77,175.3241,0,-76.9478,174.928,1,0,0,0,0,0
2000282,-77,175.3,1,-76.9476,174.8461,1,0,0,0,89,21
2000283,0,0,0,-76.9292,174.923,1,0,0,0,0,0
2000284,0,0,0,-76.9299,174.9105,1,0,0,0,0,0
2000285,0,0,0,-76.9523,175.1086,1,0,0,0,0,0
2000286,0,0,0,-76.9686,174.9034,1,0,0,0,0,0
2000287,0,0,0,-76.9676,174.8299,1,0,0,0,0,0
2000288,0,0,0,-76.9646,174.7737,1,0,0,0,0,0
2000289,0,0,0,-76.9652,174.7365,1,0,0,0,0,0
2000290,0,0,0,-76.9505,174.9249,1,0,0,0,0,0
2000291,0,0,0,-76.9683,174.8891,1,0,0,0,0,0
2000292,0,0,0,-76.988,174.9245,1,0,0,0,0,0
2000293,0,0,0,-76.9843,174.7656,1,0,0,0,0,0
2000294,0,0,0,-76.9663,174.7196,1,0,0,0,0,0
2000295,0,0,0,-76.9457,174.7321,1,0,0,0,0,0
2000296,-77.175,175,1,-76.9436,174.6551,1,0,0,0,87,20
2000297,-77.1668,174.9518,0,-76.9618,174.5758,1,0,0,0,0,0
2000298,-77.1451,174.8826,0,-76.964,174.6344,1,0,0,0,0,0
2000299,-77.1148,174.8003,0,-76.9646,174.6197,1,0,0,0,0,0
2000300,-77.0805,174.713,0,-76.9804,174.4508,1,0,0,0,0,0
2000301,-77.0468,174.6285,0,-76.9956,174.7947,1,0,0,0,0,0
2000302,-77.0184,174.5549,0,-76.9956,174.7947,1,0,0,0,0,0
2000303,-77,174.5,1,-76.9956,174.7947,1,0,0,0,87,20
2000304,0,0,0,-76.9956,174.7947,1,0,0,0,0,0
2000305,0,0,0,-76.9956,174.7947,1,0,0,0,0,0
2000306,0,0,0,-76.9978,174.4073,1,0,0,0,0,0
2000307,0,0,0,-76.9978,174.4073,1,0,0,0,0,0
2000308,0,0,0,-76.9978,174.4073,1,0,0,0,0,0
2000309,0,0,0,-76.992,174.1503,1,0,0,0,0,0
2000310,0,0,0,-76.992,174.1503,1,0,0,0,0,0
2000311,0,0,0,-76.976,174.4671,1,0,0,0,0,0
2000312,0,0,0,-76.9815,174.2455,1,0,0,0,0,0
2000313,0,0,0,-76.9815,174.2455,1,0,0,0,0,0
2000314,0,0,0,-76.9815,174.2455,1,0,0,0,0,0
2000315,0,0,0,-76.9815,174.2455,1,0,0,0,0,0
2000316,0,0,0,-76.9815,174.2455,1,0,0,0,0,0
2000317,-76.9,174.1,1,-76.9815,174.2455,1,0,0,0,87,20
2000318,-76.9,174.1166,0,-76.9815,174.2455,1,0,0,0,0,0
2000319,-76.9,174.1595,0,-76.9815,174.2455,1,0,0,0,0,0
2000320,-76.9,174.2181,0,-76.9155,174.1749,1,0,0,0,0,0
2000321,-76.9,174.2819,0,-76.9155,174.1749,1,0,0,0,0,0
2000322,-76.9,174.3405,0,-76.9155,174.1749,0,0,0,0,0,0
2000323,-76.9,174.3834,0,-76.9155,174.1749,1,0,0,0,0,0
2000324,-76.9,174.4,1,-76.9155,174.1749,1,0,0,0,87,20
2000325,0,0,0,-76.9175,173.9138,1,0,0,0,0,0
2000326,0,0,0,-76.9175,173.9138,1,0,0,0,0,0
2000327,0,0,0,-76.9175,173.9138,1,0,0,0,0,0
2000328,0,0,0,-76.8187,173.6579,1,0,0,0,0,0
2000329,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000330,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000331,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000332,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000333,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000334,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000335,0,0,0,-76.7643,173.518,1,0,0,0,0,0
2000336,0,0,0,-76.7856,173.4301,1,0,0,0,0,0
2000337,0,0,0,-76.8128,173.3945,1,0,0,0,0,0
2000338,0,0,0,-76.8128,173.3945,1,0,0,0,0,0
2000339,0,0,0,-76.8128,173.3945,1,0,0,0,0,0
2000340,0,0,0,-76.7544,173.4545,1,0,0,0,0,0
2000341,0,0,0,-76.7544,173.4545,1,0,0,0,0,0
2000342,0,0,0,-76.7422,173.4102,1,0,0,0,0,0
2000343,0,0,0,-76.751,173.3432,1,0,0,0,0,0
2000344,0,0,0,-76.7525,173.3626,1,0,0,0,0,0
2000345,-76.9,173.3,1,-76.7723,173.3586,1,0,0,0,87,20
2000346,0,0,0,-76.7746,173.3756,1,0,0,0,0,0
2000347,0,0,0,-76.7746,173.3756,1,0,0,0,0,0
2000348,0,0,0,-76.7932,173.3439,1,0,0,0,0,0
2000349,0,0,0,-76.8536,173.3699,1,0,0,0,0,0
2000350,0,0,0,-76.8536,173.3699,1,0,0,0,0,0
2000351,0,0,0,-76.8958,173.0624,1,0,0,0,0,0
2000352,0,0,0,-76.8958,173.0624,1,0,0,0,0,0
2000353,0,0,0,-76.8584,172.7747,1,0,0,0,0,0
2000354,0,0,0,-76.8584,172.7747,1,0,0,0,0,0
2000355,0,0,0,-76.9378,172.4494,1,0,0,0,0,0
2000356,0,0,0,-76.9317,172.5558,1,0,0,0,0,0
2000357,0,0,0,-76.991,172.4388,1,0,0,0,0,0
2000358,0,0,0,-76.9497,172.4733,1,0,0,0,0,0
2000359,-77.1,173,1,-76.9505,172.4996,1,0,0,0,87,20
2000360,0,0,0,-76.9663,172.2678,1,0,0,0,0,0
2000361,0,0,0,-76.9631,172.3171,1,0,0,0,0,0
2000362,0,0,0,-76.9631,172.3171,1,0,0,0,0,0
2000363,0,0,0,-76.9261,172.3227,1,0,0,0,0,0
2000364,0,0,0,-76.942,172.2514,1,0,0,0,0,0
2000365,0,0,0,-76.9423,172.2431,1,0,0,0,0,0
2000366,0,0,0,-76.9653,172.359,1,0,0,0,0,0
2001001,0,0,0,-76.9283,172.4098,1,0,0,0,0,0
2001002,0,0,0,-76.9271,172.3242,1,0,0,0,0,0
2001003,0,0,0,-76.9462,172.2798,1,0,0,0,0,0
2001004,0,0,0,-76.9616,172.2231,1,0,0,0,0,0
2001005,0,0,0,-76.9587,172.0971,1,0,0,0,0,0
2001006,0,0,0,-76.9594,172.0905,1,0,0,0,0,0
2001007,0,0,0,-77.0099,171.4957,1,0,0,0,0,0
2001008,0,0,0,-77.0099,171.4957,1,0,0,0,0,0
2001009,0,0,0,-76.9544,171.9492,1,0,0,0,0,0
2001010,0,0,0,-76.9544,171.9492,1,0,0,0,0,0
2001011,0,0,0,-76.9544,171.9492,1,0,0,0,0,0
2001012,0,0,0,-76.9544,171.9492,1,0,0,0,0,0
2001013,0,0,0,-76.9544,171.9492,1,0,0,0,0,0
2001014,-77.1,171.9,1,-76.9544,171.9492,1,0,0,0,87,20
2001015,-77.0945,171.841,0,-76.9752,172.0003,1,0,0,0,0,0
2001016,-77.0802,171.7773,0,-76.9933,171.953,1,0,0,0,0,0
2001017,-77.0606,171.7122,0,-76.9933,171.953,1,0,0,0,0,0
2001018,-77.0394,171.6487,0,-77.001,171.9494,1,0,0,0,0,0
2001019,-77.0198,171.5901,0,-77.0125,171.4274,1,0,0,0,0,0
2001020,-77.0055,171.5395,0,-77.0125,171.4274,1,0,0,0,0,0
2001021,-77,171.5,1,-77.0125,171.4274,1,0,0,0,87,20
2001022,0,0,0,-77.0125,171.4274,1,0,0,0,0,0
2001023,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001024,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001025,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001026,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001027,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001028,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001029,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001030,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001031,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001032,0,0,0,-76.9967,171.072,1,0,0,0,0,0
2001033,0,0,0,-77.0606,170.9246,1,0,0,0,0,0
2001034,0,0,0,-77.0606,170.9246,1,0,0,0,0,0
2001035,-77.1,171.2,1,-77.0606,170.9246,1,0,0,0,87,20
2001036,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001037,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001038,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001039,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001040,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001041,-77.1,171.2,0,-77.0606,170.9246,1,0,0,0,0,0
2001042,-77.1,171.2,1,-77.0606,170.9246,1,0,0,0,87,20
2001043,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001044,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001045,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001046,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001047,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001048,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001049,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001050,0,0,0,-76.9966,171.1926,1,0,0,0,0,0
2001051,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001052,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001053,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001054,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001055,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001056,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001057,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001058,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001059,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001060,0,0,0,-76.9544,171.0821,1,0,0,0,0,0
2001061,0,0,0,-76.9143,170.8943,1,0,0,0,0,0
2001062,0,0,0,-76.9143,170.8943,1,0,0,0,0,0
2001063,-76.9,170.9,1,-76.9143,170.8943,1,0,0,0,87,20
2001064,-76.9,170.9111,0,-76.9143,170.8943,1,0,0,0,0,0
2001065,-76.9,170.9397,0,-76.9143,170.8943,1,0,0,0,0,0
2001066,-76.9,170.9787,0,-76.9143,170.8943,1,0,0,0,0,0
2001067,-76.9,171.0213,0,-76.9143,170.8943,1,0,0,0,0,0
2001068,-76.9,171.0603,0,-76.9143,170.8943,1,0,0,0,0,0
2001069,-76.9,171.0889,0,-76.9143,170.8943,1,0,0,0,0,0
2001070,-76.9,171.1,1,-76.9143,170.8943,1,0,0,0,87,20
2001071,-76.8889,171.0889,0,-76.9143,170.8943,1,0,0,0,0,0
2001072,-76.8603,171.0603,0,-76.9143,170.8943,1,0,0,0,0,0
2001073,-76.8213,171.0213,0,-76.8602,170.7517,1,0,0,0,0,0
2001074,-76.7787,170.9787,0,-76.8602,170.7517,1,0,0,0,0,0
2001075,-76.7397,170.9397,0,-76.8602,170.7517,1,0,0,0,0,0
2001076,-76.7111,170.9111,0,-76.8602,170.7517,1,0,0,0,0,0
2001077,-76.7,170.9,1,-76.8602,170.7517,1,0,0,0,87,20
2001078,-76.7055,170.9055,0,-76.8602,170.7517,1,0,0,0,0,0
2001079,-76.7198,170.9198,0,-76.8602,170.7517,1,0,0,0,0,0
2001080,-76.7394,170.9394,0,-76.8602,170.7517,1,0,0,0,0,0
2001081,-76.7606,170.9606,0,-76.8602,170.7517,1,0,0,0,0,0
2001082,-76.7802,170.9802,0,-76.8602,170.7517,1,0,0,0,0,0
2001083,-76.7945,170.9945,0,-76.8602,170.7517,1,0,0,0,0,0
2001084,-76.8,171,1,-76.8602,170.7517,1,0,0,0,87,20
2001085,-76.8,170.9778,0,-76.8602,170.7517,1,0,0,0,0,0
2001086,-76.8,170.9207,0,-76.8602,170.7517,1,0,0,0,0,0
2001087,-76.8,170.8426,0,-76.8602,170.7517,1,0,0,0,0,0
