ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000125,0,0,0,0,0,0,-78.1572,-169.8877,1,0,0,0,0,0
0,0,0,2000126,0,0,0,0,0,0,-78.1713,-170.2782,1,0,0,0,0,0
0,0,0,2000127,0,0,0,0,0,0,-78.1781,-170.4737,1,0,0,0,0,0
0,0,0,2000128,0,0,0,0,0,0,-78.1446,-170.7016,1,0,0,0,0,0
0,0,0,2000129,0,0,0,0,0,0,-78.1446,-170.7016,1,0,0,0,0,0
0,0,0,2000130,0,0,0,0,0,0,-78.1446,-170.7016,1,0,0,0,0,0
0,0,0,2000131,0,0,0,0,0,0,-78.1446,-170.7016,1,0,0,0,0,0
0,0,0,2000132,0,0,0,0,0,0,-78.1446,-170.7016,1,0,0,0,0,0
0,0,0,2000133,0,0,0,0,0,0,-78.1511,-170.8969,1,0,0,0,0,0
0,0,0,2000134,0,0,0,0,0,0,-78.1781,-170.4737,1,0,0,0,0,0
0,0,0,2000135,0,0,0,0,0,0,-78.1781,-170.4737,1,0,0,0,0,0
0,0,0,2000136,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000137,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000138,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000139,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000140,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000141,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000142,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000143,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000144,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000145,0,0,0,0,0,0,-78.1912,-170.8655,1,0,0,0,0,0
0,0,0,2000146,0,0,0,0,0,0,-78.2441,-171.2278,1,0,0,0,0,0
0,0,0,2000147,0,0,0,0,0,0,-78.1976,-171.0617,1,0,0,0,0,0
0,0,0,2000148,0,0,0,0,0,0,-78.21,-171.4548,1,0,0,0,0,0
0,0,0,2000149,-78.2,-170.3,1,0,0,0,-78.21,-171.4548,1,0,0,0,74,23
0,0,0,2000150,0,0,0,0,0,0,-78.2562,-171.6226,1,0,0,0,0,0
0,0,0,2000151,0,0,0,0,0,0,-78.2562,-171.6226,1,0,0,0,0,0
0,0,0,2000152,0,0,0,0,0,0,-78.2562,-171.6226,1,0,0,0,0,0
0,0,0,2000153,0,0,0,0,0,0,-78.2218,-171.8487,1,0,0,0,0,0
0,0,0,2000154,0,0,0,0,0,0,-78.2218,-171.8487,1,0,0,0,0,0
0,0,0,2000155,0,0,0,0,0,0,-78.2275,-172.0459,1,0,0,0,0,0
0,0,0,2000156,0,0,0,0,0,0,-78.2437,-172.6387,1,0,0,0,0,0
0,0,0,2000157,0,0,0,0,0,0,-78.2539,-173.0349,1,0,0,0,0,0
0,0,0,2000158,0,0,0,0,0,0,-78.2681,-173.6303,1,0,0,0,0,0
0,0,0,2000159,0,0,0,0,0,0,-78.2681,-173.6303,1,0,0,0,0,0
0,0,0,2000160,0,0,0,0,0,0,-78.2681,-173.6303,1,0,0,0,0,0
0,0,0,2000161,0,0,0,0,0,0,-78.1916,-173.8718,1,0,0,0,0,0
0,0,0,2000162,0,0,0,0,0,0,-78.1959,-174.0694,1,0,0,0,0,0
0,0,0,2000163,-78.2,-172.5,1,0,0,0,-78.1555,-174.0898,1,0,0,0,74,23
0,0,0,2000164,-78.1945,-172.5904,0,0,0,0,-78.1555,-174.0898,1,0,0,0,0,0
0,0,0,2000165,-78.1802,-172.6735,0,0,0,0,-78.1555,-174.0898,1,0,0,0,0,0
0,0,0,2000166,-78.1606,-172.7498,0,0,0,0,-78.1596,-174.2868,1,0,0,0,0,0
0,0,0,2000167,-78.1394,-172.82,0,0,0,0,-78.1231,-174.503,1,0,0,0,0,0
0,0,0,2000168,-78.1198,-172.8847,0,0,0,0,-78.1231,-174.503,1,0,0,0,0,0
0,0,0,2000169,-78.1055,-172.9445,0,0,0,0,-78.0864,-174.7178,1,0,0,0,0,0
0,0,0,2000170,-78.1,-173,1,0,0,0,-78.0826,-174.5219,1,0,0,0,74,23
0,0,0,2000171,-78.1222,-173.0486,0,0,0,0,-78.0422,-174.5406,1,0,0,0,0,0
0,0,0,2000172,-78.1793,-173.0897,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000173,-78.2574,-173.1265,0,0,0,0,-78.1231,-174.503,1,0,0,0,0,0
0,0,0,2000174,0,0,0,0,0,0,-78.1191,-174.3065,1,0,0,0,0,0
0,0,0,2000175,0,0,0,0,0,0,-78.0826,-174.5219,1,0,0,0,0,0
0,0,0,2000176,0,0,0,0,0,0,-78.0826,-174.5219,1,0,0,0,0,0
0,0,0,2000177,-78.5,-173.3,1,0,0,0,-78.0787,-174.326,1,0,0,0,74,23
0,0,0,2000178,0,0,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000179,0,0,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000180,0,0,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000181,0,0,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000182,0,0,0,0,0,0,-78.0787,-174.326,1,0,0,0,0,0
0,0,0,2000183,0,0,0,0,0,0,-78.0382,-174.3454,1,0,0,0,0,0
0,0,0,2000184,-78.3,-174,1,0,0,0,-78.0382,-174.3454,1,0,0,0,74,23
0,0,0,2000185,0,0,0,0,0,0,-78.0382,-174.3454,1,0,0,0,0,0
0,0,0,2000186,0,0,0,0,0,0,-78.0382,-174.3454,1,0,0,0,0,0
0,0,0,2000187,0,0,0,0,0,0,-78.0017,-174.5592,1,0,0,0,0,0
0,0,0,2000188,0,0,0,0,0,0,-78.0017,-174.5592,1,0,0,0,0,0
0,0,0,2000189,0,0,0,0,0,0,-78.0017,-174.5592,1,0,0,0,0,0
0,0,0,2000190,0,0,0,0,0,0,-78.0017,-174.5592,1,0,0,0,0,0
0,0,0,2000191,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000192,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000193,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000194,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000195,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000196,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000197,0,0,0,0,0,0,-77.965,-174.7717,1,0,0,0,0,0
0,0,0,2000198,-77.5,-174.5,1,0,0,0,-77.965,-174.7717,1,0,0,0,74,23
0,0,0,2000199,-77.5,-174.5,0,0,0,0,-77.9281,-174.9828,1,0,0,0,0,0
0,0,0,2000200,-77.5,-174.5,0,0,0,0,-77.8911,-175.1927,1,0,0,0,0,0
0,0,0,2000201,-77.5,-174.5,0,0,0,0,-77.8911,-175.1927,1,0,0,0,0,0
0,0,0,2000202,-77.5,-174.5,0,0,0,0,-77.8506,-175.2089,1,0,0,0,0,0
0,0,0,2000203,-77.5,-174.5,0,0,0,0,-77.8506,-175.2089,1,0,0,0,0,0
0,0,0,2000204,-77.5,-174.5,0,0,0,0,-77.8135,-175.4167,1,0,0,0,0,0
0,0,0,2000205,-77.5,-174.5,1,0,0,0,-77.8135,-175.4167,1,0,0,0,74,23
0,0,0,2000206,0,0,0,0,0,0,-77.7729,-175.432,1,0,0,0,0,0
0,0,0,2000207,0,0,0,0,0,0,-77.7325,-175.4473,1,0,0,0,0,0
0,0,0,2000208,0,0,0,0,0,0,-77.7325,-175.4473,1,0,0,0,0,0
0,0,0,2000209,0,0,0,0,0,0,-77.7325,-175.4473,1,0,0,0,0,0
0,0,0,2000210,0,0,0,0,0,0,-77.692,-175.4624,1,0,0,0,0,0
0,0,0,2000211,0,0,0,0,0,0,-77.692,-175.4624,1,0,0,0,0,0
0,0,0,2000212,0,0,0,0,0,0,-77.692,-175.4624,1,0,0,0,0,0
0,0,0,2000213,0,0,0,0,0,0,-77.6515,-175.4774,1,0,0,0,0,0
0,0,0,2000214,0,0,0,0,0,0,-77.6546,-175.6668,1,0,0,0,0,0
0,0,0,2000215,0,0,0,0,0,0,-77.6141,-175.6811,1,0,0,0,0,0
0,0,0,2000216,0,0,0,0,0,0,-77.5361,-175.897,1,0,0,0,0,0
0,0,0,2000217,0,0,0,0,0,0,-77.4579,-176.1102,1,0,0,0,0,0
0,0,0,2000218,0,0,0,0,0,0,-77.4579,-176.1102,1,0,0,0,0,0
0,0,0,2000219,0,0,0,0,0,0,-77.4174,-176.1228,1,0,0,0,0,0
0,0,0,2000220,0,0,0,0,0,0,-77.2985,-176.3444,1,0,0,0,0,0
0,0,0,2000221,0,0,0,0,0,0,-77.22,-176.5509,1,0,0,0,0,0
0,0,0,2000222,0,0,0,0,0,0,-77.1389,-176.5728,1,0,0,0,0,0
0,0,0,2000223,0,0,0,0,0,0,-77.1389,-176.5728,1,0,0,0,0,0
0,0,0,2000224,0,0,0,0,0,0,-77.1389,-176.5728,1,0,0,0,0,0
0,0,0,2000225,0,0,0,0,0,0,-77.1389,-176.5728,1,0,0,0,0,0
0,0,0,2000226,-77.1,-176.2,1,0,0,0,-77.1389,-176.5728,1,0,0,0,74,23
0,0,0,2000227,-77.0715,-176.2,0,0,0,0,-77.0984,-176.5837,1,0,0,0,0,0
0,0,0,2000228,-77.0362,-176.2,0,0,0,0,-77.0984,-176.5837,1,0,0,0,0,0
0,0,0,2000229,-76.9981,-176.2,0,0,0,0,-77.0984,-176.5837,1,0,0,0,0,0
0,0,0,2000230,-76.9613,-176.2,0,0,0,0,-77.0579,-176.5945,1,0,0,0,0,0
0,0,0,2000231,-76.93,-176.2,0,0,0,0,-77.0579,-176.5945,1,0,0,0,0,0
0,0,0,2000232,-76.9082,-176.2,0,0,0,0,-77.0174,-176.6052,1,0,0,0,0,0
0,0,0,2000233,-76.9,-176.2,1,0,0,0,-77.0174,-176.6052,1,0,0,0,74,23
0,0,0,2000234,0,0,0,0,0,0,-76.9769,-176.6158,1,0,0,0,0,0
0,0,0,2000235,0,0,0,0,0,0,-76.9769,-176.6158,1,0,0,0,0,0
0,0,0,2000236,0,0,0,0,0,0,-76.9364,-176.6264,1,0,0,0,0,0
0,0,0,2000237,0,0,0,0,0,0,-76.9364,-176.6264,1,0,0,0,0,0
0,0,0,2000238,0,0,0,0,0,0,-76.9364,-176.6264,1,0,0,0,0,0
0,0,0,2000239,0,0,0,0,0,0,-76.8982,-176.8155,1,0,0,0,0,0
0,0,0,2000240,0,0,0,0,0,0,-76.8172,-176.8353,1,0,0,0,0,0
0,0,0,2000241,0,0,0,0,0,0,-76.7767,-176.8451,1,0,0,0,0,0
0,0,0,2000242,0,0,0,0,0,0,-76.7767,-176.8451,1,0,0,0,0,0
0,0,0,2000243,0,0,0,0,0,0,-76.7363,-176.8548,1,0,0,0,0,0
0,0,0,2000244,0,0,0,0,0,0,-76.7363,-176.8548,1,0,0,0,0,0
0,0,0,2000245,0,0,0,0,0,0,-76.7363,-176.8548,1,0,0,0,0,0
0,0,0,2000246,0,0,0,0,0,0,-76.6958,-176.8645,1,0,0,0,0,0
0,0,0,2000247,-77.1,-176.4,1,0,0,0,-76.6615,-176.9371,0,0,0,0,74,23
0,0,0,2000248,0,0,0,0,0,0,-76.631,-177.0883,0,0,0,0,0,0
0,0,0,2000249,0,0,0,0,0,0,-76.6011,-177.2637,0,0,0,0,0,0
0,0,0,2000250,0,0,0,0,0,0,-76.5686,-177.4089,0,0,0,0,0,0
0,0,0,2000251,0,0,0,0,0,0,-76.5302,-177.4694,1,0,0,0,0,0
0,0,0,2000252,0,0,0,0,0,0,-76.4786,-177.1815,1,0,0,0,0,0
0,0,0,2000253,0,0,0,0,0,0,-76.4634,-177.7104,1,0,0,0,0,0
0,0,0,2000254,0,0,0,0,0,0,-76.4492,-177.4847,1,0,0,0,0,0
0,0,0,2000255,0,0,0,0,0,0,-76.4396,-177.5376,1,0,0,0,0,0
0,0,0,2000256,0,0,0,0,0,0,-76.4018,-177.6288,1,0,0,0,0,0
0,0,0,2000257,0,0,0,0,0,0,-76.4035,-177.9753,1,0,0,0,0,0
0,0,0,2000258,0,0,0,0,0,0,-76.4244,-178.0546,1,0,0,0,0,0
0,0,0,2000259,0,0,0,0,0,0,-76.4059,-178.1553,1,0,0,0,0,0
0,0,0,2000260,0,0,0,0,0,0,-76.3715,-177.8433,1,0,0,0,0,0
0,0,0,2000261,-76.4,-176.4,1,0,0,0,-76.3828,-177.8161,1,0,0,0,74,23
0,0,0,2000262,0,0,0,0,0,0,-76.3821,-177.7927,1,0,0,0,0,0
0,0,0,2000263,0,0,0,0,0,0,-76.3834,-177.8903,1,0,0,0,0,0
0,0,0,2000264,0,0,0,0,0,0,-76.3616,-177.8136,1,0,0,0,0,0
0,0,0,2000265,0,0,0,0,0,0,-76.4028,-177.8912,1,0,0,0,0,0
0,0,0,2000266,0,0,0,0,0,0,-76.4023,-177.8913,1,0,0,0,0,0
0,0,0,2000267,0,0,0,0,0,0,-76.4032,-177.8813,1,0,0,0,0,0
0,0,0,2000268,0,0,0,0,0,0,-76.4032,-177.8813,1,0,0,0,0,0
