date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000226,-76.5,-179.2,1,0,0,0,0,0,0,31,8
2000227,-76.4557,-179.2716,0,0,0,0,0,0,0,0,0
2000228,-76.4142,-179.3422,0,0,0,0,0,0,0,0,0
2000229,-76.377,-179.4094,0,0,0,0,0,0,0,0,0
2000230,-76.3455,-179.4711,0,0,0,0,0,0,0,0,0
2000231,-76.3212,-179.5249,0,-76.3805,-179.019,1,0,0,0,0,0
2000232,-76.3055,-179.5686,0,-76.3161,-179.1549,1,0,0,0,0,0
2000233,-76.3,-179.6,1,-76.3161,-179.1549,1,0,0,0,31,8
2000234,0,0,0,-76.3161,-179.1549,1,0,0,0,0,0
2000235,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000236,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000237,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000238,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000239,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000240,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000241,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000242,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000243,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000244,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000245,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000246,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000247,-76.6,-179.8,1,-76.3094,-179.3986,1,0,0,0,31,8
2000248,0,0,0,-76.3094,-179.3986,1,0,0,0,0,0
2000249,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000250,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000251,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000252,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000253,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000254,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000255,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000256,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000257,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000258,0,0,0,-76.2468,-179.5672,1,0,0,0,0,0
2000259,0,0,0,-76.3092,-179.9392,1,0,0,0,0,0
2000260,0,0,0,-76.3092,-179.9392,1,0,0,0,0,0
2000261,-76.4,-179.7,1,-76.3092,-179.9392,1,0,0,0,31,8
2000262,0,0,0,-76.3092,-179.9392,1,0,0,0,0,0
2000263,0,0,0,-76.3092,-179.9392,1,0,0,0,0,0
2000264,0,0,0,-76.3092,-179.9392,1,0,0,0,0,0
2000265,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000266,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000267,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000268,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000269,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000270,0,0,0,-76.418,179.9208,1,0,0,0,0,0
2000271,0,0,0,-76.4434,179.7933,1,0,0,0,0,0
2000272,0,0,0,-76.4434,179.7933,1,0,0,0,0,0
2000273,0,0,0,-76.4434,179.7933,1,0,0,0,0,0
2000274,0,0,0,-76.4434,179.7933,1,0,0,0,0,0
2000275,-76.3,-179.9,1,-76.357,179.9576,1,0,0,0,31,8
2000276,-76.2872,-179.9,0,-76.357,179.9576,1,0,0,0,0,0
2000277,-76.2701,-179.9,0,-76.357,179.9576,1,0,0,0,0,0
2000278,-76.251,-179.9,0,-76.2386,179.9534,1,0,0,0,0,0
2000279,-76.2321,-179.9,0,-76.2386,179.9534,1,0,0,0,0,0
2000280,-76.2158,-179.9,0,-76.1438,179.9537,1,0,0,0,0,0
2000281,-76.2043,-179.9,0,-76.1438,179.9537,1,0,0,0,0,0
2000282,-76.2,-179.9,1,-76.1438,179.9537,1,0,0,0,31,8
2000283,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000284,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000285,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000286,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000287,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000288,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000289,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000290,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000291,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000292,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000293,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000294,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000295,0,0,0,-76.1438,179.9537,1,0,0,0,0,0
2000296,-76.3,-179.4,1,-76.2233,179.4607,1,0,0,0,31,8
2000297,-76.3,-179.4259,0,-76.2233,179.4607,1,0,0,0,0,0
2000298,-76.3,-179.4933,0,-76.2233,179.4607,1,0,0,0,0,0
2000299,-76.3,-179.5863,0,-76.2233,179.4607,1,0,0,0,0,0
2000300,-76.3,-179.6892,0,-76.2233,179.4607,1,0,0,0,0,0
2000301,-76.3,-179.7863,0,-76.2233,179.4607,1,0,0,0,0,0
2000302,-76.3,-179.8618,0,-76.2247,179.7299,1,0,0,0,0,0
2000303,-76.3,-179.9,1,-76.2247,179.7299,1,0,0,0,31,8
2000304,0,0,0,-76.2247,179.7299,1,0,0,0,0,0
2000305,0,0,0,-76.2247,179.7299,1,0,0,0,0,0
2000306,0,0,0,-76.2247,179.7299,1,0,0,0,0,0
2000307,0,0,0,-76.2247,179.7299,1,0,0,0,0,0
2000308,0,0,0,-76.2247,179.7299,1,0,0,0,0,0
2000309,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000310,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000311,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000312,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000313,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000314,0,0,0,-76.2462,-179.9702,1,0,0,0,0,0
2000315,0,0,0,-76.1491,-179.9172,1,0,0,0,0,0
2000316,0,0,0,-76.1491,-179.9172,1,0,0,0,0,0
2000317,-76.2,180,1,-76.1491,-179.9172,1,0,0,0,31,8
2000318,0,0,0,-76.1491,-179.9172,1,0,0,0,0,0
2000319,0,0,0,-76.0785,-179.634,1,0,0,0,0,0
2000320,0,0,0,-76.0785,-179.634,1,0,0,0,0,0
2000321,0,0,0,-76.0785,-179.634,1,0,0,0,0,0
