date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2001147,-70,167.5,1,0,0,0,0,0,0,11,2
2001156,0,0,0,-69.7,165.6,1,0,0,0,0,0
2001157,0,0,0,-69.7378,165.1527,1,0,0,0,0,0
2001158,0,0,0,-69.7381,164.9382,1,0,0,0,0,0
2001159,0,0,0,-69.7193,164.8497,1,0,0,0,0,0
2001160,0,0,0,-69.6823,164.7597,1,0,0,0,0,0
2001161,-69.4,163.9,1,-69.6591,164.5693,1,0,0,0,11,2
2001162,0,0,0,-69.6591,164.5693,1,0,0,0,0,0
2001163,0,0,0,-69.6182,164.4687,1,0,0,0,0,0
2001164,0,0,0,-69.6435,164.2702,1,0,0,0,0,0
2001165,0,0,0,-69.6435,164.2702,1,0,0,0,0,0
2001166,0,0,0,-69.6137,163.8691,1,0,0,0,0,0
2001167,0,0,0,-69.5944,163.7834,1,0,0,0,0,0
2001168,0,0,0,-69.5536,163.5113,1,0,0,0,0,0
2001169,0,0,0,-69.5536,163.5113,1,0,0,0,0,0
2001170,0,0,0,-69.4999,163.2232,1,0,0,0,0,0
2001171,0,0,0,-69.4723,163.085,1,0,0,0,0,0
2001172,0,0,0,-69.4209,162.7294,1,0,0,0,0,0
2001173,0,0,0,-69.4209,162.7294,1,0,0,0,0,0
2001174,0,0,0,-69.3838,162.3688,1,0,0,0,0,0
2001175,0,0,0,-69.314,162.0321,1,0,0,0,0,0
2001176,0,0,0,-69.2732,161.6557,1,0,0,0,0,0
2001177,0,0,0,-69.2075,161.3036,1,0,0,0,0,0
2001178,0,0,0,-69.1177,160.9987,1,0,0,0,0,0
2001179,0,0,0,-69.0759,160.8494,1,0,0,0,0,0
2001180,0,0,0,-68.9995,160.725,1,0,0,0,0,0
2001181,0,0,0,-68.9995,160.725,1,0,0,0,0,0
2001182,0,0,0,-68.961,160.5423,1,0,0,0,0,0
2001183,0,0,0,-68.961,160.5423,1,0,0,0,0,0
2001184,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2001185,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2001186,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2001187,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2001188,0,0,0,-68.8974,160.4811,0,0,0,0,0,0
2001189,0,0,0,-68.8974,160.4811,0,0,0,0,0,0
2001190,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2001191,0,0,0,-68.8974,160.4811,1,0,0,0,0,0
2002020,-67.1,152,1,0,0,0,0,0,0,11,2
2002021,-67.0866,152.0125,0,0,0,0,0,0,0,0,0
2002022,-67.072,152.0456,0,0,0,0,0,0,0,0,0
2002023,-67.0567,152.0931,0,0,0,0,0,0,0,0,0
2002024,-67.0412,152.1486,0,0,0,0,0,0,0,0,0
2002025,-67.0263,152.2058,0,0,0,0,0,0,0,0,0
2002026,-67.0123,152.2584,0,0,0,0,0,0,0,0,0
2002027,-67,152.3,1,0,0,0,0,0,0,11,2
2002062,-66.7,153.2,1,0,0,0,0,0,0,11,2
2002063,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002064,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002065,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002066,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002067,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002068,-66.7,153.2,0,0,0,0,0,0,0,0,0
2002069,-66.7,153.2,1,0,0,0,0,0,0,11,2
2003040,-65,119.2,1,0,0,0,0,0,0,11,2
2003068,-65,117.4,1,0,0,0,0,0,0,11,2
2003096,-65.1,107.6,1,0,0,0,0,0,0,11,2
2003110,-64.9,101.5,1,0,0,0,0,0,0,11,2
2003111,-64.884,101.4761,0,0,0,0,0,0,0,0,0
2003112,-64.8656,101.4546,0,0,0,0,0,0,0,0,0
2003113,-64.8466,101.4361,0,0,0,0,0,0,0,0,0
2003114,-64.8289,101.4209,0,0,0,0,0,0,0,0,0
2003115,-64.814,101.4096,0,0,0,0,0,0,0,0,0
2003116,-64.8038,101.4025,0,0,0,0,0,0,0,0,0
2003117,-64.8,101.4,1,0,0,0,0,0,0,11,2
2003118,-64.8111,101.4,0,0,0,0,0,0,0,0,0
2003119,-64.8397,101.4,0,0,0,0,0,0,0,0,0
2003120,-64.8787,101.4,0,0,0,0,0,0,0,0,0
2003121,-64.9213,101.4,0,0,0,0,0,0,0,0,0
2003122,-64.9603,101.4,0,0,0,0,0,0,0,0,0
2003123,-64.9889,101.4,0,0,0,0,0,0,0,0,0
2003124,-65,101.4,1,0,0,0,0,0,0,11,2
2003125,-64.9668,101.3479,0,0,0,0,0,0,0,0,0
2003126,-64.881,101.2113,0,0,0,0,0,0,0,0,0
2003127,-64.7638,101.0199,0,0,0,0,0,0,0,0,0
2003128,-64.6362,100.8034,0,0,0,0,0,0,0,0,0
2003129,-64.519,100.5915,0,0,0,0,0,0,0,0,0
2003130,-64.4332,100.4138,0,0,0,0,0,0,0,0,0
2003131,-64.4,100.3,1,0,0,0,0,0,0,11,2
2003145,-64.8,99.7,1,0,0,0,0,0,0,11,2
2003146,-64.7834,99.6151,0,0,0,0,0,0,0,0,0
2003147,-64.7405,99.4972,0,0,0,0,0,0,0,0,0
2003148,-64.6819,99.363,0,0,0,0,0,0,0,0,0
2003149,-64.6181,99.2294,0,0,0,0,0,0,0,0,0
2003150,-64.5595,99.1131,0,0,0,0,0,0,0,0,0
2003151,-64.5166,99.0311,0,0,0,0,0,0,0,0,0
2003152,-64.5,99,1,0,0,0,0,0,0,11,2
2003153,-64.5,99,0,0,0,0,0,0,0,0,0
2003154,-64.5,99,0,0,0,0,0,0,0,0,0
2003155,-64.5,99,0,0,0,0,0,0,0,0,0
2003156,-64.5,99,0,0,0,0,0,0,0,0,0
2003157,-64.5,99,0,0,0,0,0,0,0,0,0
2003158,-64.5,99,0,0,0,0,0,0,0,0,0
2003159,-64.5,99,1,0,0,0,0,0,0,11,2
2003160,-64.5,99,0,0,0,0,0,0,0,0,0
2003161,-64.5,99,0,0,0,0,0,0,0,0,0
2003162,-64.5,99,0,0,0,0,0,0,0,0,0
2003163,-64.5,99,0,0,0,0,0,0,0,0,0
2003164,-64.5,99,0,0,0,0,0,0,0,0,0
2003165,-64.5,99,0,0,0,0,0,0,0,0,0
2003166,-64.5,99,1,0,0,0,0,0,0,11,2
2003167,-64.4945,99,0,0,0,0,0,0,0,0,0
2003168,-64.4802,99,0,0,0,0,0,0,0,0,0
2003169,-64.4606,99,0,0,0,0,0,0,0,0,0
2003170,-64.4394,99,0,0,0,0,0,0,0,0,0
2003171,-64.4198,99,0,0,0,0,0,0,0,0,0
2003172,-64.4055,99,0,0,0,0,0,0,0,0,0
2003173,-64.4,99,1,0,0,0,0,0,0,11,2
2003187,-64.4,99,1,0,0,0,0,0,0,11,2
2003215,-64.5,98.8,1,0,0,0,0,0,0,11,2
2003250,-64.5,98.6,1,0,0,0,0,0,0,11,2
2003287,0,0,0,0,0,0,-64.55,98.65,1,0,0
2003288,0,0,0,0,0,0,-64.55,98.65,1,0,0
2003289,0,0,0,0,0,0,-64.55,98.65,1,0,0
2003290,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003291,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003292,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003293,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003294,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003295,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003296,0,0,0,0,0,0,-64.5909,98.579,1,0,0
2003297,0,0,0,0,0,0,-64.5909,98.579,1,0,0
