date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2001161,-71.8,171.6,1,0,0,0,18,2
2001182,-70,167.2,1,0,0,0,18,2
2001210,-69.9,164.6,1,0,0,0,18,2
2001211,-69.8751,164.5039,0,0,0,0,0,0
2001212,-69.8233,164.4086,0,0,0,0,0,0
2001213,-69.7543,164.3129,0,0,0,0,0,0
2001214,-69.6778,164.2155,0,0,0,0,0,0
2001215,-69.6034,164.1151,0,0,0,0,0,0
2001216,-69.5409,164.0104,0,0,0,0,0,0
2001217,-69.5,163.9,1,0,0,0,18,2
2001266,-68.8,156.7,1,0,0,0,18,2
2001280,-68.4,157.2,1,0,0,0,18,2
2001281,-68.3698,157.1685,0,-68.5,157.3,1,0,0
2001282,-68.3376,157.0856,0,-68.5,157.3,1,0,0
2001283,-68.3047,156.9683,0,-68.5,157.3,1,0,0
2001284,-68.273,156.8339,0,-68.5,157.3,1,0,0
2001285,-68.2439,156.6996,0,-68.5,157.3,1,0,0
2001286,-68.219,156.5826,0,-68.5,157.3,1,0,0
2001287,-68.2,156.5,1,-68.5,157.3,1,18,2
2001288,0,0,0,-68.5,157.3,1,0,0
2001289,0,0,0,-68.5,157.3,1,0,0
2001290,0,0,0,-68.5,157.3,1,0,0
2001291,0,0,0,-68.4775,157.0274,1,0,0
2001292,0,0,0,-68.4775,157.0274,1,0,0
2001293,0,0,0,-68.4775,157.0274,1,0,0
2001294,0,0,0,-68.4466,156.8846,1,0,0
2001295,0,0,0,-68.4466,156.8846,1,0,0
2001296,0,0,0,-68.4466,156.8846,1,0,0
2001297,0,0,0,-68.4466,156.8846,1,0,0
2001298,0,0,0,-68.4466,156.8846,1,0,0
2001299,0,0,0,-68.4466,156.8846,1,0,0
2001300,0,0,0,-68.426,156.7389,1,0,0
2001301,0,0,0,-68.426,156.7389,1,0,0
2001302,0,0,0,-68.426,156.7389,1,0,0
2001303,0,0,0,-68.426,156.7389,1,0,0
2001304,0,0,0,-68.426,156.7389,1,0,0
2001305,0,0,0,-68.426,156.7389,1,0,0
2001306,0,0,0,-68.426,156.7389,1,0,0
2001307,0,0,0,-68.426,156.7389,1,0,0
2001308,-68,155.7,1,-68.426,156.7389,1,18,2
2001309,-68.0111,155.7055,0,-68.426,156.7389,1,0,0
2001310,-68.0397,155.7198,0,-68.426,156.7389,1,0,0
2001311,-68.0787,155.7394,0,-68.426,156.7389,1,0,0
2001312,-68.1213,155.7606,0,-68.426,156.7389,1,0,0
2001313,-68.1603,155.7802,0,-68.3446,156.4968,1,0,0
2001314,-68.1889,155.7945,0,-68.3446,156.4968,1,0,0
2001315,-68.2,155.8,1,-68.3446,156.4968,1,18,2
2001316,0,0,0,-68.3446,156.4968,1,0,0
2001317,0,0,0,-68.3446,156.4968,1,0,0
2001318,0,0,0,-68.3446,156.4968,1,0,0
2001319,0,0,0,-68.3446,156.4968,1,0,0
2001320,0,0,0,-68.3446,156.4968,1,0,0
2001321,0,0,0,-68.3446,156.4968,1,0,0
2001322,0,0,0,-68.3446,156.4968,0,0,0
2001323,0,0,0,-68.3446,156.4968,1,0,0
2001324,0,0,0,-68.2284,155.8272,1,0,0
2001325,0,0,0,-68.2284,155.8272,1,0,0
2001326,0,0,0,-68.2284,155.8272,1,0,0
2001327,0,0,0,-68.2284,155.8272,1,0,0
2001328,0,0,0,-68.1389,155.6029,1,0,0
2001329,0,0,0,-68.0846,155.4565,1,0,0
2001330,0,0,0,-68.0846,155.4565,1,0,0
2001331,0,0,0,-68.0846,155.4565,1,0,0
2001332,0,0,0,-68.0846,155.4565,1,0,0
2001333,0,0,0,-68.0846,155.4565,1,0,0
2001334,0,0,0,-68.0399,155.3712,1,0,0
2001335,0,0,0,-68.0399,155.3712,1,0,0
2001336,-68,155,1,-68.0399,155.3712,1,18,2
2001337,-67.9719,154.9174,0,-68.0399,155.3712,1,0,0
2001338,-67.927,154.8004,0,-68.0399,155.3712,1,0,0
2001339,-67.8726,154.6661,0,-68.0399,155.3712,1,0,0
2001340,-67.8155,154.5317,0,-68.0399,155.3712,1,0,0
2001341,-67.7631,154.4144,0,-68.0399,155.3712,1,0,0
