ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2003289,0,0,0,0,0,0,-76.9167,168.9833,1,-76.9167,168.9833,1,0,0
0,0,0,2003290,0,0,0,0,0,0,-77.115,169.3062,1,-77.115,169.3062,1,0,0
0,0,0,2003291,0,0,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003292,-77.2,168.8,1,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,30,22
0,0,0,2003293,-77.2,168.8877,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003294,-77.2,168.9788,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003295,-77.2,169.068,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003296,-77.2,169.1499,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003297,-77.2,169.2194,0,0,0,0,-77.2067,169.4828,1,-77.2067,169.4828,1,0,0
0,0,0,2003298,-77.2,169.2712,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003299,-77.2,169.3,1,0,0,0,-77.2067,169.4828,1,0,0,0,30,22
0,0,0,2003300,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003301,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003302,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003303,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003304,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003305,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003306,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003307,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003308,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003309,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003310,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003311,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003312,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003313,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003314,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003315,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003316,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003317,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003318,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003319,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003320,0,0,0,0,0,0,-77.2067,169.4828,1,0,0,0,0,0
0,0,0,2003321,0,0,0,0,0,0,-77.2191,169.2941,1,0,0,0,0,0
0,0,0,2003322,0,0,0,0,0,0,-77.2052,169.4012,1,0,0,0,0,0
0,0,0,2003323,0,0,0,0,0,0,-77.2052,169.4012,1,0,0,0,0,0
0,0,0,2003324,0,0,0,0,0,0,-77.2052,169.4012,1,0,0,0,0,0
0,0,0,2003325,0,0,0,0,0,0,-77.2052,169.4012,1,0,0,0,0,0
0,0,0,2003326,0,0,0,0,0,0,-77.2521,169.5257,1,0,0,0,0,0
0,0,0,2003327,-77.3,169.5,1,0,0,0,-77.2719,169.7671,1,0,0,0,30,22
0,0,0,2003328,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003329,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003330,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003331,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003332,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003333,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003334,0,0,0,0,0,0,-77.2719,169.7671,1,0,0,0,0,0
0,0,0,2003335,0,0,0,0,0,0,-77.2839,169.9445,1,0,0,0,0,0
0,0,0,2003336,0,0,0,0,0,0,-77.2407,170.2362,1,0,0,0,0,0
0,0,0,2003337,0,0,0,0,0,0,-77.2407,170.2362,1,0,0,0,0,0
0,0,0,2003338,0,0,0,0,0,0,-77.2407,170.2362,1,0,0,0,0,0
0,0,0,2003339,0,0,0,0,0,0,-77.2407,170.2362,1,0,0,0,0,0
0,0,0,2003340,0,0,0,0,0,0,-77.1905,170.1327,1,0,0,0,0,0
0,0,0,2003341,0,0,0,0,0,0,-77.1532,170.0342,1,0,0,0,0,0
0,0,0,2003342,0,0,0,0,0,0,-77.1532,170.0342,1,0,0,0,0,0
0,0,0,2003343,0,0,0,0,0,0,-77.1532,170.0342,1,0,0,0,0,0
0,0,0,2003344,0,0,0,0,0,0,-77.1532,170.0342,1,0,0,0,0,0
0,0,0,2003345,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003346,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003347,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003348,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003349,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003350,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003351,0,0,0,0,0,0,-77.1946,170.0262,1,0,0,0,0,0
0,0,0,2003352,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003353,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003354,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003355,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003356,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003357,0,0,0,0,0,0,-77.2146,170.0807,1,0,0,0,0,0
0,0,0,2003358,0,0,0,0,0,0,-77.1293,169.8908,1,0,0,0,0,0
0,0,0,2003359,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003360,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003361,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003362,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003363,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003364,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2003365,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004001,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004002,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004003,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004004,-77.1,169.6,1,0,0,0,-77.0976,169.674,1,0,0,0,30,22
0,0,0,2004005,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004006,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004007,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004008,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
0,0,0,2004009,0,0,0,0,0,0,-77.0976,169.674,1,0,0,0,0,0
