ascat_1,ascat_2,ascat_3,date
-55.9354,-158.7113,1,2011329
-55.9494,-158.6119,1,2011330
-55.9578,-158.2624,1,2011331
-55.9145,-158.2208,1,2011332
-55.922,-158.1619,1,2011333
-55.7418,-157.9846,1,2011334
-55.6197,-157.6419,1,2011335
-55.4863,-157.0204,1,2011336
-55.385,-156.7903,1,2011337
-55.3722,-156.747,1,2011338
-55.2794,-156.3936,1,2011339
-55.2643,-156.5219,1,2011340
-55.1605,-156.2431,1,2011341
-55.2212,-156.4668,1,2011342
-55.109,-156.2649,1,2011343
-54.9967,-156.2443,1,2011344
-54.8357,-155.5301,1,2011345
-54.6671,-155.6468,1,2011346
-54.6384,-155.5448,1,2011347
-54.5155,-155.3579,1,2011348
-54.3503,-155.1178,1,2011349
-54.1876,-154.6661,1,2011350
-54.0784,-154.4562,1,2011351
-54.1924,-154.2223,1,2011352
-54.1446,-154.4388,1,2011353
-54.1367,-154.1973,1,2011354
