date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2005177,-65.5,123.625,1,0,0,0,16,7
2005198,-65.52,121.63,1,0,0,0,16,7
2005212,-65.7,119.4,1,0,0,0,16,7
2005213,-65.6934,119.3938,0,0,0,0,0,0
2005214,-65.6762,119.3897,0,0,0,0,0,0
2005215,-65.6528,119.3868,0,0,0,0,0,0
2005216,-65.6272,119.3843,0,0,0,0,0,0
2005217,-65.6038,119.3812,0,0,0,0,0,0
2005218,-65.5866,119.3768,0,0,0,0,0,0
2005219,-65.58,119.37,1,0,0,0,16,7
2005220,-65.5811,119.3291,0,0,0,0,0,0
2005221,-65.584,119.2362,0,0,0,0,0,0
2005222,-65.5879,119.1116,0,0,0,0,0,0
2005223,-65.5921,118.9754,0,0,0,0,0,0
2005224,-65.596,118.848,0,0,0,0,0,0
2005225,-65.5989,118.7494,0,0,0,0,0,0
2005226,-65.6,118.7,1,0,0,0,16,7
2005227,-65.5962,118.6849,0,0,0,0,0,0
2005228,-65.586,118.6747,0,0,0,0,0,0
2005229,-65.5711,118.6673,0,0,0,0,0,0
2005230,-65.5534,118.6611,0,0,0,0,0,0
2005231,-65.5344,118.654,0,0,0,0,0,0
2005232,-65.516,118.6443,0,0,0,0,0,0
2005233,-65.5,118.63,1,0,0,0,16,7
2005234,-65.4859,118.6009,0,0,0,0,0,0
2005235,-65.472,118.5519,0,0,0,0,0,0
2005236,-65.4582,118.4883,0,0,0,0,0,0
2005237,-65.4442,118.4158,0,0,0,0,0,0
2005238,-65.43,118.3399,0,0,0,0,0,0
2005239,-65.4153,118.2661,0,0,0,0,0,0
2005240,-65.4,118.2,1,0,0,0,16,7
2005254,-65.15,117.37,1,0,0,0,16,7
2005255,-65.1555,117.3417,0,0,0,0,0,0
2005256,-65.1698,117.3163,0,0,0,0,0,0
2005257,-65.1894,117.2935,0,0,0,0,0,0
2005258,-65.2106,117.2728,0,0,0,0,0,0
2005259,-65.2302,117.2539,0,0,0,0,0,0
2005260,-65.2445,117.2365,0,0,0,0,0,0
2005261,-65.25,117.22,1,0,0,0,16,7
2005262,-65.25,117.2059,0,0,0,0,0,0
2005263,-65.25,117.1948,0,0,0,0,0,0
2005264,-65.25,117.1852,0,0,0,0,0,0
2005265,-65.25,117.1754,0,0,0,0,0,0
2005266,-65.25,117.164,0,0,0,0,0,0
2005267,-65.25,117.1494,0,0,0,0,0,0
2005268,-65.25,117.13,1,0,0,0,16,7
2005269,-65.2434,117.0815,0,0,0,0,0,0
