date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2005303,-71.2,170.5,1,0,0,0,29,3
2005304,-71.1475,170.3676,0,0,0,0,0,0
2005305,-71.0975,170.2411,0,0,0,0,0,0
2005306,-71.0504,170.1253,0,-71.12,170.3,1,0,0
2005307,-71.0067,170.0253,0,-70.9914,170.1078,1,0,0
2005308,-70.9668,169.946,0,-70.847,169.9262,0,0,0
2005309,-70.931,169.8926,0,-70.7082,169.7212,1,0,0
2005310,-70.9,169.87,1,-70.5969,169.4247,1,29,3
2005311,-70.8738,169.8654,0,-70.5969,169.4247,1,0,0
2005312,-70.8514,169.8623,0,-70.6194,169.4377,0,0,0
2005313,-70.8315,169.8602,0,-70.6731,169.4699,0,0,0
2005314,-70.8127,169.8585,0,-70.7373,169.5112,0,0,0
2005315,-70.7938,169.8566,0,-70.791,169.5515,0,0,0
2005316,-70.7733,169.854,0,-70.8135,169.5806,1,0,0
2005317,-70.75,169.85,1,-70.7614,169.5971,1,29,3
2005318,0,0,0,-70.7614,169.5971,1,0,0
2005319,0,0,0,-70.7024,169.6298,1,0,0
2005320,0,0,0,-70.7024,169.6298,1,0,0
2005321,0,0,0,-70.6538,169.141,1,0,0
2005322,0,0,0,-70.6538,169.141,1,0,0
2005323,0,0,0,-70.5808,168.6615,1,0,0
2005324,0,0,0,-70.5348,168.6034,0,0,0
2005325,0,0,0,-70.4952,168.5659,0,0,0
2005326,0,0,0,-70.4674,168.5458,0,0,0
2005327,0,0,0,-70.4569,168.5398,1,0,0
2005328,0,0,0,-70.4569,168.5398,1,0,0
2005329,0,0,0,-70.3922,168.3011,1,0,0
2005330,0,0,0,-70.3637,168.1802,0,0,0
2005331,0,0,0,-70.3381,168.0691,0,0,0
2005332,0,0,0,-70.3152,167.9684,0,0,0
2005333,0,0,0,-70.2952,167.8789,0,0,0
2005334,0,0,0,-70.2782,167.8012,0,0,0
2005335,0,0,0,-70.2641,167.7361,0,0,0
2005336,0,0,0,-70.2531,167.6842,0,0,0
2005337,0,0,0,-70.2451,167.6463,0,0,0
2005338,-70.05,167.33,1,-70.2403,167.623,0,29,3
2005339,-70.0224,167.2546,0,-70.2387,167.6151,1,0,0
2005340,-69.9947,167.1865,0,-70.2387,167.6151,1,0,0
2005341,-69.9677,167.1236,0,-70.1248,167.3181,1,0,0
2005342,-69.942,167.0636,0,-70.1248,167.3181,1,0,0
2005343,-69.9184,167.0044,0,-70.1248,167.3181,1,0,0
2005344,-69.8975,166.9439,0,-70.1248,167.3181,1,0,0
2005345,-69.88,166.88,1,-70.1248,167.3181,1,29,3
2005346,-69.8658,166.8154,0,-70.0371,166.8308,1,0,0
2005347,-69.8538,166.7529,0,-70.0371,166.8308,1,0,0
2005348,-69.8432,166.6905,0,0,0,0,0,0
2005349,-69.8332,166.626,0,0,0,0,0,0
2005350,-69.8232,166.5575,0,0,0,0,0,0
2005351,-69.8124,166.4829,0,0,0,0,0,0
2005352,-69.8,166.4,1,0,0,0,29,3
2006015,-69.28,162.1,1,0,0,0,29,3
2006016,-69.2594,161.9679,0,0,0,0,0,0
2006017,-69.2379,161.84,0,0,0,0,0,0
2006018,-69.216,161.7151,0,0,0,0,0,0
2006019,-69.1938,161.5919,0,0,0,0,0,0
2006020,-69.1719,161.4692,0,0,0,0,0,0
2006021,-69.1505,161.3457,0,0,0,0,0,0
2006022,-69.13,161.22,1,0,0,0,29,3
2006023,-69.1104,161.0977,0,0,0,0,0,0
2006024,-69.0912,160.9817,0,0,0,0,0,0
2006025,-69.0724,160.867,0,0,0,0,0,0
2006026,-69.054,160.7484,0,0,0,0,0,0
2006027,-69.0358,160.6211,0,0,0,0,0,0
2006028,-69.0179,160.48,0,0,0,0,0,0
2006029,-69,160.32,1,0,0,0,29,3
2006030,-68.9822,160.1204,0,0,0,0,0,0
2006031,-68.9644,159.8747,0,0,0,0,0,0
2006032,-68.9468,159.5994,0,0,0,0,0,0
2006033,-68.9294,159.3109,0,0,0,0,0,0
