ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2005303,-71.95,171.9,1,0,0,0,0,0,0,31,7
0,0,0,2005304,-71.7766,171.6712,0,0,0,0,0,0,0,0,0
0,0,0,2005305,-71.6121,171.4536,0,0,0,0,-71.5588,171.5587,1,0,0
0,0,0,2005306,-71.4607,171.254,0,0,0,0,-71.597,171.7827,0,0,0
0,0,0,2005307,-71.3266,171.0791,0,0,0,0,-71.6025,171.8223,1,0,0
0,0,0,2005308,-71.214,170.9356,0,0,0,0,-71.5486,171.5985,1,0,0
0,0,0,2005309,-71.1271,170.8303,0,0,0,0,-71.3976,171.5115,1,0,0
0,0,0,2005310,-71.07,170.77,1,0,0,0,-71.2269,171.1377,1,31,7
0,0,0,2005311,-71.0341,170.7399,0,0,0,0,-71.1661,170.8269,1,0,0
0,0,0,2005312,-71.0061,170.7186,0,0,0,0,-71.1088,170.5129,1,0,0
0,0,0,2005313,-70.9836,170.7028,0,0,0,0,-71.1088,170.5129,1,0,0
0,0,0,2005314,-70.9642,170.6893,0,0,0,0,-70.9665,170.6016,1,0,0
0,0,0,2005315,-70.9454,170.6748,0,0,0,0,-70.9665,170.6016,1,0,0
0,0,0,2005316,-70.9248,170.6561,0,0,0,0,-70.9243,171.0786,1,0,0
0,0,0,2005317,-70.9,170.63,1,0,0,0,-70.8897,170.7451,1,31,7
0,0,0,2005318,0,0,0,0,0,0,-70.8897,170.7451,1,0,0
0,0,0,2005319,0,0,0,0,0,0,-70.8897,170.7451,1,0,0
0,0,0,2005320,0,0,0,0,0,0,-70.8897,170.7451,1,0,0
0,0,0,2005321,0,0,0,0,0,0,-70.8832,170.4098,1,0,0
0,0,0,2005322,0,0,0,0,0,0,-70.8832,170.4098,1,0,0
0,0,0,2005323,0,0,0,0,0,0,-70.765,170.0366,1,0,0
0,0,0,2005324,0,0,0,0,0,0,-70.765,170.0366,1,0,0
0,0,0,2005325,0,0,0,0,0,0,-70.7012,169.7699,1,0,0
0,0,0,2005326,0,0,0,0,0,0,-70.6391,169.591,1,0,0
0,0,0,2005327,0,0,0,0,0,0,-70.5779,169.4127,1,0,0
0,0,0,2005328,0,0,0,0,0,0,-70.5779,169.4127,1,0,0
0,0,0,2005329,0,0,0,0,0,0,-70.5779,169.4127,1,0,0
0,0,0,2005330,0,0,0,0,0,0,-70.5108,169.3316,1,0,0
0,0,0,2005331,0,0,0,0,0,0,-70.4612,169.1742,1,0,0
0,0,0,2005332,0,0,0,0,0,0,-70.4612,169.1742,1,0,0
0,0,0,2005333,0,0,0,0,0,0,-70.3936,169.2538,1,0,0
0,0,0,2005334,0,0,0,0,0,0,-70.3936,169.2538,1,0,0
0,0,0,2005335,0,0,0,0,0,0,-70.3936,169.2538,1,0,0
0,0,0,2005336,0,0,0,0,0,0,-70.3347,168.7793,1,0,0
0,0,0,2005337,0,0,0,0,0,0,-70.294,168.4791,1,0,0
0,0,0,2005338,-70.17,167.83,1,0,0,0,-70.2258,168.2539,1,31,7
0,0,0,2005339,-70.1421,167.7542,0,0,0,0,-70.2086,168.1187,1,0,0
0,0,0,2005340,-70.1143,167.6883,0,0,0,0,-70.2086,168.1187,1,0,0
0,0,0,2005341,-70.0873,167.6288,0,0,0,0,-70.1674,167.9925,1,0,0
0,0,0,2005342,-70.0617,167.5718,0,0,0,0,-70.1012,167.7912,1,0,0
0,0,0,2005343,-70.0382,167.5138,0,0,0,0,-70.1012,167.7912,1,0,0
0,0,0,2005344,-70.0174,167.4511,0,0,0,0,-70.1012,167.7912,1,0,0
0,0,0,2005345,-70,167.38,1,0,0,0,-70.1012,167.7912,1,31,7
0,0,0,2005346,-69.9858,167.3009,0,0,0,0,-70.0451,167.3046,1,0,0
0,0,0,2005347,-69.9738,167.2166,0,0,0,0,-70.0451,167.3046,1,0,0
0,0,0,2005348,-69.9632,167.1271,0,0,0,0,-70.0115,167.1344,1,0,0
0,0,0,2005349,-69.9532,167.0326,0,0,0,0,-70.0115,167.1344,1,0,0
0,0,0,2005350,-69.9432,166.9332,0,0,0,0,-70.0115,167.1344,1,0,0
0,0,0,2005351,-69.9324,166.8289,0,0,0,0,-70.0556,166.8619,1,0,0
0,0,0,2005352,-69.92,166.72,1,0,0,0,-70.0556,166.8619,1,31,7
0,0,0,2005353,0,0,0,0,0,0,-70.0556,166.8619,1,0,0
0,0,0,2005354,0,0,0,0,0,0,-70.0556,166.8619,1,0,0
0,0,0,2006015,-69.4,162.37,1,0,0,0,0,0,0,31,7
0,0,0,2006016,-69.3734,162.2862,0,0,0,0,0,0,0,0,0
0,0,0,2006017,-69.343,162.2133,0,0,0,0,0,0,0,0,0
0,0,0,2006018,-69.3103,162.1474,0,0,0,0,0,0,0,0,0
0,0,0,2006019,-69.2764,162.0841,0,0,0,0,-69.3945,162.7593,1,0,0
0,0,0,2006020,-69.2425,162.0196,0,0,0,0,-69.3443,162.5372,0,0,0
0,0,0,2006021,-69.21,161.9496,0,0,0,0,-69.2852,162.2983,0,0,0
0,0,0,2006022,-69.18,161.87,1,0,0,0,-69.2567,162.1866,1,31,7
0,0,0,2006023,-69.1533,161.7816,0,0,0,0,-69.2567,162.1866,1,0,0
0,0,0,2006024,-69.1289,161.6877,0,0,0,0,-69.2567,162.1866,1,0,0
0,0,0,2006025,-69.1056,161.5877,0,0,0,0,-69.1922,161.8761,1,0,0
0,0,0,2006026,-69.0823,161.4814,0,0,0,0,-69.1329,161.4574,1,0,0
0,0,0,2006027,-69.0577,161.3683,0,0,0,0,-69.1329,161.4574,1,0,0
0,0,0,2006028,-69.0307,161.2479,0,0,0,0,-69.1329,161.4574,1,0,0
0,0,0,2006029,-69,161.12,1,0,0,0,-69.1329,161.4574,1,31,7
0,0,0,2006030,-68.9635,160.9775,0,0,0,0,-69.1329,161.4574,1,0,0
0,0,0,2006031,-68.921,160.8172,0,0,0,0,-69.1329,161.4574,1,0,0
0,0,0,2006032,-68.8743,160.6439,0,0,0,0,-69.0463,161.0076,1,0,0
0,0,0,2006033,-68.8251,160.4626,0,0,0,0,-69.0463,161.0076,1,0,0
0,0,0,2006034,-68.7751,160.2783,0,0,0,0,-69.0463,161.0076,1,0,0
0,0,0,2006035,-68.7262,160.0957,0,0,0,0,-69.0648,160.6145,1,0,0
0,0,0,2006036,-68.68,159.92,1,0,0,0,-69.0648,160.6145,1,31,7
0,0,0,2006037,-68.6337,159.7359,0,0,0,0,-68.9046,160.5122,1,0,0
0,0,0,2006038,-68.5848,159.534,0,0,0,0,-68.9046,160.5122,1,0,0
0,0,0,2006039,-68.5355,159.3278,0,0,0,0,-68.677,159.9838,1,0,0
0,0,0,2006040,-68.4881,159.1308,0,0,0,0,-68.677,159.9838,1,0,0
0,0,0,2006041,-68.4449,158.9565,0,0,0,0,-68.5816,159.6306,1,0,0
0,0,0,2006042,-68.4081,158.8184,0,0,0,0,-68.5816,159.6306,1,0,0
0,0,0,2006043,-68.38,158.73,1,0,0,0,-68.5816,159.6306,1,31,7
0,0,0,2006044,-68.3597,158.6779,0,0,0,0,-68.5374,159.3907,0,0,0
0,0,0,2006045,-68.3435,158.6372,0,0,0,0,-68.4552,158.9453,0,0,0
0,0,0,2006046,-68.33,158.6044,0,0,0,0,-68.411,158.7054,1,0,0
0,0,0,2006047,-68.3175,158.5758,0,0,0,0,-68.411,158.7054,1,0,0
0,0,0,2006048,-68.3044,158.548,0,0,0,0,-68.411,158.7054,1,0,0
0,0,0,2006049,-68.2891,158.5172,0,0,0,0,-68.343,158.53,1,0,0
0,0,0,2006050,-68.27,158.48,1,0,0,0,-68.343,158.53,1,31,7
0,0,0,2006051,-68.2438,158.4384,0,0,0,0,-68.2711,158.4064,1,0,0
0,0,0,2006052,-68.2103,158.396,0,0,0,0,-68.2711,158.4064,1,0,0
0,0,0,2006053,-68.1721,158.3517,0,0,0,0,-68.2049,158.3983,1,0,0
0,0,0,2006054,-68.1322,158.3042,0,0,0,0,-68.2049,158.3983,1,0,0
0,0,0,2006055,-68.0934,158.2522,0,0,0,0,-68.082,158.5313,1,0,0
0,0,0,2006056,-68.0584,158.1946,0,0,0,0,-68.082,158.5313,1,0,0
0,0,0,2006057,-68.03,158.13,1,0,0,0,-68.0521,158.3531,1,31,7
0,0,0,2006058,-68.0051,158.0542,0,0,0,0,-67.9976,158.2132,1,0,0
0,0,0,2006059,-67.9796,157.9649,0,0,0,0,-67.9753,157.9765,1,0,0
0,0,0,2006060,-67.9552,157.8636,0,0,0,0,-67.9982,157.5462,1,0,0
0,0,0,2006061,-67.9335,157.7519,0,0,0,0,-67.9196,157.5032,1,0,0
0,0,0,2006062,-67.9159,157.6313,0,0,0,0,-67.952,157.4733,1,0,0
0,0,0,2006063,-67.9043,157.5035,0,0,0,0,-67.952,157.4733,1,0,0
0,0,0,2006064,-67.9,157.37,1,0,0,0,-67.8861,157.4262,1,31,7
0,0,0,2006065,-67.9009,157.2133,0,0,0,0,-67.8127,157.5126,1,0,0
0,0,0,2006066,-67.9032,157.0244,0,0,0,0,-67.8127,157.5126,1,0,0
0,0,0,2006067,-67.9065,156.8176,0,0,0,0,-67.7172,157.3793,1,0,0
0,0,0,2006068,-67.9103,156.6075,0,0,0,0,-67.7903,157.1015,1,0,0
0,0,0,2006069,-67.9141,156.4082,0,0,0,0,-67.7903,157.1015,1,0,0
0,0,0,2006070,-67.9175,156.2343,0,0,0,0,-67.7784,156.8575,1,0,0
0,0,0,2006071,-67.92,156.1,1,0,0,0,-67.7517,156.6303,1,31,7
0,0,0,2006072,-67.922,155.9945,0,0,0,0,-67.7517,156.6303,1,0,0
0,0,0,2006073,-67.9239,155.8974,0,0,0,0,-67.7333,156.4564,1,0,0
0,0,0,2006074,-67.9258,155.8091,0,0,0,0,-67.8714,156.1244,1,0,0
0,0,0,2006075,-67.9275,155.7299,0,0,0,0,-67.8714,156.1244,1,0,0
0,0,0,2006076,-67.9288,155.6601,0,0,0,0,-67.8714,156.1244,1,0,0
0,0,0,2006077,-67.9297,155.6,0,0,0,0,-67.8073,155.9372,1,0,0
0,0,0,2006078,-67.93,155.55,1,0,0,0,-67.8073,155.9372,1,31,7
0,0,0,2006079,-67.9213,155.5048,0,0,0,0,-67.8073,155.9372,1,0,0
0,0,0,2006080,-67.8981,155.4606,0,0,0,0,-67.8177,155.5164,1,0,0
0,0,0,2006081,-67.8653,155.4194,0,0,0,0,-67.8177,155.5164,1,0,0
0,0,0,2006082,-67.8274,155.3836,0,0,0,0,-67.8177,155.5164,1,0,0
0,0,0,2006083,-67.7891,155.3553,0,0,0,0,-67.8177,155.5164,1,0,0
0,0,0,2006084,-67.7551,155.3367,0,0,0,0,-67.8177,155.5164,1,0,0
0,0,0,2006085,-67.73,155.33,1,0,0,0,-67.8177,155.5164,1,31,7
0,0,0,2006086,-67.7108,155.3322,0,0,0,0,-67.6972,155.4406,1,0,0
0,0,0,2006087,-67.6918,155.3379,0,0,0,0,-67.6972,155.4406,1,0,0
0,0,0,2006088,-67.6739,155.3457,0,0,0,0,-67.6972,155.4406,1,0,0
0,0,0,2006089,-67.6579,155.3543,0,0,0,0,-67.6972,155.4406,1,0,0
0,0,0,2006090,-67.6447,155.3621,0,0,0,0,-67.7007,155.2974,1,0,0
0,0,0,2006091,-67.6351,155.3678,0,0,0,0,-67.7007,155.2974,1,0,0
0,0,0,2006092,-67.63,155.37,1,0,0,0,-67.7007,155.2974,1,31,7
0,0,0,2006093,-67.6279,155.3689,0,0,0,0,-67.7007,155.2974,1,0,0
0,0,0,2006094,-67.6265,155.3657,0,0,0,0,-67.7007,155.2974,1,0,0
0,0,0,2006095,-67.6255,155.3605,0,0,0,0,-67.5638,155.3781,1,0,0
0,0,0,2006096,-67.6247,155.3532,0,0,0,0,-67.5638,155.3781,1,0,0
0,0,0,2006097,-67.6237,155.344,0,0,0,0,-67.5638,155.3781,1,0,0
0,0,0,2006098,-67.6222,155.3329,0,0,0,0,-67.5689,155.1678,1,0,0
0,0,0,2006099,-67.62,155.32,1,0,0,0,-67.5689,155.1678,1,31,7
0,0,0,2006100,-67.6075,155.2457,0,0,0,0,-67.5689,155.1678,1,0,0
0,0,0,2006101,-67.5796,155.0714,0,0,0,0,-67.5689,155.1678,1,0,0
0,0,0,2006102,-67.5426,154.8285,0,0,0,0,-67.5439,154.8468,1,0,0
0,0,0,2006103,-67.5028,154.5485,0,0,0,0,-67.5439,154.8468,0,0,0
0,0,0,2006104,-67.4666,154.2628,0,0,0,0,-67.5439,154.8468,1,0,0
0,0,0,2006105,-67.4402,154.0028,0,0,0,0,-67.5041,154.2546,1,0,0
0,0,0,2006106,-67.43,153.8,1,0,0,0,-67.5041,154.2546,1,31,7
