date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2005303,-71.9,171.6,1,0,0,0,10,2
2005304,-71.7436,171.3569,0,0,0,0,0,0
2005305,-71.5952,171.126,0,0,0,0,0,0
2005306,-71.4585,170.9138,0,0,0,0,0,0
2005307,-71.3371,170.7267,0,0,0,0,0,0
2005308,-71.2345,170.5711,0,0,0,0,0,0
2005309,-71.1542,170.4534,0,0,0,0,0,0
2005310,-71.1,170.38,1,0,0,0,10,2
2005311,-71.0645,170.338,0,0,0,0,0,0
2005312,-71.0367,170.3073,0,-71.1568,171.0504,1,0,0
2005313,-71.0141,170.284,0,-71.0691,171.3731,1,0,0
2005314,-70.9944,170.2637,0,-71.0691,171.3731,1,0,0
2005315,-70.9754,170.2424,0,-70.9513,171.2524,1,0,0
2005316,-70.9547,170.2158,0,-70.9513,171.2524,1,0,0
2005317,-70.93,170.18,1,-70.9513,171.2524,1,10,2
2005318,0,0,0,-70.8497,171.0148,1,0,0
2005319,0,0,0,-70.8497,171.0148,1,0,0
2005320,0,0,0,-70.9233,171.1252,1,0,0
2005321,0,0,0,-70.9233,171.1252,1,0,0
2005322,0,0,0,-70.8586,170.7605,1,0,0
2005323,0,0,0,-70.7979,170.583,1,0,0
2005324,0,0,0,-70.7564,170.355,1,0,0
2005325,0,0,0,-70.6957,170.2054,1,0,0
2005326,0,0,0,-70.6318,170.1517,1,0,0
2005327,0,0,0,-70.6318,170.1517,1,0,0
2005328,0,0,0,-70.5707,169.9656,1,0,0
2005329,0,0,0,-70.5707,169.9656,1,0,0
2005330,0,0,0,-70.5105,169.8152,1,0,0
2005331,0,0,0,-70.4653,169.7213,1,0,0
2005332,0,0,0,-70.4216,169.4966,1,0,0
2005333,0,0,0,-70.4216,169.4966,1,0,0
2005338,-70.22,167.65,1,0,0,0,10,2
2005339,-70.1953,167.5792,0,0,0,0,0,0
2005340,-70.1717,167.5184,0,0,0,0,0,0
2005341,-70.1493,167.4635,0,0,0,0,0,0
2005342,-70.1279,167.4103,0,0,0,0,0,0
2005343,-70.1076,167.3548,0,0,0,0,0,0
2005344,-70.0883,167.2927,0,0,0,0,0,0
2005345,-70.07,167.22,1,0,0,0,10,2
2006015,-69.57,161.98,1,0,0,0,10,2
2006016,-69.5518,161.9415,0,0,0,0,0,0
2006017,-69.5319,161.911,0,0,0,0,0,0
2006018,-69.511,161.8853,0,0,0,0,0,0
2006019,-69.4897,161.8614,0,0,0,0,0,0
2006020,-69.4687,161.8362,0,0,0,0,0,0
2006021,-69.4486,161.8068,0,0,0,0,0,0
2006022,-69.43,161.77,1,0,0,0,10,2
2006023,-69.4138,161.7265,0,0,0,0,0,0
2006024,-69.3998,161.6778,0,0,0,0,0,0
2006025,-69.3866,161.6223,0,0,0,0,0,0
2006026,-69.3733,161.5585,0,0,0,0,0,0
2006027,-69.3585,161.4845,0,0,0,0,0,0
2006028,-69.3411,161.3989,0,0,0,0,0,0
2006029,-69.32,161.3,1,0,0,0,10,2
2006030,-69.2894,161.1456,0,0,0,0,0,0
2006031,-69.247,160.9129,0,0,0,0,0,0
2006032,-69.197,160.6292,0,0,0,0,0,0
2006033,-69.1432,160.3217,0,0,0,0,0,0
2006034,-69.0898,160.0178,0,0,0,0,0,0
2006035,-69.0407,159.7448,0,0,0,0,0,0
2006036,-69,159.53,1,0,0,0,10,2
2006037,-68.9661,159.3598,0,0,0,0,0,0
2006038,-68.9345,159.2021,0,0,0,0,0,0
2006039,-68.9048,159.0562,0,0,0,0,0,0
2006040,-68.8769,158.9216,0,0,0,0,0,0
2006041,-68.8503,158.7978,0,0,0,0,0,0
2006042,-68.8248,158.6841,0,0,0,0,0,0
2006043,-68.8,158.58,1,0,0,0,10,2
2006044,-68.7763,158.4845,0,0,0,0,0,0
2006045,-68.754,158.3964,0,0,0,0,0,0
2006046,-68.7327,158.3146,0,0,0,0,0,0
2006047,-68.712,158.2382,0,0,0,0,0,0
2006048,-68.6916,158.1659,0,0,0,0,0,0
2006049,-68.6711,158.0969,0,0,0,0,0,0
2006050,-68.65,158.03,1,0,0,0,10,2
2006051,-68.6273,157.9684,0,0,0,0,0,0
2006052,-68.6028,157.9137,0,0,0,0,0,0
2006053,-68.5778,157.8628,0,0,0,0,0,0
2006054,-68.5538,157.8122,0,0,0,0,0,0
2006055,-68.5319,157.7587,0,0,0,0,0,0
2006056,-68.5136,157.6991,0,0,0,0,0,0
2006057,-68.5,157.63,1,0,0,0,10,2
2006058,-68.4894,157.5507,0,0,0,0,0,0
2006059,-68.4792,157.4624,0,0,0,0,0,0
2006060,-68.4698,157.3646,0,0,0,0,0,0
2006061,-68.4618,157.2568,0,0,0,0,0,0
2006062,-68.4555,157.1388,0,0,0,0,0,0
2006063,-68.4515,157.01,0,0,0,0,0,0
2006064,-68.45,156.87,1,0,0,0,10,2
2006065,-68.4539,156.6856,0,0,0,0,0,0
2006066,-68.4639,156.4425,0,0,0,0,0,0
2006067,-68.4776,156.1685,0,0,0,0,0,0
2006068,-68.4924,155.8914,0,0,0,0,0,0
2006069,-68.5061,155.639,0,0,0,0,0,0
2006070,-68.5161,155.4393,0,0,0,0,0,0
2006071,-68.52,155.32,1,0,0,0,10,2
2006072,-68.5187,155.2591,0,0,0,0,0,0
2006073,-68.5148,155.2127,0,0,0,0,0,0
2006074,-68.5089,155.176,0,0,0,0,0,0
2006075,-68.5011,155.1442,0,0,0,0,0,0
2006076,-68.4918,155.1125,0,0,0,0,0,0
2006077,-68.4813,155.076,0,0,0,0,0,0
2006078,-68.47,155.03,1,0,0,0,10,2
2006079,-68.4511,154.9638,0,0,0,0,0,0
