date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2007028,-76.05,168.13,1,0,0,0,10,2
2007029,-76.0505,168.1374,0,0,0,0,0,0
2007030,-76.0519,168.1427,0,0,0,0,0,0
2007031,-76.0541,168.1463,0,0,0,0,0,0
2007032,-76.0572,168.1484,0,0,0,0,0,0
2007033,-76.0609,168.1495,0,0,0,0,0,0
2007034,-76.0652,168.1499,0,0,0,0,0,0
2007035,-76.07,168.15,1,0,0,0,10,2
2007036,-76.0804,168.1345,0,0,0,0,0,0
2007037,-76.0997,168.0945,0,0,0,0,0,0
2007038,-76.125,168.0398,0,0,0,0,0,0
2007039,-76.1535,167.9802,0,0,0,0,0,0
2007040,-76.1824,167.9255,0,0,0,0,0,0
2007041,-76.2088,167.8855,0,0,0,0,0,0
2007042,-76.23,167.87,1,0,0,0,10,2
2007043,-76.2473,167.8733,0,0,0,0,0,0
2007044,-76.2639,167.8819,0,0,0,0,0,0
2007045,-76.2796,167.8936,0,0,0,0,0,0
2007046,-76.2942,167.9064,0,0,0,0,0,0
2007047,-76.3076,167.9181,0,0,0,0,0,0
2007048,-76.3196,167.9267,0,0,0,0,0,0
2007049,-76.33,167.93,1,0,0,0,10,2
2007050,-76.3386,167.8513,0,0,0,0,0,0
2007051,-76.3459,167.6475,0,0,0,0,0,0
2007052,-76.3523,167.3672,0,0,0,0,0,0
2007053,-76.3583,167.0587,0,0,0,0,0,0
2007054,-76.3646,166.7707,0,0,0,0,0,0
2007055,-76.3716,166.5516,0,0,0,0,0,0
2007056,-76.38,166.45,1,0,0,0,10,2
2007057,-76.3917,166.4248,0,0,0,0,0,0
2007058,-76.4072,166.4029,0,0,0,0,0,0
2007059,-76.4244,166.3844,0,0,0,0,0,0
2007060,-76.4413,166.3697,0,0,0,0,0,0
2007061,-76.4559,166.3589,0,0,0,0,0,0
2007062,-76.4661,166.3523,0,0,0,0,0,0
2007063,-76.47,166.35,1,0,0,0,10,2
2007064,-76.4672,166.3511,0,0,0,0,0,0
2007065,-76.4601,166.354,0,0,0,0,0,0
2007066,-76.4503,166.3579,0,0,0,0,0,0
2007067,-76.4397,166.3621,0,0,0,0,0,0
2007068,-76.4299,166.366,0,0,0,0,0,0
2007069,-76.4228,166.3689,0,0,0,0,0,0
2007070,-76.42,166.37,1,0,0,0,10,2
2007071,-76.42,166.3539,0,0,0,0,0,0
2007072,-76.42,166.3125,0,0,0,0,0,0
2007073,-76.42,166.2559,0,0,0,0,0,0
2007074,-76.42,166.1941,0,0,0,0,0,0
2007075,-76.42,166.1375,0,0,0,0,0,0
2007076,-76.42,166.0961,0,0,0,0,0,0
2007077,-76.42,166.08,1,0,0,0,10,2
2007078,-76.4217,166.0961,0,0,0,0,0,0
2007079,-76.4259,166.1375,0,0,0,0,0,0
2007080,-76.4318,166.1941,0,0,0,0,0,0
2007081,-76.4382,166.2559,0,0,0,0,0,0
2007082,-76.4441,166.3125,0,0,0,0,0,0
2007083,-76.4483,166.3539,0,0,0,0,0,0
2007084,-76.45,166.37,1,0,0,0,10,2
2007085,-76.4464,166.344,0,0,0,0,0,0
2007086,-76.4365,166.2768,0,0,0,0,0,0
2007087,-76.4221,166.185,0,0,0,0,0,0
2007088,-76.4046,166.085,0,0,0,0,0,0
2007089,-76.3857,165.9932,0,0,0,0,0,0
2007090,-76.367,165.926,0,0,0,0,0,0
2007091,-76.35,165.9,1,0,0,0,10,2
2007092,-76.3333,165.9122,0,0,0,0,0,0
2007093,-76.315,165.9436,0,0,0,0,0,0
2007094,-76.2959,165.9866,0,0,0,0,0,0
2007095,-76.277,166.0334,0,0,0,0,0,0
2007096,-76.2591,166.0764,0,0,0,0,0,0
2007097,-76.2431,166.1078,0,0,0,0,0,0
2007098,-76.23,166.12,1,0,0,0,10,2
2007099,-76.22,166.12,0,0,0,0,0,0
2007100,-76.2122,166.12,0,0,0,0,0,0
2007101,-76.2056,166.12,0,0,0,0,0,0
2007102,-76.1991,166.12,0,0,0,0,0,0
2007103,-76.1917,166.12,0,0,0,0,0,0
2007104,-76.1824,166.12,0,0,0,0,0,0
2007105,-76.17,166.12,1,0,0,0,10,2
2007106,-76.1511,166.1217,0,0,0,0,0,0
2007107,-76.1233,166.1269,0,0,0,0,0,0
2007108,-76.0875,166.1353,0,0,0,0,0,0
2007109,-76.0444,166.147,0,0,0,0,0,0
2007110,-75.9949,166.1617,0,0,0,0,0,0
2007111,-75.9398,166.1794,0,0,0,0,0,0
2007112,-75.88,166.2,1,0,0,0,10,2
2007113,-75.79,166.3059,0,0,0,0,0,0
2007114,-75.6567,166.5499,0,0,0,0,0,0
2007115,-75.4996,166.8874,0,0,0,0,0,0
2007116,-75.338,167.2738,0,0,0,0,0,0
2007117,-75.1913,167.6644,0,0,0,0,0,0
2007118,-75.0789,168.0147,0,0,0,0,0,0
2007119,-75.02,168.28,1,0,0,0,10,2
2007120,-74.9984,168.4756,0,0,0,0,0,0
2007121,-74.9832,168.6502,0,0,0,0,0,0
2007122,-74.9721,168.8092,0,0,0,0,0,0
2007123,-74.9626,168.9581,0,0,0,0,0,0
2007124,-74.9523,169.1026,0,0,0,0,0,0
2007125,-74.9389,169.248,0,0,0,0,0,0
2007126,-74.92,169.4,1,0,0,0,10,2
2007127,-74.8909,169.5612,0,0,0,0,0,0
2007128,-74.85,169.7275,0,0,0,0,0,0
2007129,-74.7998,169.8946,0,0,0,0,0,0
2007130,-74.7423,170.0579,0,0,0,0,0,0
2007131,-74.68,170.2128,0,0,0,0,0,0
2007132,-74.6152,170.3551,0,0,0,0,0,0
2007133,-74.55,170.48,1,0,0,0,10,2
2007134,-74.4766,170.5904,0,0,0,0,0,0
2007135,-74.3895,170.6928,0,0,0,0,0,0
2007136,-74.2952,170.7882,0,0,0,0,0,0
2007137,-74.1998,170.8776,0,0,0,0,0,0
2007138,-74.1096,170.962,0,0,0,0,0,0
2007139,-74.0309,171.0424,0,0,0,0,0,0
2007140,-73.97,171.12,1,0,0,0,10,2
2007141,-73.9256,171.1949,0,0,0,0,0,0
2007142,-73.8901,171.2666,0,0,0,0,0,0
2007143,-73.8597,171.3352,0,0,0,0,0,0
2007144,-73.8311,171.4008,0,0,0,0,0,0
2007145,-73.8006,171.4634,0,0,0,0,0,0
2007146,-73.7648,171.5231,0,0,0,0,0,0
2007147,-73.72,171.58,1,0,0,0,10,2
2007161,-72.27,172.23,1,0,0,0,10,2
2007162,-72.1638,172.2003,0,0,0,0,0,0
2007163,-72.0565,172.1187,0,0,0,0,0,0
2007164,-71.9485,171.9967,0,0,0,0,0,0
2007165,-71.8405,171.8454,0,0,0,0,0,0
