date,nic_1,nic_2,nic_3,size_1,size_2
2010024,-65.7,55.48,1,12,2
2010025,-65.7,55.48,0,0,0
2010026,-65.7,55.48,0,0,0
2010027,-65.7,55.48,0,0,0
2010028,-65.7,55.48,0,0,0
2010029,-65.7,55.48,0,0,0
2010030,-65.7,55.48,0,0,0
2010031,-65.7,55.48,1,12,2
2010032,-65.7,55.4794,0,0,0
2010033,-65.7,55.478,0,0,0
2010034,-65.7,55.4761,0,0,0
2010035,-65.7,55.4739,0,0,0
2010036,-65.7,55.472,0,0,0
2010037,-65.7,55.4706,0,0,0
2010038,-65.7,55.47,1,12,2
2010039,-65.6989,55.47,0,0,0
2010040,-65.696,55.47,0,0,0
2010041,-65.6921,55.47,0,0,0
2010042,-65.6879,55.47,0,0,0
2010043,-65.684,55.47,0,0,0
2010044,-65.6811,55.47,0,0,0
2010045,-65.68,55.47,1,12,2
2010046,-65.68,55.47,0,0,0
2010047,-65.68,55.47,0,0,0
2010048,-65.68,55.47,0,0,0
2010049,-65.68,55.47,0,0,0
2010050,-65.68,55.47,0,0,0
2010051,-65.68,55.47,0,0,0
2010052,-65.68,55.47,1,12,2
2010053,-65.68,55.47,0,0,0
2010054,-65.68,55.47,0,0,0
2010055,-65.68,55.47,0,0,0
2010056,-65.68,55.47,0,0,0
2010057,-65.68,55.47,0,0,0
2010058,-65.68,55.47,0,0,0
2010059,-65.68,55.47,1,12,2
2010060,-65.68,55.47,0,0,0
2010061,-65.68,55.47,0,0,0
2010062,-65.68,55.47,0,0,0
2010063,-65.68,55.47,0,0,0
2010064,-65.68,55.47,0,0,0
2010065,-65.68,55.47,0,0,0
2010066,-65.68,55.47,1,12,2
2010067,-65.68,55.47,0,0,0
2010068,-65.68,55.47,0,0,0
2010069,-65.68,55.47,0,0,0
2010070,-65.68,55.47,0,0,0
2010071,-65.68,55.47,0,0,0
2010072,-65.68,55.47,0,0,0
2010073,-65.68,55.47,1,12,2
2010074,-65.68,55.47,0,0,0
2010075,-65.68,55.47,0,0,0
2010076,-65.68,55.47,0,0,0
2010077,-65.68,55.47,0,0,0
2010078,-65.68,55.47,0,0,0
2010079,-65.68,55.47,0,0,0
2010080,-65.68,55.47,1,12,2
2010081,-65.68,55.47,0,0,0
2010082,-65.68,55.47,0,0,0
2010083,-65.68,55.47,0,0,0
2010084,-65.68,55.47,0,0,0
2010085,-65.68,55.47,0,0,0
2010086,-65.68,55.47,0,0,0
2010087,-65.68,55.47,1,12,2
2010088,-65.68,55.47,0,0,0
2010089,-65.68,55.47,0,0,0
2010090,-65.68,55.47,0,0,0
2010091,-65.68,55.47,0,0,0
2010092,-65.68,55.47,0,0,0
2010093,-65.68,55.47,0,0,0
2010094,-65.68,55.47,1,12,2
2010095,-65.68,55.47,0,0,0
2010096,-65.68,55.47,0,0,0
2010097,-65.68,55.47,0,0,0
2010098,-65.68,55.47,0,0,0
2010099,-65.68,55.47,0,0,0
2010100,-65.68,55.47,0,0,0
2010101,-65.68,55.47,1,12,2
2010102,-65.68,55.47,0,0,0
2010103,-65.68,55.47,0,0,0
2010104,-65.68,55.47,0,0,0
2010105,-65.68,55.47,0,0,0
2010106,-65.68,55.47,0,0,0
2010107,-65.68,55.47,0,0,0
2010108,-65.68,55.47,1,12,2
2010109,-65.68,55.47,0,0,0
2010110,-65.68,55.47,0,0,0
2010111,-65.68,55.47,0,0,0
2010112,-65.68,55.47,0,0,0
2010113,-65.68,55.47,0,0,0
2010114,-65.68,55.47,0,0,0
2010115,-65.68,55.47,1,12,2
2010116,-65.68,55.47,0,0,0
2010117,-65.68,55.47,0,0,0
2010118,-65.68,55.47,0,0,0
2010119,-65.68,55.47,0,0,0
2010120,-65.68,55.47,0,0,0
2010121,-65.68,55.47,0,0,0
2010122,-65.68,55.47,1,12,2
2010123,-65.68,55.4689,0,0,0
2010124,-65.68,55.466,0,0,0
2010125,-65.68,55.4621,0,0,0
2010126,-65.68,55.4579,0,0,0
2010127,-65.68,55.454,0,0,0
2010128,-65.68,55.4511,0,0,0
2010129,-65.68,55.45,1,12,2
2010130,-65.68,55.45,0,0,0
2010131,-65.68,55.45,0,0,0
2010132,-65.68,55.45,0,0,0
2010133,-65.68,55.45,0,0,0
2010134,-65.68,55.45,0,0,0
2010135,-65.68,55.45,0,0,0
2010136,-65.68,55.45,1,12,2
2010137,-65.68,55.45,0,0,0
2010138,-65.68,55.45,0,0,0
2010139,-65.68,55.45,0,0,0
2010140,-65.68,55.45,0,0,0
2010141,-65.68,55.45,0,0,0
2010142,-65.68,55.45,0,0,0
2010143,-65.68,55.45,1,12,2
2010144,-65.6828,55.4511,0,0,0
2010145,-65.6899,55.454,0,0,0
2010146,-65.6997,55.4579,0,0,0
2010147,-65.7103,55.4621,0,0,0
2010148,-65.7201,55.466,0,0,0
2010149,-65.7272,55.4689,0,0,0
2010150,-65.73,55.47,1,12,2
2010151,-65.73,55.47,0,0,0
2010152,-65.73,55.47,0,0,0
2010153,-65.73,55.47,0,0,0
2010154,-65.73,55.47,0,0,0
2010155,-65.73,55.47,0,0,0
2010156,-65.73,55.47,0,0,0
2010157,-65.73,55.47,1,12,2
2010158,-65.73,55.47,0,0,0
2010159,-65.73,55.47,0,0,0
2010160,-65.73,55.47,0,0,0
2010161,-65.73,55.47,0,0,0
2010162,-65.73,55.47,0,0,0
2010163,-65.73,55.47,0,0,0
2010164,-65.73,55.47,1,12,2
2010165,-65.73,55.47,0,0,0
2010166,-65.73,55.47,0,0,0
2010167,-65.73,55.47,0,0,0
2010168,-65.73,55.47,0,0,0
2010169,-65.73,55.47,0,0,0
2010170,-65.73,55.47,0,0,0
2010171,-65.73,55.47,1,12,2
2010172,-65.7291,55.4688,0,0,0
2010173,-65.7267,55.4656,0,0,0
2010174,-65.7229,55.4606,0,0,0
2010175,-65.7181,55.4541,0,0,0
2010176,-65.7125,55.4467,0,0,0
2010177,-65.7064,55.4385,0,0,0
2010178,-65.7,55.43,1,12,2
