ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2012365,-75.03,-60.13,1,0,0,0,13,3
0,0,0,2012366,-74.9996,-60.2744,0,0,0,0,0,0
0,0,0,2013001,-74.9846,-60.3478,0,0,0,0,0,0
-75.0365,-60.1471,1,2013002,-74.9551,-60.4905,0,-75.0365,-60.1471,1,0,0
-75.0365,-60.1471,1,2013003,-74.9266,-60.6193,0,-75.0365,-60.1471,1,0,0
-75.0365,-60.1471,1,2013004,-74.8994,-60.724,0,-75.0365,-60.1471,1,0,0
-75.0155,-60.1633,1,2013005,-74.8738,-60.7943,0,-75.0155,-60.1633,1,0,0
-75.0155,-60.1633,1,2013006,-74.85,-60.82,1,-75.0155,-60.1633,1,13,2
-75.0155,-60.1633,1,2013007,0,0,0,-75.0155,-60.1633,1,0,0
-74.9532,-60.4506,1,2013008,0,0,0,-74.9532,-60.4506,1,0,0
-74.9554,-60.3855,1,2013009,0,0,0,-74.9554,-60.3855,1,0,0
-74.9366,-60.3372,1,2013010,0,0,0,-74.9366,-60.3372,1,0,0
-74.9442,-60.231,1,2013011,0,0,0,-74.9442,-60.231,1,0,0
-74.9742,-60.355,1,2013012,0,0,0,-74.9742,-60.355,1,0,0
-74.9819,-60.4073,1,2013013,0,0,0,-74.9819,-60.4073,1,0,0
-74.995,-60.3385,1,2013014,0,0,0,-74.995,-60.3385,1,0,0
-75.0083,-60.3494,1,2013015,0,0,0,-75.0083,-60.3494,1,0,0
-74.9422,-60.3746,1,2013016,0,0,0,-74.9422,-60.3746,1,0,0
-74.8045,-60.7024,1,2013017,0,0,0,-74.8045,-60.7024,1,0,0
-74.8357,-60.5171,1,2013018,0,0,0,-74.8357,-60.5171,1,0,0
-74.7993,-60.5859,1,2013019,0,0,0,-74.7993,-60.5859,1,0,0
-74.7559,-60.6454,0,2013020,-74.59,-60.8,1,-74.7559,-60.6454,0,13,2
-74.7111,-60.6959,1,2013021,-74.5683,-60.7934,0,-74.7111,-60.6959,1,0,0
-74.6705,-60.7335,1,2013022,-74.5474,-60.78,0,-74.6705,-60.7335,1,0,0
-74.6563,-60.7152,1,2013023,-74.5256,-60.7606,0,-74.6563,-60.7152,1,0,0
-74.6035,-60.6715,1,2013024,-74.5015,-60.7361,0,-74.6035,-60.6715,1,0,0
-74.4824,-60.6371,1,2013025,-74.4735,-60.7073,0,-74.4824,-60.6371,1,0,0
-74.4396,-60.5062,1,2013026,-74.4402,-60.675,0,-74.4396,-60.5062,1,0,0
-74.3527,-60.5455,1,2013027,-74.4,-60.64,1,-74.3527,-60.5455,1,13,2
-74.2901,-60.4381,1,2013028,-74.327,-60.5849,0,-74.2901,-60.4381,1,0,0
-74.2781,-60.4352,1,2013029,-74.2084,-60.4997,0,-74.2781,-60.4352,1,0,0
-74.1844,-60.3556,1,2013030,-74.0625,-60.3963,0,-74.1844,-60.3556,1,0,0
-74.0667,-60.2708,1,2013031,-73.9075,-60.2867,0,-74.0667,-60.2708,1,0,0
-73.8775,-60.1767,1,2013032,-73.7616,-60.1828,0,-73.8775,-60.1767,1,0,0
-73.8057,-60.1613,0,2013033,-73.643,-60.0966,0,-73.8057,-60.1613,0,0,0
-73.7598,-60.1526,0,2013034,-73.57,-60.04,1,-73.7598,-60.1526,0,13,2
-73.711,-60.1498,1,2013035,-73.5322,-60.0063,0,-73.711,-60.1498,1,0,0
-73.6474,-60.1879,1,2013036,-73.5044,-59.9795,0,-73.6474,-60.1879,1,0,0
-73.6902,-60.0915,1,2013037,-73.4828,-59.9573,0,-73.6902,-60.0915,1,0,0
-73.721,-60.1391,1,2013038,-73.4635,-59.9374,0,-73.721,-60.1391,1,0,0
-73.6429,-60.1604,1,2013039,-73.4425,-59.9178,0,-73.6429,-60.1604,1,0,0
-73.6505,-60.0623,1,2013040,-73.416,-59.896,0,-73.6505,-60.0623,1,0,0
-73.6054,-60.0719,1,2013041,-73.38,-59.87,1,-73.6054,-60.0719,1,13,2
-73.5645,-59.9633,1,2013042,-73.3183,-59.8358,0,-73.5645,-59.9633,1,0,0
-73.6364,-60.0463,1,2013043,-73.2255,-59.7937,0,-73.6364,-60.0463,1,0,0
-73.6485,-60.122,1,2013044,-73.1141,-59.7483,0,-73.6485,-60.122,1,0,0
-73.6231,-60.1092,1,2013045,-72.9963,-59.7039,0,-73.6231,-60.1092,1,0,0
-73.6045,-60.1119,0,2013046,-72.8848,-59.6648,0,-73.6045,-60.1119,0,0,0
