ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000072,-78.1,-177.2,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000170,-72.1,171.6,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000171,-71.996,171.5825,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000172,-71.8732,171.5701,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000173,-71.7379,171.5603,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000174,-71.5965,171.5507,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000175,-71.4555,171.5391,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000176,-71.3212,171.5229,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000177,-71.2,171.5,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000178,-71.0804,171.3847,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000179,-70.9525,171.1285,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000180,-70.8251,170.7848,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000181,-70.7073,170.4068,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000182,-70.6079,170.0478,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000183,-70.5358,169.7611,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000184,-70.5,169.6,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000198,-70.4,169,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000226,-69.8,164.7,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000227,-69.7824,164.5903,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000228,-69.7634,164.4748,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000229,-69.7445,164.3619,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000230,-69.7272,164.2597,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000231,-69.7131,164.1765,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000232,-69.7035,164.1205,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000233,-69.7,164.1,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000247,-69.9,165.3,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000261,-69.9,163.2,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000275,-69.4,162.1,1,0,0,0,0,0,0,0,0,0,22,8
0,0,0,2000289,-69.4,161.4,1,0,0,0,0,0,0,0,0,0,22,7
0,0,0,2000310,-69.4,161.4,1,0,0,0,0,0,0,0,0,0,22,7
0,0,0,2000311,-69.4,161.385,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000312,-69.4,161.346,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000313,-69.4,161.2917,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000314,-69.4,161.2311,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000315,-69.4,161.173,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000316,-69.4,161.1264,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000317,-69.4,161.1,1,0,0,0,0,0,0,0,0,0,22,7
0,0,0,2000331,-69.3,161,1,0,0,0,0,0,0,0,0,0,22,7
0,0,0,2000332,-69.2753,160.9386,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000333,-69.2324,160.8022,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000334,-69.1788,160.6166,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000335,-69.1215,160.4077,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000336,-69.0678,160.2014,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000337,-69.0249,160.0235,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000338,-69,159.9,1,0,0,0,0,0,0,0,0,0,22,7
0,0,0,2001115,0,0,0,0,0,0,-68.2157,152.0982,1,0,0,0,0,0
0,0,0,2001116,0,0,0,0,0,0,-68.2157,152.0982,1,0,0,0,0,0
0,0,0,2001117,0,0,0,0,0,0,-68.2054,152.1153,0,0,0,0,0,0
0,0,0,2001118,0,0,0,0,0,0,-68.1803,152.1529,0,0,0,0,0,0
0,0,0,2001119,0,0,0,0,0,0,-68.1491,152.1906,0,0,0,0,0,0
0,0,0,2001120,0,0,0,0,0,0,-68.1205,152.2077,1,0,0,0,0,0
0,0,0,2001121,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001122,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001123,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001124,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001125,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001126,0,0,0,0,0,0,-68.0956,152.1166,1,0,0,0,0,0
0,0,0,2001127,0,0,0,0,0,0,-68.1883,151.9653,1,0,0,0,0,0
0,0,0,2001128,0,0,0,0,0,0,-68.1883,151.9653,1,0,0,0,0,0
0,0,0,2001129,0,0,0,0,0,0,-68.0888,151.8981,1,0,0,0,0,0
0,0,0,2001130,0,0,0,0,0,0,-68.0888,151.8981,1,0,0,0,0,0
0,0,0,2001131,0,0,0,0,0,0,-68.0888,151.8981,1,0,0,0,0,0
0,0,0,2001132,0,0,0,0,0,0,-68.0935,151.824,0,0,0,0,0,0
0,0,0,2001133,0,0,0,0,0,0,-68.1023,151.6864,0,0,0,0,0,0
0,0,0,2001134,0,0,0,0,0,0,-68.107,151.6123,1,0,0,0,0,0
0,0,0,2001135,0,0,0,0,0,0,-68.0552,151.8137,1,0,0,0,0,0
0,0,0,2001136,0,0,0,0,0,0,-68.0552,151.8137,1,0,0,0,0,0
0,0,0,2001137,0,0,0,0,0,0,-68.0162,151.8663,1,0,0,0,0,0
0,0,0,2001138,0,0,0,0,0,0,-68.0653,151.8338,1,0,0,0,0,0
0,0,0,2001139,0,0,0,0,0,0,-68.0872,151.6788,1,0,0,0,0,0
0,0,0,2001140,0,0,0,0,0,0,-68.0872,151.6788,1,0,0,0,0,0
0,0,0,2001141,0,0,0,0,0,0,-67.9947,151.7894,1,0,0,0,0,0
0,0,0,2001142,0,0,0,0,0,0,-67.9947,151.7894,1,0,0,0,0,0
0,0,0,2001143,0,0,0,0,0,0,-67.9585,151.7357,0,0,0,0,0,0
0,0,0,2001144,0,0,0,0,0,0,-67.9222,151.6819,1,0,0,0,0,0
0,0,0,2001145,0,0,0,0,0,0,-67.9222,151.6819,1,0,0,0,0,0
0,0,0,2001146,0,0,0,0,0,0,-67.9222,151.6819,1,0,0,0,0,0
0,0,0,2001147,0,0,0,0,0,0,-67.9222,151.6819,1,0,0,0,0,0
0,0,0,2001148,0,0,0,0,0,0,-67.9222,151.6819,1,0,0,0,0,0
0,0,0,2001149,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001150,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001151,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001152,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001153,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001154,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
0,0,0,2001155,0,0,0,0,0,0,-67.9404,151.4637,1,0,0,0,0,0
