ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000359,-73.9,-178.6,1,0,0,0,0,0,0,0,0,0,19,8
0,0,0,2000361,0,0,0,0,0,0,-73.8903,-178.542,1,0,0,0,0,0
0,0,0,2000362,0,0,0,0,0,0,-73.8903,-178.542,1,0,0,0,0,0
0,0,0,2000363,0,0,0,0,0,0,-73.8757,-178.6241,1,0,0,0,0,0
0,0,0,2000364,0,0,0,0,0,0,-73.8144,-178.631,1,0,0,0,0,0
0,0,0,2000365,0,0,0,0,0,0,-73.8721,-178.6277,1,0,0,0,0,0
0,0,0,2000366,0,0,0,0,0,0,-73.8134,-178.4899,1,0,0,0,0,0
0,0,0,2001001,0,0,0,0,0,0,-73.7654,-178.5664,1,0,0,0,0,0
0,0,0,2001002,0,0,0,0,0,0,-73.7526,-178.566,1,0,0,0,0,0
0,0,0,2001003,0,0,0,0,0,0,-73.6873,-178.3453,1,0,0,0,0,0
0,0,0,2001004,0,0,0,0,0,0,-73.7098,-178.3544,1,0,0,0,0,0
0,0,0,2001005,0,0,0,0,0,0,-73.7068,-178.2715,1,0,0,0,0,0
0,0,0,2001006,0,0,0,0,0,0,-73.7269,-178.2693,1,0,0,0,0,0
0,0,0,2001007,0,0,0,0,0,0,-73.5654,-178.2865,1,0,0,0,0,0
0,0,0,2001008,0,0,0,0,0,0,-73.5654,-178.2865,1,0,0,0,0,0
0,0,0,2001009,0,0,0,0,0,0,-73.4757,-178.3957,1,0,0,0,0,0
0,0,0,2001010,0,0,0,0,0,0,-73.4385,-178.3589,1,0,0,0,0,0
0,0,0,2001011,0,0,0,0,0,0,-73.3493,-178.2763,1,0,0,0,0,0
0,0,0,2001012,0,0,0,0,0,0,-73.3493,-178.2763,1,0,0,0,0,0
0,0,0,2001013,0,0,0,0,0,0,-73.264,-178.4405,1,0,0,0,0,0
0,0,0,2001014,0,0,0,0,0,0,-73.264,-178.4405,1,0,0,0,0,0
0,0,0,2001015,0,0,0,0,0,0,-73.264,-178.4405,1,0,0,0,0,0
0,0,0,2001016,0,0,0,0,0,0,-73.2206,-177.8174,1,0,0,0,0,0
0,0,0,2001017,0,0,0,0,0,0,-73.2206,-177.8174,1,0,0,0,0,0
0,0,0,2001018,0,0,0,0,0,0,-73.2444,-177.6738,1,0,0,0,0,0
0,0,0,2001019,0,0,0,0,0,0,-73.1809,-177.1766,1,0,0,0,0,0
0,0,0,2001020,0,0,0,0,0,0,-73.1809,-177.1766,1,0,0,0,0,0
0,0,0,2001021,-73.2,-177.1,1,0,0,0,-73.1809,-177.1766,1,0,0,0,19,8
0,0,0,2001022,0,0,0,0,0,0,-73.1809,-177.1766,1,0,0,0,0,0
0,0,0,2001023,0,0,0,0,0,0,-73.1809,-177.1766,1,0,0,0,0,0
0,0,0,2001024,0,0,0,0,0,0,-73.1809,-177.1766,1,0,0,0,0,0
0,0,0,2001025,0,0,0,0,0,0,-73.2313,-176.7648,1,0,0,0,0,0
0,0,0,2001026,0,0,0,0,0,0,-73.2313,-176.7648,1,0,0,0,0,0
0,0,0,2001027,0,0,0,0,0,0,-73.2313,-176.7648,1,0,0,0,0,0
0,0,0,2001028,0,0,0,0,0,0,-73.2313,-176.7648,1,0,0,0,0,0
0,0,0,2001029,0,0,0,0,0,0,-73.1753,-176.4672,1,0,0,0,0,0
0,0,0,2001030,0,0,0,0,0,0,-73.1753,-176.4672,1,0,0,0,0,0
0,0,0,2001031,0,0,0,0,0,0,-73.1753,-176.4672,1,0,0,0,0,0
0,0,0,2001032,0,0,0,0,0,0,-73.1753,-176.4672,1,0,0,0,0,0
0,0,0,2001033,0,0,0,0,0,0,-73.1753,-176.4672,1,0,0,0,0,0
0,0,0,2001034,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001035,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001036,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001037,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001038,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001039,0,0,0,0,0,0,-73.1325,-176.5418,1,0,0,0,0,0
0,0,0,2001040,0,0,0,0,0,0,-73.1425,-176.819,1,0,0,0,0,0
0,0,0,2001041,0,0,0,0,0,0,-73.1425,-176.819,1,0,0,0,0,0
0,0,0,2001042,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001043,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001044,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001045,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001046,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001047,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001048,0,0,0,0,0,0,-73.0973,-176.843,1,0,0,0,0,0
0,0,0,2001049,0,0,0,0,0,0,-73.1629,-176.8043,1,0,0,0,0,0
0,0,0,2001050,0,0,0,0,0,0,-73.1629,-176.8043,1,0,0,0,0,0
0,0,0,2001051,0,0,0,0,0,0,-73.1629,-176.8043,1,0,0,0,0,0
0,0,0,2001052,0,0,0,0,0,0,-73.1629,-176.8043,1,0,0,0,0,0
0,0,0,2001053,0,0,0,0,0,0,-73.2895,-177.1502,1,0,0,0,0,0
0,0,0,2001054,0,0,0,0,0,0,-73.3323,-177.0163,1,0,0,0,0,0
0,0,0,2001055,0,0,0,0,0,0,-73.3862,-176.9094,1,0,0,0,0,0
0,0,0,2001056,0,0,0,0,0,0,-73.3862,-176.9094,1,0,0,0,0,0
0,0,0,2001057,0,0,0,0,0,0,-73.3413,-176.9897,1,0,0,0,0,0
0,0,0,2001058,0,0,0,0,0,0,-73.3413,-176.9897,1,0,0,0,0,0
0,0,0,2001059,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001060,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001061,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001062,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001063,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001064,0,0,0,0,0,0,-73.35,-177.2177,1,0,0,0,0,0
0,0,0,2001065,0,0,0,0,0,0,-73.3218,-177.38,1,0,0,0,0,0
0,0,0,2001066,0,0,0,0,0,0,-73.3218,-177.38,1,0,0,0,0,0
0,0,0,2001067,0,0,0,0,0,0,-73.3218,-177.38,1,0,0,0,0,0
0,0,0,2001068,0,0,0,0,0,0,-73.3218,-177.38,1,0,0,0,0,0
0,0,0,2001069,0,0,0,0,0,0,-73.3219,-177.5639,1,0,0,0,0,0
0,0,0,2001070,0,0,0,0,0,0,-73.3219,-177.5639,1,0,0,0,0,0
0,0,0,2001071,0,0,0,0,0,0,-73.2162,-177.6399,1,0,0,0,0,0
0,0,0,2001072,0,0,0,0,0,0,-73.2162,-177.6399,1,0,0,0,0,0
0,0,0,2001073,0,0,0,0,0,0,-73.184,-177.6352,1,0,0,0,0,0
0,0,0,2001074,0,0,0,0,0,0,-73.0976,-177.5951,1,0,0,0,0,0
0,0,0,2001075,0,0,0,0,0,0,-73.0976,-177.5951,1,0,0,0,0,0
0,0,0,2001076,0,0,0,0,0,0,-73.0976,-177.5951,1,0,0,0,0,0
0,0,0,2001077,0,0,0,0,0,0,-73.0343,-177.7268,1,0,0,0,0,0
0,0,0,2001078,0,0,0,0,0,0,-73.0343,-177.7268,1,0,0,0,0,0
0,0,0,2001079,0,0,0,0,0,0,-73.0343,-177.7268,1,0,0,0,0,0
0,0,0,2001080,0,0,0,0,0,0,-73.0343,-177.7268,1,0,0,0,0,0
0,0,0,2001081,0,0,0,0,0,0,-72.9896,-177.8092,1,0,0,0,0,0
0,0,0,2001082,0,0,0,0,0,0,-72.9896,-177.8092,1,0,0,0,0,0
0,0,0,2001083,0,0,0,0,0,0,-72.9896,-177.8092,1,0,0,0,0,0
0,0,0,2001084,-72.8,-177.8,1,0,0,0,-72.9896,-177.8092,1,0,0,0,19,8
0,0,0,2001085,-72.8,-177.8274,0,0,0,0,-72.9896,-177.8092,1,0,0,0,0,0
0,0,0,2001086,-72.8,-177.8645,0,0,0,0,-72.9038,-177.8113,1,0,0,0,0,0
0,0,0,2001087,-72.8,-177.9113,0,0,0,0,-72.827,-177.8984,1,0,0,0,0,0
0,0,0,2001088,-72.8,-177.9681,0,0,0,0,-72.827,-177.8984,1,0,0,0,0,0
0,0,0,2001089,-72.8,-178.035,0,0,0,0,-72.827,-177.8984,1,0,0,0,0,0
0,0,0,2001090,-72.8,-178.1123,0,0,0,0,-72.827,-177.8984,1,0,0,0,0,0
0,0,0,2001091,-72.8,-178.2,1,0,0,0,-72.7349,-178.2588,1,0,0,0,19,8
0,0,0,2001092,-72.7981,-178.3445,0,0,0,0,-72.6638,-178.4503,1,0,0,0,0,0
0,0,0,2001093,-72.793,-178.5725,0,0,0,0,-72.6638,-178.4503,1,0,0,0,0,0
0,0,0,2001094,-72.7856,-178.8551,0,0,0,0,-72.6638,-178.4503,1,0,0,0,0,0
0,0,0,2001095,-72.7767,-179.1632,0,0,0,0,-72.7529,-178.7991,1,0,0,0,0,0
0,0,0,2001096,-72.7672,-179.4678,0,0,0,0,-72.8194,-179.0316,1,0,0,0,0,0
0,0,0,2001097,-72.758,-179.7397,0,0,0,0,-72.8194,-179.0316,1,0,0,0,0,0
0,0,0,2001098,-72.75,-179.95,1,0,0,0,-72.8475,-179.1996,1,0,0,0,19,8
0,0,0,2001099,-72.7435,179.8948,0,0,0,0,-72.8475,-179.1996,1,0,0,0,0,0
0,0,0,2001100,-72.7378,179.7631,0,0,0,0,-72.8915,-179.5405,1,0,0,0,0,0
0,0,0,2001101,-72.7323,179.646,0,0,0,0,-72.8915,-179.5405,1,0,0,0,0,0
0,0,0,2001102,-72.7264,179.5349,0,0,0,0,-72.8915,-179.5405,1,0,0,0,0,0
0,0,0,2001103,-72.7195,179.421,0,0,0,0,-72.7803,179.9122,1,0,0,0,0,0
0,0,0,2001104,-72.7109,179.2956,0,0,0,0,-72.7803,179.9122,1,0,0,0,0,0
0,0,0,2001105,-72.7,179.15,1,0,0,0,-72.7246,179.4481,1,0,0,0,19,8
0,0,0,2001106,-72.678,178.9643,0,0,0,0,-72.7246,179.4481,1,0,0,0,0,0
0,0,0,2001107,-72.6401,178.7378,0,0,0,0,-72.6645,179.513,1,0,0,0,0,0
0,0,0,2001108,-72.5917,178.4908,0,0,0,0,-72.6645,179.513,1,0,0,0,0,0
0,0,0,2001109,-72.5381,178.2434,0,0,0,0,-72.6645,179.513,1,0,0,0,0,0
0,0,0,2001110,-72.4848,178.0157,0,0,0,0,-72.6491,179.301,1,0,0,0,0,0
0,0,0,2001111,-72.4369,177.8278,0,0,0,0,-72.6491,179.301,1,0,0,0,0,0
0,0,0,2001112,-72.4,177.7,1,0,0,0,-72.6491,179.301,1,0,0,0,19,8
0,0,0,2001113,0,0,0,0,0,0,-72.6727,178.3716,1,0,0,0,0,0
0,0,0,2001114,0,0,0,0,0,0,-72.5664,178.127,1,0,0,0,0,0
0,0,0,2001115,0,0,0,0,0,0,-72.3845,177.7752,1,0,0,0,0,0
