date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2000133,0,0,0,-78.3,-167.3071,1,0,0
2000134,0,0,0,-78.3,-167.3071,1,0,0
2000135,0,0,0,-78.3,-167.3071,1,0,0
2000136,0,0,0,-78.3089,-167.5029,1,0,0
2000137,0,0,0,-78.2691,-167.5461,1,0,0
2000138,0,0,0,-78.3,-167.3071,1,0,0
2000139,0,0,0,-78.2691,-167.5461,1,0,0
2000140,0,0,0,-78.2691,-167.5461,1,0,0
2000141,0,0,0,-78.2778,-167.7415,1,0,0
2000142,0,0,0,-78.2778,-167.7415,1,0,0
2000143,0,0,0,-78.3573,-167.656,1,0,0
2000144,0,0,0,-78.3573,-167.656,1,0,0
2000145,0,0,0,-78.3573,-167.656,1,0,0
2000146,0,0,0,-78.3659,-167.8529,1,0,0
2000147,0,0,0,-78.3828,-168.2478,1,0,0
2000148,0,0,0,-78.343,-168.2887,1,0,0
2000149,0,0,0,-78.343,-168.2887,1,0,0
2000150,0,0,0,-78.343,-168.2887,1,0,0
2000151,0,0,0,-78.343,-168.2887,1,0,0
2000152,0,0,0,-78.3512,-168.4859,1,0,0
2000153,0,0,0,-78.3113,-168.526,1,0,0
2000154,0,0,0,-78.2794,-168.7619,1,0,0
2000155,0,0,0,-78.295,-169.1551,1,0,0
2000156,0,0,0,-78.2626,-169.389,1,0,0
2000157,0,0,0,-78.1973,-169.8528,1,0,0
2000158,0,0,0,-78.2044,-170.0486,1,0,0
2000159,0,0,0,-78.2582,-170.4076,1,0,0
2000160,0,0,0,-78.265,-170.6047,1,0,0
2000161,0,0,0,-78.265,-170.6047,1,0,0
2000162,0,0,0,-78.2248,-170.6372,1,0,0
2000163,-78.4,-170.7,1,-78.1511,-170.8969,1,23,4
2000164,-78.3574,-170.6259,0,-78.1511,-170.8969,1,0,0
2000165,-78.3166,-170.5729,0,-78.1173,-171.1231,1,0,0
2000166,-78.2793,-170.5373,0,-78.1575,-171.0925,1,0,0
2000167,-78.2472,-170.5157,0,-78.1637,-171.2883,1,0,0
2000168,-78.2222,-170.5047,0,-78.0953,-171.7375,1,0,0
2000169,-78.2058,-170.5006,0,-78.1355,-171.709,1,0,0
2000170,-78.2,-170.5,1,-78.1757,-171.6805,1,23,4
2000171,-78.2,-170.5871,0,-78.0893,-171.5426,1,0,0
2000172,-78.2,-170.8162,0,-78.0893,-171.5426,1,0,0
2000173,-78.2,-171.139,0,-78.0953,-171.7375,1,0,0
2000174,-78.2,-171.5072,0,-78.1355,-171.709,1,0,0
2000175,-78.2,-171.8723,0,-78.0953,-171.7375,1,0,0
2000176,-78.2,-172.186,0,-78.0953,-171.7375,1,0,0
2000177,-78.2,-172.4,1,-78.0953,-171.7375,1,23,4
2000178,0,0,0,-78.0953,-171.7375,1,0,0
2000179,0,0,0,-78.0953,-171.7375,1,0,0
2000180,0,0,0,-78.0953,-171.7375,1,0,0
