ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2008003,-74.9,-101.78,1,0,0,0,0,0,0,19,11
0,0,0,2008004,-74.909,-101.8478,0,0,0,0,0,0,0,0,0
0,0,0,2008005,-74.9167,-101.9056,0,0,0,0,0,0,0,0,0
0,0,0,2008006,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008007,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008008,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008009,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008010,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008011,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008012,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008013,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008014,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008015,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008016,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008017,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008018,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008019,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008020,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008021,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008022,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008023,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008024,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008025,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008026,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008027,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008028,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008029,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008030,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008031,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008032,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008033,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008034,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008035,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008036,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008037,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008038,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008039,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008040,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008041,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008042,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008043,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008044,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008045,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008046,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008047,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008048,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008049,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008050,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008051,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008052,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008053,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008054,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008055,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008056,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008057,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008058,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008059,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008060,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008061,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008062,-74.92,-101.93,1,0,0,0,0,0,0,19,11
0,0,0,2008063,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008064,-74.92,-101.93,0,0,0,0,0,0,0,0,0
0,0,0,2008065,-74.92,-101.93,0,0,0,0,0,0,0,0,0
