ascat_1,ascat_2,ascat_3,date
-65.365,-131.7918,1,2019166
-65.3816,-131.5682,1,2019167
-65.329,-131.3653,1,2019168
-65.2709,-131.3068,1,2019169
-65.2709,-131.3068,1,2019170
-65.2709,-131.3068,1,2019171
-65.3366,-131.2914,1,2019172
-65.368,-131.1394,1,2019173
-65.4136,-130.9539,1,2019174
-65.4353,-130.7494,1,2019175
-65.4753,-130.6137,1,2019176
-65.5459,-130.3795,1,2019177
-65.5505,-130.233,1,2019178
-65.5734,-129.8085,1,2019179
-65.5734,-129.8085,1,2019180
-65.6754,-129.1737,1,2019181
-65.6938,-128.8814,1,2019182
-65.657,-128.6584,1,2019183
-65.657,-128.6584,1,2019184
-65.72,-128.1953,1,2019185
-65.7698,-127.9897,1,2019186
-65.8584,-127.8241,1,2019187
