ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
-75.0465,-101.7009,1,2013187,0,0,0,-75.0465,-101.7009,1,0,0
-75.0445,-101.7358,1,2013188,0,0,0,-75.0445,-101.7358,1,0,0
-75.0247,-101.7198,1,2013189,0,0,0,-75.0247,-101.7198,1,0,0
-75.0247,-101.7199,1,2013190,0,0,0,-75.0247,-101.7199,1,0,0
-75.0167,-101.6778,1,2013191,0,0,0,-75.0167,-101.6778,1,0,0
-75.0068,-101.6699,1,2013192,0,0,0,-75.0068,-101.6699,1,0,0
-75.0086,-101.6359,1,2013193,0,0,0,-75.0086,-101.6359,1,0,0
-75.037,-101.6854,1,2013194,0,0,0,-75.037,-101.6854,1,0,0
-75.0365,-101.6937,1,2013195,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013196,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013197,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013198,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013199,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013200,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013201,0,0,0,-75.0365,-101.6937,1,0,0
-75.0365,-101.6937,1,2013202,0,0,0,-75.0365,-101.6937,1,0,0
-74.9806,-101.5782,1,2013203,0,0,0,-74.9806,-101.5782,1,0,0
-74.9974,-101.6538,1,2013204,0,0,0,-74.9974,-101.6538,1,0,0
-74.9734,-101.7143,1,2013205,0,0,0,-74.9734,-101.7143,1,0,0
-74.9734,-101.7143,1,2013206,0,0,0,-74.9734,-101.7143,1,0,0
-74.9734,-101.7143,1,2013207,0,0,0,-74.9734,-101.7143,1,0,0
-74.9734,-101.7143,1,2013208,0,0,0,-74.9734,-101.7143,1,0,0
-74.9734,-101.7143,1,2013209,0,0,0,-74.9734,-101.7143,1,0,0
-74.937,-101.6232,1,2013210,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013211,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013212,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013213,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013214,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013215,0,0,0,-74.937,-101.6232,1,0,0
-74.937,-101.6232,1,2013216,-74.86,-101.69,1,-74.937,-101.6232,1,21,12
-74.8744,-101.6356,1,2013217,0,0,0,-74.8744,-101.6356,1,0,0
-74.8832,-101.4751,1,2013218,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013219,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013220,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013221,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013222,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013223,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013224,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013225,0,0,0,-74.8832,-101.4751,1,0,0
-74.8832,-101.4751,1,2013226,0,0,0,-74.8832,-101.4751,1,0,0
